Banda,Título,Letra,Link
Bad Bunny,<3,"Yeh


Gracias


Gracias, ey


Gracias a to' el que creyó en mí desde el primer día


Desde antes que saliera con una compañía


Desde antes que supieran lo que ustede' ya sabían


Que soy el mejor en esto y en que me convertiría


En un icono de grandes y chico'


Gracias a to' mis domi y a mi gente en Puerto Rico


Cada cosa que logro, a ustede' se la' dedico


Aunque a vece' no me entiendan y hayan cosa' que no explico, ey


Ser diferente se siente cabrón


Pero más cabrón se siente siempre ser de corazón


Poco' reale', yo sé quiéne' son


Pero el tiempo no falla y siempre tiene la razón, ey


Como yo, que no he fallao' una canción


Se pegaron en la loto, fui la mejor inversión


Mejor que tú y aquél, ey, porque lo hago con pasión


Porque lo soñé mil vece' dentro de mi habitación


Abuela, bendición, hoy cumplí otro goal, je


Me fue cabrón, no sé si me viste en el Super Bowl


Yo no juego basket, pero soy una estrella


Por eso es que me invitan a jugar con ella'


Mi flow es NBA, ey


Yo no quiero ser un Dios, yo no quiero ser un rey


Si to's quieren ser yo, to's quieren mi DNA


Me escriben un párrafo y le' contesto: Okay, ey


¿Que tú qué, cabrón? Nah, no mames, wey


Si LeBron es LeBron con 23 o con el 6


Por cierto, ayer lo vi, estaba conmigo en el stage


Dame un break, estoy hablando con Triple H


Porque yo no rompo récord', yo le' hago un roto


Este disco está cabrón, lo hice pa' vosotros, ey


Y en nueve mese', vuelvo y saco otro


Pa' retirarme tranquilo como Miguel Cotto


Aunque despué' esté en mi casa solo y aburrío'


Y aunque mis mejore' tema' aún no han salío'


Pero hablando claro, gente, ya ni duermo


Y esto de la fama me tiene hasta enfermo


Gracias a pa' y a mami por to' lo' regaño'


Gracias a ustede', soy el mismo to' los año'


Recuerdo, castigao' me iba pa' la cama


Por eso ahora de grande hago lo que me dé la gana, yeh",https://www.letras.com//bad-bunny/3/
Bad Bunny,100 MILLONES (part. Luar La L),"Huh


Yeah-eh, yeah


Ey


Yeh, ey (Grr), eh


Cien millone' dando vuelta' en un Can-Am


Y la' corta' ya tú sabe' dónde van (prr, prr)


Un saludo pa' lo hater', ¿cómo están? (wuju)


Que me odien, eso e' parte de mi plan, yeah (ey, ey)


Mala mía, cabrone', pero estoy crecío' (crecío'), eh, eh, eh


Siempre con un piquete nuevo y el de ello' vencío' (ey)


Ya no e' Simón el que dice, ahora soy yo el que digo


Tu coro quiere hacer coro conmigo (ey)


Me la' clavo de tre' en tre' como si yo fuera lo' Migo' (huh-huh)


Mere, mamón, tú y yo no somo' amigo' (no, no), ey


Aquí no hay que aparentar (nah)


Ando con unas teni' que tú no puede' cachar (ajá)


Concentra'o haciendo ticket me metí siete Adderall


Quién e' el número uno no hay ni que preguntar (ey, ey, ey)


To' saben que soy yo, eh


De PR pa'l mundo, gracia' al que creyó (gracia')


Sentiste la presión cuando el camión te arrolló (grr)


Si llaman a su pai, lo vo'a coger yo (yo, yo, yo)


Y si le' va mal, no e' culpa mía (no)


Eh-eh-eh-eh, cabrone', no e' culpa mía


Yo estoy en mi peak, yo estoy en la mía, eh (mía, ah-ah-ah)


Yo estoy en la mía


Cien millone' dando vuelta' en un Can-Am 


Y la' corta' ya tú sabe' dónde van (saben ya)


Un saludo pa' lo hater', ¿cómo están? (Hola)


Que me odien, eso e' parte de mi plan, yeah (huh, huh, huh, whuh)


Mala mía, cabrone', pero estoy crecío' (crecío'), ey, eh, ey


Siempre con un piquete nuevo y el de ello' vencío' (ey, ey, ey)


¿Qué? Sí, jeje, El Letra (Letra)


Mera, El Conejo me envió una jodienda ahí pa' que tirara (ahí dale)


Ahora está en el estudio esperando


Prende la mierda esa, vámono' pa'l carajo (prende, prende)


Los G4, cabrón (¿qué?; ¿Cómo?)


En PR lo' carrito' y en Miami son la' Lambo


Llegó el rookie que le brincó to' lo' rango


Y ahora to' quieren sacarla, yo ando con Bad Bu' pichando (¿qué pasó, cabrón?)


Dosciento' mil en prenda', hasta de día estoy brillando


En Can-Am por to'a la playa dando vuelta' 


Cuando me parqueé vi que tu doña capeó el flow de abrir la' puerta' (habla claro)


Salimo' con esta y cambió la vuelta, ¿qué? (¿qué pasó?)


Y si van a bookearme, son má' de treinta (sabe', sabe')


En carrito o en Corvetta 


Toíto' quieren rolearme y ninguno pide la reta (¿quién?)


Tengo un Role' y ni miro el tiempo, ando ruleta' (caro)


To' esto' hater' me lo maman, son peseta (¿ah, qué?)


Tienen do' cara', esta combi sí e' cara (lo e')


Si fantasmea', dispara y les chillamo' en la cara


Son peseta' do' cara' (Je), to'a mi' babie' son cara'


Si la' mando disparan, rrr, y te chillamo' en la cara (¿qué?)


Cien millone' dando vuelta' en un Can-Am


Y la' pieza' ya tú sabe' dónde van


Un saludo pa' lo hater' que son fan


Que me odien, eso e' parte de mi plan, yeah (yeah-eh-eh-eh)


Mala mía, cabrone', pero estoy crecío', yeah


Les pasé a doscienta' milla', se quedaron dormío', yeah


Mera, papi, ¿cuándo me va' a montar en el carrito?


Ey, me enamora' to' lo' mese' (to' lo' mese')


Ey, una baby quiere plata, otra quiere que la bese (muah)


Cada cual tiene lo que merece


Chequéate lo' Billboard, llevo número uno doce mese' (yeah, ey, ey)


Auch, auch, eso duele (eh)


Pa' to' el que me critica, que me lo pele (rrr)


Toma un billete 'e cien pa' que sepa' cómo huele, huele (huelebicho)


Y ahora tengo a to' lo' gringo' conspirando (uh)


Porque saben que el bori lo' 'tá matando, ey


Suck my dick, motherfucker (eh), eh


Lo' tengo mamando, eh


Ahora to' el mundo 'tá llamando (¿ah?)


Ya mismo me retiro, no sé cuándo (no sé)


Lo' escupo como Triple H entrando (nah)


Dando vuelta' en PR o en Orlando, eh-eh (¿qué fue?)",https://www.letras.com//bad-bunny/100-millones-part-luar-la-l/
Bad Bunny,120,"Ey, ey


Por ti, me monto en el carro y meto 120


Si me dices qué quieres de frente


Me estás tentando, tú eres una serpiente


Psíquica, te metiste en mi mente


Por ti, me voy en contra de la corriente


No te quites la ropa sin ponerme los lentes


Que quiero verte bien, ey


Que quiero darte bien, ey


¿Bajarle yo? Nah, nunca se me va a ocurrir


Bad Bunny en una pista de un Bugatti en un carril


Ya salió el Sol y no quiero dormir


Mueve ese culo y yo tiro cien mil


Tú cumples en octubre, pero yo te quiero abril


Ven, que te voy a hacer venir


A la casa en PR, o la de Beverly Hills


Por si me llaman los Lakers pa' dirigir


Porque saben que aquí siempre coronamo'


Invictos, nunca perdemo'


La baby es piquetúa', por eso roncamo'


En la G-Wagon siempre prendemo'


Fuck you, ey, a to' el mundo le picheamo'


Porque nadie sabe lo que tenemo'


Y lo rico que se siente cuando chingamo'


Después a la normalidad volvemo'


Sin decirno' te amo


Por ti, me monto en el carro y meto 120


Me estás tentando, tú eres una serpiente


Psíquica, te metiste en mi mente",https://www.letras.com//bad-bunny/120/
Bad Bunny,200 MPH (part. Diplo),"(¡Ju-Ju!)


Yeah-yeah-yeah


Yeah-yeah-yeah-yeah


A 200 millas en un jetski, ¡eh!


Si tú quieres te lo meto aquí, ¡eh!


Debajo del sol, debajo del sol, ¡eyh!


A 200 millas en un jetski, ¡eh!


Si tú quieres te lo meto aquí, ¡eh!


Debajo del sol, debajo del sol, ¡eh!


Tempranito en la mañana, mornin'


Pollitos de marihuana, join me, ¡eh!


Llegamos a la beachy (¡wouh!)


'Tá culona, flow Rikishi


Dinero, dinero, me falta weechie (weechie)


Me siento Ray, pero Richie (¡wouh!)


La nena me salió bitchy


Tú no me quieres, mi chichi (no, no, no)


El traje de baño no es tan caro, es de J.C. penney


Pero te buceo con to' y tenis (pu, pu, pu)


A ti te doy a cualquier hora, como a Denny's


Te pongo el toto a flotar, flow Kenny (yeah, yeah, yeah)


Hoy de nuevo (nuevo)


Si no quieres, a tu amiga dale relevo (¡wouh!)


Eh, yo me atrevo (-trevo)


Si es contigo, yo me atrevo (¡ey!)


A 200 millas en un jetski, ¡eh!


Si tú quieres te lo meto aqui, yeh


Debajo del sol, debajo del sol, ¡eh!


A 200 millas en un jetski, ¡eh!


Si tú quieres te lo meto aquí, ¡eh!


Debajo del sol, debajo del sol, ¡ey!


Que to' los culos se quemen


Yo soy la ola, cabrones, mejor ni remen (¡no!)


Ah-ah-ah, goddamnit


Les pasé po' encima con las white cement (yeah, yeah, yeah)


Ando de blanco entero, flow santero (yeah)


La dueña encima de mí, como si cantara bolero


Rumba buena, timbalero


Si tú quieres, me caso contigo adentro de un velero, ¡ey!


Vo' a 200 millas en un jetski, ¡ey!


Si tú quieres te lo meto aquí, ¡eh!


Debajo del sol, debajo del sol, ¡eh!


Yeah-yeah-yeah-yeah-yeah-yeah


Bad Bunny, baby


Ba-Ba-Ba


Diplo


Eh-eh, Diplo


Uh, Diplo


Eh-eh, Diplo


¡Wouh!",https://www.letras.com//bad-bunny/200-mph-part-diplo/
Bad Bunny,25/8,"Ey, ey


Yo sigo siendo el mismo, yo no he cambiao' (no)


Tengo lo mío sin tener que aparentar


Siempre ando con lo' mismo', arrebatao'


Ahora siempre en Louis Vuitton, pero nunca voy a cambiar


A mí me gusta la calle


25/8 ready, no te guaye'


Humilde, pero nunca me voy a dejar


Está caliente, pero no me voy a dejar, eh


Hoy salimo' pa' la calle


Luka Dončić, no hay manera que yo falle


Seguimo' a dosciento' y no vamo' a bajar


Siempre estamo' en PR, maleanteo, bellaqueo, coronar


Yo sigo siendo el mismo, cambió mi reflejo


Nuevo, pero me siento uno de lo' viejo'


Humilde, pero no me dejo, ey


Leal, pero no pendejo


Y no apueste' en mi contra, que te va' a embrollar


Compré las Tokyo, pa' usarla' de collar


La' 11 en blanca y en azul royal


La baby me pide que no me la quite pa' follar


Y le doy toda la noche sin quitarme la' teni'


Cotizao', ya yo no sé lo que es un twenty


Traje un pasto nuevo que es la jodienda, como Benny 


Moña' verde' fluorescente', parecen bolas de teni', ey


Y de libra en libra, eh


No es que sea antisocial, es que ustedes dan mala vibra


Yo sé que verme bien los desequilibra


Pero normal, pero normal, pero normal


Sin ir a playoff, gano la final (la final)


Tú me toca' y no te vuelve' a reafinar (prr, prr, prr)


La guitarra te la voy a desafinar


En RD, me dicen: Mi loco, tú ere' el final


Y en PR: Está muy cabrón, sendo hijo de puta


Yo soy el mejor en esto, no discuta'


Aquí cualquier ritmo siempre se ejecuta (prr, prr)


El blanquito bobo que estudiaba en el CUTA (ey)


Pero me gusta la calle


25/8 ready, no te guaye'


Humilde, pero nunca me voy a dejar (nunca)


Está caliente, pero no me voy a dejar, eh


Hoy salimo' pa' la calle


Luka Dončić, no hay manera que yo falle


Seguimo' a dosciento' y no vamo' a bajar


Siempre estamo' en PR, maleanteo, bellaqueo, coronar


No me ronque' de ticket, yo también tengo un montón


Dicen que no soy calle, que no salgo del portón


Pero esto es PR, aquí cualquiera da el vueltón


Y prr, prr, welcome to the calentón


Si me da con frontear, no me soporto


El que lo' puso a vestir de colore' y pantalone' corto'


No se hagan lo' ciego' y lo' sordo'


Como el gobierno, que todavía tiene' la casa con toldo


Nunca segui-


(No, no, que siga la pista, que siga la pista)


Nunca seguidor, yo siempre he sido un líder


7.25, bo, con eso no se vive


Pero ahora estamo' facturando como wide receiver


Mis verso' son clásico' como Boca-River


Nunca seguidor, yo siempre he sido un líder


7.25, bo, con eso no se


Dame un, dame un break


Voy a tirar otra cosa, voy a tirar otra cosa, okay


Ey, ey, ey


Hoy sacamo' la Lambo Urus de la marquesina


Ustede' la tienen en Miami, yo la tengo en Carolina


Le meto a to'a la' Natti callao', como Raphy Pina, ey


Guiando y chingando, me encanta la adrenalina


Yo tengo mucho' chavo', por eso estoy Chilindrina


Lowkey, nunca me dejo ver, como John Cena


Recuerda, los bichote' que no se paran en la esquina


Soy como Boogeyman, salgo cuando hay neblina


Cabrón, yo soy la hostia, mi mente, una mina


Se compraron mansión con lo que hice en la cabina, ey


Se pasan llorando como cuando el Grammy no los nomina


Si no paro este verso, no termina",https://www.letras.com//bad-bunny/258/
Bad Bunny,6 Rings,"Yeh, ey


A veces, me pregunto si hago bien en respetar los Mandamiento’


¿Y dónde estará Dios metío en estos momento’?


Sé que la vida es corta como cuento


Y, en un abrir y cerrar, se la lleva el viento


Aún recuerdo el primer juego tuyo que presencié


Mil emocione’, muchas vece’ me pusiste de pie


Me enseñaste que todo en la vida se hace con pasión


Y, que pa’ ganar, hay que tener corazón


Nos enseñaste que el número 13 no es de mala suerte


Y que los fracaso’ pueden hacernos más fuerte’


Digan lo que quieran, pa’ mí será' el mejor


Ey, descansa en paz con el Señor


Y felicidades, tú también ganaste seis sortija’


Cinco en la NBA y un matrimonio que te dio tus hija’


Pensando que una se fue contigo, me descontrolo


Pero, nah, eso es pa’ que en el cielo no juegue’ solo


Más de 81 razones pa’ admirarte


Más de cinco jugadores al mismo tiempo pa’ pararte


Nos parecíamo’ en que hacíamo’ arte


Black Mamba forever, por siempre vamo’ a recordarte, yeh


And from the bottom of my heart, thank you


And, uh


What can I say?


Mamba out",https://www.letras.com//bad-bunny/6-rings/
Bad Bunny,A Tu Merced,"Yeh, yeh, yeh, yeh


Yeh, yeh, ey


Tengo un par de babie' explotándome el cel


Y yo pensando en ti, estoy a tu merced


Tú siempre está' mojada y yo que tengo sed, eh


Dime qué vamo' a hacer


Que tengo un par de babie' explotándome el cel


Y yo pensando en ti, estoy a tu merced


Tú siempre está' mojada y yo que tengo sed


Ey, ey, ey


Y ella' están buena', pero tú 'tás mejor (mejor)


Traje pasto y alcohol


Por ti les picheo, las tengo en hold (en hold)


Y yo detrás de ti, como un chambol


Y si quiere', te busco en la Lamborghi


Si te lo hago tan chulo, como Anuel a Karol G


Quiere' perreo, no balada


Tú ere' una pitcher, pero yo estoy puesto pa' la nueva entrada


¿Y qué? ¿Qué?


¿Qué quiere' hacer? Yo hago lo que tú diga'


Ese culo e' grande' liga'


Que Dio' te lo bendiga


Y dime, ¿qué? ¿Qué?


Qué quiere' hacer, yo hago lo que tú diga'


Picheale a tu amiga


Ey, ey


Porque tengo un par de babie' explotándome el cel


Y yo pensando en ti, estoy a tu merced


Tú siempre está' mojada y yo que tengo sed, ey


Dime qué vamo' a hacer


Es que tengo un par de babie' explotándome el cel


Y yo pensando en ti, estoy a tu merced


Tú siempre está' mojada y yo que tengo sed


Ey, ey, ey


Yo sé que no ere' fan del romanticismo


Y que está' cansada de que esto' cabrone' te digan lo mismo


Moviendo el booty, no se va de ritmo


Punto diez, en la cama va a haber un sismo


Quiero jalarte ese pelito rubio


Y darte en cuatro el cuatro de julio


Mañana tengo examen, pero tú lo sabe'


Que si me llama', no estudio


Mami, concédeme esta pieza


No somo' na', no somo' na', ey


Pero con un perreo se empieza


No sale' de mi cabeza


Mami, concédeme esta pieza


No somo' na', no somo' na', ey


Pero con un perreo se empieza


No sale' de mi cabeza, ey


Y to' los culo' de Miami explotándome el cel


Y yo pensando en ti, estoy a tu merced


Tú siempre está' mojada y yo que tengo sed, eh


Dime qué vamo' a hacer


Es que tengo un par de babie' explotándome el cel


Y yo pensando en ti, estoy a tu merced


Tú siempre está' mojada y yo que tengo sed, eh


Dime qué vamo' a hacer


Eeh, eeh, eeh


Yeh, yeh, eh",https://www.letras.com//bad-bunny/a-tu-merced/
Bad Bunny,"ACHO PR (part. Arcángel, Ñengo Flow y De La Ghetto)","Jajajajajajajaja


Real G4 Life, baby


El verdadero movimiento


Orientando las nueva' generacione'


Llegaron los demente', mucho narcotráfico en el trópico


Real G4 Life, el movimiento sigue sólido


Pateándole' el culo a par de bicho' que no están en na'


En tu bocina, está sonando un hijueputa de verdad


Nativo de Puertorro (Borinquen), donde la vibra es otra cosa


No se olvidan ni los partie de Vigilio ni Barbosa


Directo de Bayamón, la mafia más podеrosa


Real G4 Life forevеr, en la candela es donde se goza


Pásala chévere, en este paraíso encuentras todo


Semillita de cultura, los domingo' en los bancholo'


Y siempre andamo' junto', los demente' y los locario'


Porque esto es cosa nuestra de barrio


Entramo' disparando, ya son muchos año' demostrando


En la calle, saben quién sigue matando


El bandidaje activo, las bellaca' locas con El Chivo


Mañana no se sabe, pero hoy 'tamo encendi'o


La paso chévere con toa' las mami' y los títere'


Que eres demonia, ya me enteré


Te gusta el hijeputismo y sabe' que soy tíguere


Aquí solo se maquina con los lídere'


Pa' mi gente de el barrio


Pa' mi gente de caserío


Pa' mi combo de sicario', oh


Real G4 Life foreva


Pa' mi gente de el barrio


Pa' mi gente de caserío


Pa' mi combo de sicario', oh


Acho, PR, puñeta, te quiero


El nieto de Miña, cria'o en BH, Villa y La Perla


De niño, en la iglesia, me robaba toda la ofrenda


El barrio o el caserío, eso es lo mío


A lo Bryce Harper, siempre con los Phillie' prendío'


En el punto, con el combo to' los día' en el joseo


Soñando con ser grande y corriéndole a los feo'


De gramo' a los GRAMMY, cantando en el Choliseo


What? Acho, PR, ser de aquí es mi mayor trofeo, ah


Pa' las babie' y los títere'


Pa' mi gente humilde, fina y chévere


Un bandido de la calle, yo siempre seré, ah-ah-ah-ah


A todo' los maleante', a todo' los gángster'


Ah-ah-ah


(Cabrón, que eso, eso fue lo que yo me crié escuchando, cabrón, desde chamaquito)


(Arca, De La, Ñengo)


(Papi, que estar aquí se siente muy cabrón, de verdad)


(De corazón)


(Pa' mi gente de el barrio)


(Pa' mi gente de caserío)


(Pa' mi combo de sicario')


Yeah, ajá


Wow, qué cabrón en lo que me he convertido


Me sobran razone' pa' decir que estoy bendecido


Entiendo que me envidien, con seguridad lo digo


Si te juro que hay vece' que ni yo puedo conmigo


Y sigo siendo el mismo


El cantante piquetú, enrolando Portobello adentro de este Wood


La corriente en persona, yo les voy a dar la lu'


No me mató mi propio corazón, ¿me vas a matar tú? Yeah


El bicho tienen que mamarme


Ya la tengo, no hay nada que tengan que darme


Ayer me puse a guayar con este piquete


¿Y adivinen qué? Tuve que quitarme


Ella quería vacilar y la bajé pa' PR


La llevé pa'l barrio pa' que tire con el AR


En el Hellcat, una vuelta con un trapstar


La movie es de verdad, no de Disney ni de Pixar


La llevé pa' Miramar a mirar el mar


Pa' que fume Portobello conmigo adentro 'el car


En el jet, todo set, por las nube' el internet


Desayunando en el aire, tostadas y un omelet, yeah


(Cabrón, yo salí del barrio)


(Por eso, mi música siempre es pa'l barrio)


(Y voy a estar agradecido toda la vida)


Ey, okay-okay, okay-okay


Ey, je, ey


Inspirando a lo' chamaquito', poniendo a apreta' a los viejo'


Siempre tuve a Dios de cerca, por eso e' que he llega'o lejo'


Veterano y rookie, yo mismo me doy consejo'


Yo no soy la cabra, yo soy El Conejo


Cabrón, el mejor, Roberto Clemente, Albert Pujols


Maradona y Messi en el fútbol


Pero soy la nueva estrella, los contrato' a lo Sugar y Lindor


Sin dejar de ser el mismo, porque


El dinero no te hace, aprendí eso


Conozco un par que están en olla y no son más a fuego que Jeff Bezos


No juzgo a nadie, sé que no debo


Pero ojalá y to' el mundo fuera humilde como Bebo


Le tengo miedo a la' altura', je


Por eso estar tan arriba a veces me asusta


Extraño aquellos días con Eladio en las justas


Ambos llegamos, la vida no es tan injusta


Mis respeto' al que josea y siempre se la' busca


Lo' muchacho' están activo', así que no te luzca'


Pa' los cazatalento' que otro Bad Bunny buscan


Yeah, yeah, yeah, yeah, yeah, yeah


Otro como yo, en el próximo siglo


Mi nombre va pa' las museos, va pa' los libro'


Soy la estrella de mi isla, por eso es que brillo


A mí no me hables 'e combo', to' PR es mi corillo


Gracia' una ve' más por quererme tanto


Viajando el mundo entero, pero siempre vuelvo pa' mi canto


To' saben que siempre a ustedes e' que yo le' canto


Que sigo siendo el mismo


Que se sentaba en La Perla con abuela


Que prefiero cantar grati' en la Loíza que en Coachella


Gracia' a Dios cumplí to' lo que soñé en la escuela


Gracias, Dios, por poner en mi camino a Jan, a Noah y a Gabriela


Ey, por eso ya yo no pido mucho cuando me acuesto


A Dios que me dé salud, que yo hago el resto


Sí, amén, que yo hago el resto


Ey


Porque nadie sabe cuándo el sol se va a caer


Quisiera por siempre abrazar a Benito e Isabel


Siempre estar pa' Bernie y pa' Bysael, je


Aprender, crecer, madurar, envejecer


Tener la confianza en mi son de tre'


No, no, no, ¿qué fue, Gabriel? Ja, ja


Ey


Dios te bendiga",https://www.letras.com//bad-bunny/acho-pr-part-arcangel-nengo-flow-y-de-la-ghetto/
Bad Bunny,ADIVINO (part. Myke Towers),"Sin ofenderte


No me pertenece' a mí, ma', tú ere' de la calle


No sabe' que e' una noche sin lujo' de detalle


Cuando le da fuego a los phillie', es hasta que se apaguen


Bebé


Aquí hay mucha gente


Pero pa' qué disimular si to' el mundo ya sabe


Psicóloga, porque le gusta jugar con mi mente


Devórame rico, que cuando la noche se acabe, bebé


Sigue tu camino


Ya tú cambiaste y yo no soy el mismo


Siempre recuerdo lo que un día fuimo'


Sé en quién estás pensando, a qué adivino, bebé


Sigue tu camino


Ya tú cambiaste y yo no soy el mismo


Siempre recuerdo lo que un día fuimo'


Sé en quién estás pensando, a qué adivino, bebé


No sé qué me da más musa, bebé, si tenerte o que te me vaya'


Sale de bañarse en toalla, es modelo como Zendaya


No quiero ser un nombre má' que en la lista se raya


Si quieres, se guaya, pero dile que no me da la talla


Toa' las cosa' que hacemo', ella las calla


Tiffany & Co., le compré las pantalla'


Yo sé que tú me piensas, baby


Quería hacerte mi first lady


I just wanna fuck you, tell me what you been at, I've been reminiscing lately


I would have a new love maybe


Baby, come back, don't make me


We should have sex, sex, sex like we did daily, daily


¿Pa' qué buscarte si sé en dónde estás? (Yo sé dónde está)


Hoy ando solo, ando sin el staff (oh)


A ti yo te conozco desde atrá' (hace tiempo atrás)


No estoy en ti, bebé, déjame en paz (jaja)


Sigue tu camino


Ya tú cambiaste y, yo no soy el mismo


Siempre recuerdo lo que un día fuimo'


Sé en quién estás pensando, a qué adivino, bebé


Dime qué somo', dime qué fuimo'


Dime qué seremo' despué' del beso que nos dimo'


Siento que, al final, ninguno de los do' nos conocimo'


¿Qué diablo fue lo que hicimo'? Bebé, ey


Pa' chingar, 'toy pa' ti toa' las vece' que tú pida'


A ti yo te daría de por vida


Tú ere' mala, una diabla venenosa, se me olvida


Y quiero otra despedida, ey


Pero ya, goodbye, adiós, sayonara


No me bese', porque se me para


Imposible decirte que no con esa cara


Nuestra historia de amor fue bonita y rara, ey


Y es verdad


Tú ere' una diosa y como tú a otra yo no vo'a encontrar


Tú tampoco, en tu vida yo fui lo más real


Yo era fiel a tus ojo' y a tus labio' leal


Pero no, no somo' igual, yeah


Tú fuiste uno de mis amore', yo solamente fui otro, tu ex


A vece' me río leyendo los text


A vece' me río, pero es que da estré'


No sé cuándo fue que murió el interé'


No sé si un te amo vale lo mismo cuando es en inglés, jum


No sé si es buena idea que tú y yo chinguemo' otra vez


Que me mires otra vez, que nos mintamo' otra vez


Que cometamo' el mismo error otra vez


Mejor sigue tu camino


Ya tú cambiaste y yo no soy el mismo


Siempre recuerdo lo que un día fuimo'


Sé en quién estás pensando, a qué adivino, bebé


Sigue tu camino",https://www.letras.com//bad-bunny/adivino-part-myke-towers/
Bad Bunny,Agosto,"Baby, vamo' a hacerlo bajo las estrella'


Y que la Luna nos grabe


Mañana, dónde estará, no se sabe


Ojalá y el verano nunca se acabe, nunca se acabe


Baby, vamo' a hacerlo bajo las estrella'


Y que la Luna nos grabe


Mañana, dónde estará, no se sabe


Ojalá y el verano nunca se acabe, nunca se acabe, eh-eh, eh-eh


Sexo, playa


Lo que yo quiero contigo, donde diga', yo te sigo


A Dios le pedí un deseo, pero no me lo ha cumplido


Tu Instagram, yo lo stalkeo, yo siempre lo investigo


Pa' ver si sigue' soltera o si volviste


Pa' ver si estás en PR o si te fuiste


Yo hago lo que sea pa' que no estés triste


Mi mente es una bellaca, siempre te desviste


Y dime qué va a pasar


Dime ya, tú ere' una player, ¿te gusta jugar?


Pide lo que sea y se te va a dar


Sí, sí, se te va a dar


Yo siempre tengo un diamond pa' mi gyal


Un perreo en el billar


La noche no' quiere invitar a los do'


Baby, vamo' a hacerlo bajo las estrella'


Y que la Luna nos grabe


Mañana, dónde estará, no se sabe


Ojalá y el verano nunca se acabe, no se acabe, eh-eh, eh-eh",https://www.letras.com//bad-bunny/agosto/
