Banda,Título,Letra,Link
José José,40 y 20,"Mentiras, son todas mentiras


Cosas que dice la gente


Decir que este amor es prohibido


Que tengo cuarenta y tu veinte


Que yo soy otoño en tu vida


Y tú eres dulce primavera


No saben que guardo un verano


Que cuando te miro, te quema


Cuarenta y veinte


Cuarenta y veinte


Es el amor lo que importa


Y no lo que diga la gente


Cuarenta y veinte


Cuarenta y veinte


Toma mi mano, camina conmigo


Mirando de frente


No importa que a mí no me entiendan


Y que por lo bajo comenten


Que existe una gran diferencia


Que tengo cuarenta y tú veinte


Que yo tengo muchas vivencias


Y tú tienes tanta inocencia


No saben que nuestro secreto


Es tu juventud y mi experiencia


Cuarenta y veinte


Cuarenta y veinte


Es el amor lo que importa


Y no lo que diga la gente


Cuarenta y veinte


Cuarenta y veinte


Toma mi mano, camina conmigo


Mirando de frente",https://www.letras.com//jose-jose/135199/
José José,A Esa,"A esa la he querido yo a rabiar


La he querido yo a morir


Tú no puedes figurarte


Como la he podido amar


A esa que ahora está como ya ves


Destruida de rodar


Yo le he escrito mil poemas


A sus ojos y a su piel


A esa que la ves ahí dando tumbos


Con borrachos, con ilusos


Hasta el alma le entregué


A esa que hoy se enreda con cualquiera


Yo le di mi vida entera


Y hoy se la daría otra vez


A esa


A esa la he enseñado yo a besar


A sentir y a ser mujer


Y ya ves que aventajada


Quién se lo iba a suponer


A esa la he querido yo a rabiar


La he querido yo a morir


Tú no puedes figurarte


Como la he podido amar


A esa que la ves ahí dando tumbos


Con borrachos, con ilusos


Hasta el alma le entregué


A esa que hoy se enreda con cualquiera


Yo le di mi vida entera


Y hoy se la daría otra vez


A esa que la ves ahí dando tumbos


Con borrachos, con ilusos


Hasta el alma le entregué


A esa que hoy se enreda con cualquiera


Yo le di mi vida entera


Y hoy se la daría otra vez


A esa


A esa",https://www.letras.com//jose-jose/135200/
José José,A Partir de Hoy,"A partir de hoy


Tú vas por tu rumbo, yo voy por el mío


Tú tienes tus cosas, yo tengo las mías


Dejarán las cosas de ser cosas nuestras


Nos convertiremos en partes distintas


Una misma cosa, ya jamás seremos


A partir de hoy


Se olvidarán mis manos de buscarte


Me enseñaré que no debo extrañarte


Pues nuestro amor es una flor que se murió


A partir de hoy


Tú cruzas los ríos, yo surco los mares


Tú vives de día, yo muero de noche


No habrá más caricias, no habrá más reproches


Si eres hoja seca, yo soy primavera


Lo nuestro es un muerto y hay que sepultarlo


A partir de hoy


Se olvidarán mis manos de buscarte


Me enseñaré que no debo extrañarte


Pues nuestro amor es una flor que se murió


A partir de hoy


Se olvidarán mis manos de buscarte


Me enseñaré que no debo extrañarte


Pues nuestro amor es una flor que se murió


A partir de hoy


Se olvidarán mis manos de buscarte


Me enseñaré que no debo extrañarte",https://www.letras.com//jose-jose/135201/
José José,A Ratos,"A ratos


Me ofreces amor, a ratos


Te gustan las aventuras


Como a todos los novatos


A ratos


Me ofreces amor, a ratos


Pues no quieres ataduras


Ni cadenas ni contratos


Y me dices que el amor de tiempo entero


Siempre deja cicatrices


Y se olvidan, los te quiero


Y me juras que besar a todas horas


No te sabe a travesura


Si es que a diario


Te enamoras


Tú respetas


El amor que ayer te dí


Hoy mi agenda está completa


No hay ratos para ti


A ratos


Me ofreces amor, a ratos


Te gustan las aventuras


Como a todos los novatos


A ratos",https://www.letras.com//jose-jose/135202/
José José,A Un Amigo,"Ay, amigo


Cómo duele perder


Cómo duele perder


Lo que he tenido


Ay, amigo


Solo a ti de verdad


Yo te puedo decir


Lo que he sufrido


Siempre encuentro en ti


Paz en mi sufrir


Puedo en ti confiar


Y jamás dudar


Que me fallarás


Como los demás


Por ser mi amigo


Te bendigo


Por estar junto a mí


Por creer que jamás


Seré un perdido


Sé conmigo


Hoy que al verme sufrir


Me han volteado la cara


Y se han ido


Te puedo jurar


Si en mi caminar


Te vuelvo a encontrar


Por la vida sin fe


Ni alegría


Lucharé por no


Verte caído


Pues yo soy tu amigo


Te bendigo


Por estar junto a mí


Por creer que jamás


Seré un perdido


Sé conmigo


Hoy que al verme sufrir


Me han volteado la cara


Y se han ido


Te puedo jurar


Si en mi caminar


Te vuelvo a encontrar


Por la vida sin fe


Ni alegría


Lucharé por no


Verte caído


Pues yo soy


Tu amigo",https://www.letras.com//jose-jose/a-un-amigo/
José José,"Adiós, Princesa","Jamás te he visto tan bella, te lo juro


Cuánta gente hay, amor, estás feliz


Comprendo que te olvidaras de invitarme


Qué ironía, tú de novia, yo sin ti


Tendré que aprender a estar sin muchas cosas


Sin tus besos, sin tu risa, sin tu amor


Sin tu cuerpo, como potro desbocado


Galopando, tantas noches de amor


Adiós, adiós, princesa


Espero que hayas hecho lo mejor


Y tengas lo que yo te he dado tanto


Amor, amor y amor


Adiós, adiós, princesa


Que el mundo entero gire para ti


Espero que no tengas que acordarte


Jamás, jamás de mí


Jamás me gustaste tanto, te lo juro


Qué gran triunfo hay en tus ojos, se te ve


Qué lástima no poder felicitarte


Qué dirías y de blanco hay que ver


Seguro que cuando llegue el gran momento


Cuando te hagan la pregunta y digas sí


Será como si jamás me hubieras visto


Ay, amiga, esto es ver para vivir


Adiós, adiós, princesa


Espero que hayas hecho lo mejor


Y tengas lo que yo te he dado tanto


Amor, amor y amor


Adiós, adiós, princesa


Que el mundo entero gire para ti


Espero que no tengas que acordarte


Jamás, jamás de mí",https://www.letras.com//jose-jose/747476/
José José,Agua Con Sal,"Cuando una gota de lluvia por tu carita rodó


Yo dije llora, llora, llora por mí


Llora por mí


Y me sentí tan alegre porque llorabas por mí


Qué dije me ama, me ama y no era así


Era agua nada más que una nube lloró


Luego tu cara y la mía la lluvia mojó


Pero después yo te dije, estoy seguro que tú


Ya no me quieres, nada mejor adiós


Y en tus mejillas vi dos gotas que bebí


Y no era lluvia, eran gotas del alma con sal


Nunca un sabor más precioso a mi boca llegó


Nunca creí que el amor era agua con sal


Nunca creí que el amor era agua con sal


Nunca creí que el amor era agua con sal


Nunca creí que el amor era agua con sal


Ya no me quieres, nada mejor adiós


Y en tus mejillas vi dos gotas que bebí


Y no era lluvia, eran gotas del alma con sal


Nunca un sabor más precioso a mi boca llegó


Nunca creí que el amor era agua con sal


Nunca creí que el amor era agua con sal


Nunca creí que el amor era agua con sal


Nunca creí que el amor era agua con sal",https://www.letras.com//jose-jose/agua-con-sal/
José José,Ahora No,"Ahora no


Será otra vez


Ahora no


No puedo hoy


Será después


Ahora no


Será otra vez


Ahora no


No puedo hoy


Será después


Y así


Te has pasado todo el tiempo


Desde que te conocí


Yo no se porque no quieres tú


Conmigo un día salir


No pienses mal de mi cariño


Te quiero bien


Te ofrezco amor


Podemos solo ser amigos


Si no me quieres como yo


Ahora no


Será otra vez


Ahora no


No puedo hoy


Y cuando pues


Y yo sigo y sigo enamorado


Cada día mas de ti


El mismo tiempo que tengo de tanto y tanto insistir


No pienses mal de mi cariño


Te quiero bien


Te ofrezco amor


Podemos solo ser amigos


Si no me quieres como yo


Ahora no


Será otra vez


Ahora no, ahora no


Será después


Ahora no


Será otra vez


Ahora no, no puedes hoy


Y cuando pues


Ahora no


Ahora no, ahora no


Y cuando pues",https://www.letras.com//jose-jose/ahora-no/
José José,Ahora o Nunca,"Me sentí culpable al besar tu piel


Retiré mi cuerpo de tu cuerpo


No debo hacerlo, pensé


Te sentiste herida te pusiste en pie


Dije no te enfades, pero eres


Demasiado niña, para ser mujer


Vete a qué esperas muchacha


Ponte tu vestido y guarda tus sueños


Vete ahora o nunca a qué esperas muchacha


Ponte tu vestido y guarda tus sueños


Vete ahora o nunca


Me sentí ridículo y dudo si hice bien


Pensarás tal vez que soy un tonto


Poder amarte y no querer


Hice que tus lágrimas no te acompañen


Dije ten paciencia que a tus años


No debes estrenar aún tu piel


Vete a qué esperas muchacha


Ponte tu vestido y guarda tus sueños


Vete ahora o nunca a qué esperas muchacha


Ponte tu vestido y guarda tus sueños


Vete ahora o nunca


Vete a qué esperas muchacha


Ponte tu vestido y guarda tus sueños


Vete ahora o nunca a qué esperas muchacha


Ponte tu vestido y guarda tus sueños


Vete ahora o nunca",https://www.letras.com//jose-jose/ahora-o-nunca/
José José,Alas,"Señor


Por encima de todas las cosas


Tu voluntad esta


Y yo la amo


Porque soy parte de ella


Se que mi vida no terminara


En las alas


De tu voluntad


Más tarde o más temprano


La vida se va


Allá donde tu recreas


Con música infinita


Y jardines de estrellas


En las alas


De tu voluntad


Más tarde o más temprano


La vida se va


Señor tu voluntad es bella


Y la amo


Yo la amo


En las alas


De tu voluntad


Más tarde o más temprano


Yo quiero llegar


Señor allá donde mi amigo


Que goza para siempre de tu bondad",https://www.letras.com//jose-jose/alas/
