frame_year,era,n_nodes,n_edges,n_uni,n_pos,n_kin,n_mar,share_global,share_flagship,mean_prestige,n_political,n_economic,n_cultural,x,y,prest_lab,label_hud
1800,Colonial / late colonial (1800),0,0,0,0,0,0,NA,NA,NA,0,0,0,-20.554659247433058,17.85573548065062,n/a,"Colonial / late colonial (1800)
Active: 0 actors | 0 cumulative edges
By tie: shared university 0 | shared position 0 | kinship 0 | marriage 0
Global (US/UK) circuit: NA | national flagship: NA | mean prestige: n/a"
1805,Colonial / late colonial (1805),12,1,0,0,1,0,0.16666666666666666,0.5,0.8916666666666666,5,5,2,-20.554659247433058,17.85573548065062,0.89,"Colonial / late colonial (1805)
Active: 12 actors | 1 cumulative edges
By tie: shared university 0 | shared position 0 | kinship 1 | marriage 0
Global (US/UK) circuit: 16.7% | national flagship: 50.0% | mean prestige: 0.89"
1810,Colonial / late colonial (1810),22,2,1,0,1,0,0.13636363636363635,0.5,0.875,13,7,2,-20.554659247433058,17.85573548065062,0.88,"Colonial / late colonial (1810)
Active: 22 actors | 2 cumulative edges
By tie: shared university 1 | shared position 0 | kinship 1 | marriage 0
Global (US/UK) circuit: 13.6% | national flagship: 50.0% | mean prestige: 0.88"
1815,Colonial / late colonial (1815),33,3,1,0,2,0,0.18181818181818182,0.48484848484848486,0.8793939393939394,18,11,4,-20.554659247433058,17.85573548065062,0.88,"Colonial / late colonial (1815)
Active: 33 actors | 3 cumulative edges
By tie: shared university 1 | shared position 0 | kinship 2 | marriage 0
Global (US/UK) circuit: 18.2% | national flagship: 48.5% | mean prestige: 0.88"
1820,Colonial / late colonial (1820),42,9,2,1,6,0,0.21428571428571427,0.4523809523809524,0.8859523809523809,24,14,4,-20.554659247433058,17.85573548065062,0.89,"Colonial / late colonial (1820)
Active: 42 actors | 9 cumulative edges
By tie: shared university 2 | shared position 1 | kinship 6 | marriage 0
Global (US/UK) circuit: 21.4% | national flagship: 45.2% | mean prestige: 0.89"
1825,Colonial / late colonial (1825),57,17,4,2,10,1,0.21052631578947367,0.43859649122807015,0.8849122807017544,34,15,8,-20.554659247433058,17.85573548065062,0.88,"Colonial / late colonial (1825)
Active: 57 actors | 17 cumulative edges
By tie: shared university 4 | shared position 2 | kinship 10 | marriage 1
Global (US/UK) circuit: 21.1% | national flagship: 43.9% | mean prestige: 0.88"
1830,Colonial / late colonial (1830),75,29,7,4,16,2,0.2,0.4533333333333333,0.8835999999999999,44,21,10,-20.554659247433058,17.85573548065062,0.88,"Colonial / late colonial (1830)
Active: 75 actors | 29 cumulative edges
By tie: shared university 7 | shared position 4 | kinship 16 | marriage 2
Global (US/UK) circuit: 20.0% | national flagship: 45.3% | mean prestige: 0.88"
1835,Colonial / late colonial (1835),86,40,8,6,23,3,0.20930232558139536,0.4069767441860465,0.8854651162790698,51,24,11,-20.554659247433058,17.85573548065062,0.89,"Colonial / late colonial (1835)
Active: 86 actors | 40 cumulative edges
By tie: shared university 8 | shared position 6 | kinship 23 | marriage 3
Global (US/UK) circuit: 20.9% | national flagship: 40.7% | mean prestige: 0.89"
1840,Colonial / late colonial (1840),106,64,17,9,34,4,0.20754716981132076,0.4056603773584906,0.8858490566037736,63,32,11,-20.554659247433058,17.85573548065062,0.89,"Colonial / late colonial (1840)
Active: 106 actors | 64 cumulative edges
By tie: shared university 17 | shared position 9 | kinship 34 | marriage 4
Global (US/UK) circuit: 20.8% | national flagship: 40.6% | mean prestige: 0.89"
1845,Colonial / late colonial (1845),112,71,20,9,37,5,0.22321428571428573,0.39285714285714285,0.8869642857142856,66,33,13,-20.554659247433058,17.85573548065062,0.89,"Colonial / late colonial (1845)
Active: 112 actors | 71 cumulative edges
By tie: shared university 20 | shared position 9 | kinship 37 | marriage 5
Global (US/UK) circuit: 22.3% | national flagship: 39.3% | mean prestige: 0.89"
1850,Colonial / late colonial (1850),128,92,26,12,47,7,0.203125,0.3828125,0.884921875,73,37,18,-20.554659247433058,17.85573548065062,0.88,"Colonial / late colonial (1850)
Active: 128 actors | 92 cumulative edges
By tie: shared university 26 | shared position 12 | kinship 47 | marriage 7
Global (US/UK) circuit: 20.3% | national flagship: 38.3% | mean prestige: 0.88"
1855,Colonial / late colonial (1855),146,124,38,17,60,9,0.2191780821917808,0.3561643835616438,0.8852054794520547,81,45,20,-20.554659247433058,17.85573548065062,0.89,"Colonial / late colonial (1855)
Active: 146 actors | 124 cumulative edges
By tie: shared university 38 | shared position 17 | kinship 60 | marriage 9
Global (US/UK) circuit: 21.9% | national flagship: 35.6% | mean prestige: 0.89"
1860,Colonial / late colonial (1860),158,148,43,23,73,9,0.2088607594936709,0.34177215189873417,0.8856329113924051,91,47,20,-20.554659247433058,17.85573548065062,0.89,"Colonial / late colonial (1860)
Active: 158 actors | 148 cumulative edges
By tie: shared university 43 | shared position 23 | kinship 73 | marriage 9
Global (US/UK) circuit: 20.9% | national flagship: 34.2% | mean prestige: 0.89"
1865,Colonial / late colonial (1865),172,160,47,26,77,10,0.21511627906976744,0.3488372093023256,0.8861627906976745,95,51,26,-20.554659247433058,17.85573548065062,0.89,"Colonial / late colonial (1865)
Active: 172 actors | 160 cumulative edges
By tie: shared university 47 | shared position 26 | kinship 77 | marriage 10
Global (US/UK) circuit: 21.5% | national flagship: 34.9% | mean prestige: 0.89"
1870,Oligarchic-republican (1870),188,191,52,29,94,16,0.2127659574468085,0.34574468085106386,0.8861170212765958,105,56,27,-20.554659247433058,17.85573548065062,0.89,"Oligarchic-republican (1870)
Active: 188 actors | 191 cumulative edges
By tie: shared university 52 | shared position 29 | kinship 94 | marriage 16
Global (US/UK) circuit: 21.3% | national flagship: 34.6% | mean prestige: 0.89"
1875,Oligarchic-republican (1875),202,215,59,33,106,17,0.24257425742574257,0.32673267326732675,0.8905940594059406,113,60,29,-20.554659247433058,17.85573548065062,0.89,"Oligarchic-republican (1875)
Active: 202 actors | 215 cumulative edges
By tie: shared university 59 | shared position 33 | kinship 106 | marriage 17
Global (US/UK) circuit: 24.3% | national flagship: 32.7% | mean prestige: 0.89"
1880,Oligarchic-republican (1880),217,255,67,38,129,21,0.2488479262672811,0.33640552995391704,0.8929493087557604,122,63,32,-20.554659247433058,17.85573548065062,0.89,"Oligarchic-republican (1880)
Active: 217 actors | 255 cumulative edges
By tie: shared university 67 | shared position 38 | kinship 129 | marriage 21
Global (US/UK) circuit: 24.9% | national flagship: 33.6% | mean prestige: 0.89"
1885,Oligarchic-republican (1885),228,284,77,41,142,24,0.2543859649122807,0.32456140350877194,0.8944298245614035,127,66,35,-20.554659247433058,17.85573548065062,0.89,"Oligarchic-republican (1885)
Active: 228 actors | 284 cumulative edges
By tie: shared university 77 | shared position 41 | kinship 142 | marriage 24
Global (US/UK) circuit: 25.4% | national flagship: 32.5% | mean prestige: 0.89"
1890,Oligarchic-republican (1890),240,322,83,49,161,29,0.25833333333333336,0.325,0.8959583333333333,131,70,39,-20.554659247433058,17.85573548065062,0.90,"Oligarchic-republican (1890)
Active: 240 actors | 322 cumulative edges
By tie: shared university 83 | shared position 49 | kinship 161 | marriage 29
Global (US/UK) circuit: 25.8% | national flagship: 32.5% | mean prestige: 0.90"
1895,Oligarchic-republican (1895),251,340,88,52,169,31,0.27091633466135456,0.32669322709163345,0.8974900398406375,137,74,40,-20.554659247433058,17.85573548065062,0.90,"Oligarchic-republican (1895)
Active: 251 actors | 340 cumulative edges
By tie: shared university 88 | shared position 52 | kinship 169 | marriage 31
Global (US/UK) circuit: 27.1% | national flagship: 32.7% | mean prestige: 0.90"
