frame_year,era,n_nodes,n_edges,n_uni,n_pos,n_kin,n_mar,share_global,share_flagship,mean_prestige,x,y,prest_lab,label_hud
1800,Colonial / tardío colonial (1800),0,0,0,0,0,0,NA,NA,NA,-20.554659247433058,17.85573548065062,s/d,"Colonial / tardío colonial (1800)
Activos: 0 sujetos | 0 vínculos acumulados
Trayectoria: universidad compartida 0 | mismo cargo 0 | parentesco 0 | matrimonio 0
Circuito global (US/UK): NA | grandes nacionales: NA | prestigio medio: s/d"
1805,Colonial / tardío colonial (1805),12,1,0,0,1,0,0.16666666666666666,0.5,0.8916666666666666,-20.554659247433058,17.85573548065062,0.89,"Colonial / tardío colonial (1805)
Activos: 12 sujetos | 1 vínculos acumulados
Trayectoria: universidad compartida 0 | mismo cargo 0 | parentesco 1 | matrimonio 0
Circuito global (US/UK): 16.7% | grandes nacionales: 50.0% | prestigio medio: 0.89"
1810,Colonial / tardío colonial (1810),22,2,1,0,1,0,0.13636363636363635,0.5,0.875,-20.554659247433058,17.85573548065062,0.88,"Colonial / tardío colonial (1810)
Activos: 22 sujetos | 2 vínculos acumulados
Trayectoria: universidad compartida 1 | mismo cargo 0 | parentesco 1 | matrimonio 0
Circuito global (US/UK): 13.6% | grandes nacionales: 50.0% | prestigio medio: 0.88"
1815,Colonial / tardío colonial (1815),33,3,1,0,2,0,0.18181818181818182,0.48484848484848486,0.8793939393939394,-20.554659247433058,17.85573548065062,0.88,"Colonial / tardío colonial (1815)
Activos: 33 sujetos | 3 vínculos acumulados
Trayectoria: universidad compartida 1 | mismo cargo 0 | parentesco 2 | matrimonio 0
Circuito global (US/UK): 18.2% | grandes nacionales: 48.5% | prestigio medio: 0.88"
1820,Colonial / tardío colonial (1820),42,9,2,1,6,0,0.21428571428571427,0.4523809523809524,0.8859523809523809,-20.554659247433058,17.85573548065062,0.89,"Colonial / tardío colonial (1820)
Activos: 42 sujetos | 9 vínculos acumulados
Trayectoria: universidad compartida 2 | mismo cargo 1 | parentesco 6 | matrimonio 0
Circuito global (US/UK): 21.4% | grandes nacionales: 45.2% | prestigio medio: 0.89"
1825,Colonial / tardío colonial (1825),57,17,4,2,10,1,0.21052631578947367,0.43859649122807015,0.8849122807017544,-20.554659247433058,17.85573548065062,0.88,"Colonial / tardío colonial (1825)
Activos: 57 sujetos | 17 vínculos acumulados
Trayectoria: universidad compartida 4 | mismo cargo 2 | parentesco 10 | matrimonio 1
Circuito global (US/UK): 21.1% | grandes nacionales: 43.9% | prestigio medio: 0.88"
1830,Colonial / tardío colonial (1830),75,29,7,4,16,2,0.2,0.4533333333333333,0.8835999999999999,-20.554659247433058,17.85573548065062,0.88,"Colonial / tardío colonial (1830)
Activos: 75 sujetos | 29 vínculos acumulados
Trayectoria: universidad compartida 7 | mismo cargo 4 | parentesco 16 | matrimonio 2
Circuito global (US/UK): 20.0% | grandes nacionales: 45.3% | prestigio medio: 0.88"
1835,Colonial / tardío colonial (1835),86,40,8,6,23,3,0.20930232558139536,0.4069767441860465,0.8854651162790698,-20.554659247433058,17.85573548065062,0.89,"Colonial / tardío colonial (1835)
Activos: 86 sujetos | 40 vínculos acumulados
Trayectoria: universidad compartida 8 | mismo cargo 6 | parentesco 23 | matrimonio 3
Circuito global (US/UK): 20.9% | grandes nacionales: 40.7% | prestigio medio: 0.89"
1840,Colonial / tardío colonial (1840),106,64,17,9,34,4,0.20754716981132076,0.4056603773584906,0.8858490566037736,-20.554659247433058,17.85573548065062,0.89,"Colonial / tardío colonial (1840)
Activos: 106 sujetos | 64 vínculos acumulados
Trayectoria: universidad compartida 17 | mismo cargo 9 | parentesco 34 | matrimonio 4
Circuito global (US/UK): 20.8% | grandes nacionales: 40.6% | prestigio medio: 0.89"
1845,Colonial / tardío colonial (1845),112,71,20,9,37,5,0.22321428571428573,0.39285714285714285,0.8869642857142856,-20.554659247433058,17.85573548065062,0.89,"Colonial / tardío colonial (1845)
Activos: 112 sujetos | 71 vínculos acumulados
Trayectoria: universidad compartida 20 | mismo cargo 9 | parentesco 37 | matrimonio 5
Circuito global (US/UK): 22.3% | grandes nacionales: 39.3% | prestigio medio: 0.89"
