step,lcc_frac,strategy,removed_family,pct_removed
1,0.1695827725437416,targeted,caicedo,0.0013458950201884253
2,0.15902964959568733,targeted,pinto_chile,0.0026917900403768506
3,0.15384615384615385,targeted,vicuña,0.004037685060565276
4,0.1445945945945946,targeted,claro_chile,0.005383580080753701
5,0.09472259810554803,targeted,vial,0.006729475100942127
6,0.0948509485094851,targeted,errázuriz,0.008075370121130552
7,0.037991858887381276,targeted,velasco_chile,0.009421265141318977
8,0.03804347826086957,targeted,borrero,0.010767160161507403
9,0.0380952380952381,targeted,concha_chile,0.012113055181695828
10,0.027247956403269755,targeted,cruz_chile,0.013458950201884253
