consensus_signature,n_families
104_105_31_111,4
114_115_34_122,3
127_128_20_135,5
12_12_19_13,4
12_12_23_13,2
130_23_6_138,9
130_23_6_193,2
136_136_1_144,5
148_148_39_156,2
15_15_28_16,4
15_15_7_105,5
15_15_7_16,2
165_165_17_173,5
16_16_2_17,9
178_178_67_186,2
179_179_32_187,3
184_184_36_192,3
18_18_66_19,2
199_199_62_208,2
19_19_65_20,2
1_1_24_1,4
212_212_64_221,2
22_22_14_31,7
22_22_14_71,3
22_22_21_31,2
22_22_26_116,5
22_22_5_23,4
22_23_5_23,2
245_245_59_256,2
247_247_33_258,3
263_263_58_274,2
286_286_55_298,2
294_294_56_306,2
2_2_11_8,3
2_2_16_2,16
2_2_22_250,2
2_2_30_8,3
304_304_53_316,2
307_307_4_319,3
307_307_4_424,2
30_31_11_86,4
30_31_18_32,3
35_36_3_230,2
35_36_3_37,2
35_36_3_51,12
374_374_49_387,2
37_38_42_39,2
395_395_48_408,2
401_401_46_414,2
416_416_45_430,2
42_43_41_44,2
435_435_47_449,2
446_446_52_460,2
458_458_43_472,2
45_46_40_47,2
464_464_44_478,2
46_47_9_372,2
46_47_9_48,4
50_51_63_53,2
52_53_10_55,3
63_64_61_66,2
67_68_27_70,6
6_6_25_6,3
6_6_37_6,2
70_71_54_74,2
74_75_13_78,5
74_75_35_78,2
74_75_3_293,5
74_75_3_99,2
75_76_50_79,2
7_7_51_7,2
8_8_12_9,4
92_93_38_97,2
93_94_10_98,3
94_95_29_100,4
97_98_8_103,4
98_99_60_104,2
99_100_57_106,2
9_9_15_10,4
