family,stationary_prob,observed_degree_share,cor_stationary_degree
escalada,0.3104686256229477,0.007425742574257425,0.030462727188199593
balcarce,0.24748829031970498,0.0049504950495049506,0.030462727188199593
san_martín,0.24748829031970465,0.0049504950495049506,0.030462727188199593
leyva,0.11271414075410709,0.007425742574257425,0.030462727188199593
bullrich,0.04092032649175232,0.0024752475247524753,0.030462727188199593
durán_colombia,0.04092032649175232,0.0024752475247524753,0.030462727188199593
toro_venezuela,2.2933500903977307e-15,0.009900990099009901,0.030462727188199593
palacios_venezuela,1.5092702975429952e-15,0.0049504950495049506,0.030462727188199593
bolívar,1.4750396037580212e-15,0.0049504950495049506,0.030462727188199593
concha_chile,1.0000897645381567e-15,0.012376237623762377,0.030462727188199593
caicedo,8.824672275017421e-16,0.027227722772277228,0.030462727188199593
carreño,8.21022036544988e-16,0.0049504950495049506,0.030462727188199593
álvarez_del_casal,8.132580112047525e-16,0.009900990099009901,0.030462727188199593
vicuña,7.717469067690499e-16,0.022277227722772276,0.030462727188199593
prieto,7.018822485041511e-16,0.007425742574257425,0.030462727188199593
borrero,6.808975905219331e-16,0.012376237623762377,0.030462727188199593
caro,6.735136755791822e-16,0.007425742574257425,0.030462727188199593
holguín,6.046830699454703e-16,0.0049504950495049506,0.030462727188199593
matte,5.954048468958106e-16,0.009900990099009901,0.030462727188199593
garcía-huidobro,5.876133864872414e-16,0.009900990099009901,0.030462727188199593
sanz_de_santamaría,5.474660276327783e-16,0.007425742574257425,0.030462727188199593
galeano,5.349554794439987e-16,0.0049504950495049506,0.030462727188199593
arboleda,4.963213955830757e-16,0.007425742574257425,0.030462727188199593
restrepo,4.911647604186932e-16,0.007425742574257425,0.030462727188199593
chadwick,4.907060516091815e-16,0.009900990099009901,0.030462727188199593
olmos,4.864433371053887e-16,0.0049504950495049506,0.030462727188199593
edwards,4.551024249800866e-16,0.007425742574257425,0.030462727188199593
azuola,4.354741252177349e-16,0.0049504950495049506,0.030462727188199593
jaramillo_colombia,4.3124076988339235e-16,0.0049504950495049506,0.030462727188199593
allamand,4.157919586254167e-16,0.007425742574257425,0.030462727188199593
groot,4.09000339772832e-16,0.0049504950495049506,0.030462727188199593
vergara-azcárate,3.427474281473917e-16,0.007425742574257425,0.030462727188199593
claro_chile,3.424265990766703e-16,0.017326732673267328,0.030462727188199593
errázuriz,3.3879140425149034e-16,0.01485148514851485,0.030462727188199593
bielsa,3.1015607949586923e-16,0.007425742574257425,0.030462727188199593
bello,3.011344280677753e-16,0.0049504950495049506,0.030462727188199593
rojas,2.869098798681234e-16,0.0049504950495049506,0.030462727188199593
lozano,2.5312054587919007e-16,0.0049504950495049506,0.030462727188199593
pinal_hidalgo,2.494295892886645e-16,0.0049504950495049506,0.030462727188199593
nariño,2.4154276451913235e-16,0.0049504950495049506,0.030462727188199593
madero,2.388392510665094e-16,0.007425742574257425,0.030462727188199593
mackenna,2.355631288634063e-16,0.012376237623762377,0.030462727188199593
saá,2.1591216723778066e-16,0.007425742574257425,0.030462727188199593
ureta,2.1582449599622927e-16,0.007425742574257425,0.030462727188199593
ayala,2.1227986552710527e-16,0.0024752475247524753,0.030462727188199593
pardo,1.9561601117010655e-16,0.007425742574257425,0.030462727188199593
largacha,1.8632503879348415e-16,0.0049504950495049506,0.030462727188199593
aguilar,1.855172605178121e-16,0.007425742574257425,0.030462727188199593
acevedo_colombia,1.8424502747661096e-16,0.007425742574257425,0.030462727188199593
valdivieso,1.8217468083816297e-16,0.009900990099009901,0.030462727188199593
mosquera,1.7974530463687273e-16,0.0024752475247524753,0.030462727188199593
urdaneta,1.7670999983379e-16,0.012376237623762377,0.030462727188199593
vial,1.7413695482865242e-16,0.017326732673267328,0.030462727188199593
bunster,1.7405525917766053e-16,0.0024752475247524753,0.030462727188199593
gonzález-olaechea,1.681774061954074e-16,0.0024752475247524753,0.030462727188199593
pizarro_colombia,1.6627900859773998e-16,0.0024752475247524753,0.030462727188199593
vaca_narvaja,1.6627900859773998e-16,0.0024752475247524753,0.030462727188199593
tohá,1.6495367060996565e-16,0.007425742574257425,0.030462727188199593
valdés_chile,1.4885299800557954e-16,0.009900990099009901,0.030462727188199593
lavín,1.4701563746177823e-16,0.0024752475247524753,0.030462727188199593
di_girolamo,1.3956802410990677e-16,0.009900990099009901,0.030462727188199593
llinás,1.3940076878631281e-16,0.0024752475247524753,0.030462727188199593
umaña,1.3866273146916424e-16,0.0024752475247524753,0.030462727188199593
torrijos,1.3431277906178956e-16,0.0024752475247524753,0.030462727188199593
cortés_de_monroy,1.3325420715871612e-16,0.0049504950495049506,0.030462727188199593
osma,1.3066447978358367e-16,0.0024752475247524753,0.030462727188199593
eder,1.2817270663158903e-16,0.007425742574257425,0.030462727188199593
ricaurte,1.2598452640752303e-16,0.0024752475247524753,0.030462727188199593
pinto_chile,1.2485637377467987e-16,0.022277227722772276,0.030462727188199593
echenique,1.2092908206548934e-16,0.007425742574257425,0.030462727188199593
garcía-mansilla,1.2092908206548934e-16,0.009900990099009901,0.030462727188199593
ruiz-massieu,1.1850816057104432e-16,0.0024752475247524753,0.030462727188199593
pizarro,1.086200141800124e-16,0.007425742574257425,0.030462727188199593
angulo,1.0679966200040337e-16,0.0024752475247524753,0.030462727188199593
bustamante,1.0669626179888633e-16,0.0049504950495049506,0.030462727188199593
cabal,1.0399295551707334e-16,0.0024752475247524753,0.030462727188199593
gutiérrez_díaz,1.0399295551707334e-16,0.0024752475247524753,0.030462727188199593
soublette,1.0399295551707334e-16,0.0024752475247524753,0.030462727188199593
tenorio,1.0399295551707334e-16,0.0024752475247524753,0.030462727188199593
angelini,1.0165316201912943e-16,0.0024752475247524753,0.030462727188199593
aylwin,1.0165316201912943e-16,0.0024752475247524753,0.030462727188199593
obregón,1.0165316201912943e-16,0.0024752475247524753,0.030462727188199593
zaldívar,1.0165316201912943e-16,0.0024752475247524753,0.030462727188199593
bitar,9.186286033973625e-17,0.0049504950495049506,0.030462727188199593
subercaseaux,8.949851331243034e-17,0.0049504950495049506,0.030462727188199593
malo,8.910333746353248e-17,0.0024752475247524753,0.030462727188199593
herrera,8.821706677811714e-17,0.0024752475247524753,0.030462727188199593
char,8.673090010507396e-17,0.0049504950495049506,0.030462727188199593
ortiz_de_rozas,8.315403689357597e-17,0.009900990099009901,0.030462727188199593
camacho,8.14940257198657e-17,0.0049504950495049506,0.030462727188199593
farías,7.392374571445067e-17,0.0024752475247524753,0.030462727188199593
echaurren,7.034319736306034e-17,0.0049504950495049506,0.030462727188199593
robles,6.983413144406409e-17,0.0024752475247524753,0.030462727188199593
rocha,6.983413144406409e-17,0.0024752475247524753,0.030462727188199593
cueto,6.901248360259346e-17,0.0024752475247524753,0.030462727188199593
videla,6.901248360259346e-17,0.0024752475247524753,0.030462727188199593
calderón_hinojosa,6.634530842772732e-17,0.0049504950495049506,0.030462727188199593
álvarez_calderón,6.375384569249033e-17,0.0049504950495049506,0.030462727188199593
cisneros,6.309552545584754e-17,0.007425742574257425,0.030462727188199593
del_solar,6.302723943859311e-17,0.0049504950495049506,0.030462727188199593
sánchez-concha,6.174275753464431e-17,0.0024752475247524753,0.030462727188199593
mendoza_ladrón_de_guevara,6.034276348740904e-17,0.0024752475247524753,0.030462727188199593
caputo,5.753062651933192e-17,0.0024752475247524753,0.030462727188199593
manrique,5.753062651933192e-17,0.0024752475247524753,0.030462727188199593
mazuera,5.753062651933192e-17,0.0024752475247524753,0.030462727188199593
ortiz_basualdo,5.753062651933192e-17,0.0024752475247524753,0.030462727188199593
moctezuma,5.4003986185476163e-17,0.0024752475247524753,0.030462727188199593
tito,5.4003986185476163e-17,0.0024752475247524753,0.030462727188199593
benavides_perú,5.379699918992737e-17,0.0049504950495049506,0.030462727188199593
bachelet,5.303178544040468e-17,0.0024752475247524753,0.030462727188199593
bordaberry,5.303178544040468e-17,0.0024752475247524753,0.030462727188199593
undurraga,5.303178544040468e-17,0.0024752475247524753,0.030462727188199593
solari,5.237780482295917e-17,0.0024752475247524753,0.030462727188199593
alvear,5.0628606666333324e-17,0.007425742574257425,0.030462727188199593
ponce_de_león,4.853894226112851e-17,0.0024752475247524753,0.030462727188199593
pinedo,4.787232236310339e-17,0.0024752475247524753,0.030462727188199593
álzaga,4.7401693047119116e-17,0.0024752475247524753,0.030462727188199593
samper,4.622600016242283e-17,0.0049504950495049506,0.030462727188199593
matta,4.512123617880406e-17,0.0024752475247524753,0.030462727188199593
lavalle,4.4317022757115103e-17,0.0049504950495049506,0.030462727188199593
piñera,4.426180948149628e-17,0.0024752475247524753,0.030462727188199593
tristán_del_pozo,4.426180948149628e-17,0.0024752475247524753,0.030462727188199593
alayza,4.394978857491396e-17,0.0024752475247524753,0.030462727188199593
ortiz_de_zevallos,4.361476092342791e-17,0.0024752475247524753,0.030462727188199593
garcía_de_sobrecasa,4.3012236577778214e-17,0.0024752475247524753,0.030462727188199593
mansilla,4.3012236577778214e-17,0.0024752475247524753,0.030462727188199593
rodríguez_larreta,4.3012236577778214e-17,0.0024752475247524753,0.030462727188199593
silva_santisteban,4.286321707337099e-17,0.0024752475247524753,0.030462727188199593
valdés,4.286321707337099e-17,0.0024752475247524753,0.030462727188199593
cruz_chile,3.88020327425437e-17,0.012376237623762377,0.030462727188199593
cisneros_venezuela,3.7614312075779e-17,0.0024752475247524753,0.030462727188199593
ulloa,3.7614312075779e-17,0.0024752475247524753,0.030462727188199593
díaz_ceballos,3.6026109826751484e-17,0.0049504950495049506,0.030462727188199593
del_carril,3.455590519193526e-17,0.0049504950495049506,0.030462727188199593
del_mazo,3.437492137799243e-17,0.0024752475247524753,0.030462727188199593
diez_canseco,3.3197156397923563e-17,0.0049504950495049506,0.030462727188199593
bulnes,3.3122798221665534e-17,0.007425742574257425,0.030462727188199593
portales,3.2406424235064145e-17,0.007425742574257425,0.030462727188199593
cafiero,3.0775722140649185e-17,0.0024752475247524753,0.030462727188199593
odriozola,2.836997206472459e-17,0.0024752475247524753,0.030462727188199593
rodríguez_saá,2.7069663858559328e-17,0.0024752475247524753,0.030462727188199593
cruz-coke,2.699397677579201e-17,0.0024752475247524753,0.030462727188199593
belgrano,2.5865757054128934e-17,0.0024752475247524753,0.030462727188199593
díaz_ordaz,2.5453679430347898e-17,0.007425742574257425,0.030462727188199593
gnecco,2.5173190423156237e-17,0.0024752475247524753,0.030462727188199593
parís,2.46193638905813e-17,0.0024752475247524753,0.030462727188199593
villaveces,2.46193638905813e-17,0.0024752475247524753,0.030462727188199593
velasco_chile,2.4312036986491164e-17,0.01485148514851485,0.030462727188199593
alarco,2.1043804909535288e-17,0.0049504950495049506,0.030462727188199593
ballivián,2.103925788523294e-17,0.0024752475247524753,0.030462727188199593
sánchez_de_bustamante,2.103925788523294e-17,0.0024752475247524753,0.030462727188199593
vodanovic,2.103925788523294e-17,0.0024752475247524753,0.030462727188199593
llosa,1.945547947875317e-17,0.009900990099009901,0.030462727188199593
onassis,1.9407144271406228e-17,0.0024752475247524753,0.030462727188199593
galán,1.4053044906998453e-17,0.0049504950495049506,0.030462727188199593
sodi,1.3921746877204404e-17,0.0049504950495049506,0.030462727188199593
turbay,1.360685484010644e-17,0.0024752475247524753,0.030462727188199593
tamayo_perú,1.145977818442692e-17,0.0024752475247524753,0.030462727188199593
moreyra,1.0032907016411631e-17,0.0024752475247524753,0.030462727188199593
díez_marina,9.850627352563738e-18,0.0024752475247524753,0.030462727188199593
allende,9.41229957707403e-18,0.0024752475247524753,0.030462727188199593
borja,9.41229957707403e-18,0.0024752475247524753,0.030462727188199593
garza_sada,9.41229957707403e-18,0.0024752475247524753,0.030462727188199593
gómez_martínez,9.41229957707403e-18,0.0024752475247524753,0.030462727188199593
morandé,9.41229957707403e-18,0.0024752475247524753,0.030462727188199593
miró_quesada,8.587491425045414e-18,0.0049504950495049506,0.030462727188199593
abal_medina,7.652835508707835e-18,0.0024752475247524753,0.030462727188199593
alemann,7.581334831718703e-18,0.0024752475247524753,0.030462727188199593
azcuénaga,7.185413443838773e-18,0.0024752475247524753,0.030462727188199593
segurola,7.185413443838773e-18,0.0024752475247524753,0.030462727188199593
roca,5.691058729654882e-18,0.0024752475247524753,0.030462727188199593
roca_y_rodríguez,5.691058729654882e-18,0.0024752475247524753,0.030462727188199593
quintero,2.9908837003420895e-18,0.0049504950495049506,0.030462727188199593
leguía,2.1960904795667105e-18,0.0024752475247524753,0.030462727188199593
