familia_a,familia_b,prob_vinculo,tiene_vinculo
errázuriz,vicuña,0.26976248039776557,FALSE
echaurren,errázuriz,0.2332252103885112,TRUE
arboleda,caicedo,0.22023066844652178,TRUE
arboleda,borja,0.2024736250216499,FALSE
echaurren,vicuña,0.19981350562695788,FALSE
errázuriz,pinto_chile,0.17409422694088517,FALSE
errázuriz,montt,0.1713810605686439,FALSE
errázuriz,matte,0.17077373143055144,FALSE
borja,caicedo,0.16873762004444373,FALSE
arboleda,ospina,0.1672780394869907,FALSE
matte,vicuña,0.16283031409037468,TRUE
errázuriz,velasco_chile,0.16179934998224685,FALSE
pinto_chile,vicuña,0.16105859080210133,FALSE
montt,vicuña,0.15989880333020057,FALSE
velasco_chile,vicuña,0.15352019355518587,FALSE
concha_chile,errázuriz,0.15058870831076165,FALSE
cruz_chile,errázuriz,0.146425339231245,FALSE
caicedo,ospina,0.1453363865751933,FALSE
edwards,errázuriz,0.13539167887548598,FALSE
concha_chile,vicuña,0.12705383893900193,FALSE
arboleda,borrero,0.12639363836346656,FALSE
borja,ospina,0.1261628681176767,FALSE
echaurren,pinto_chile,0.12471522176791178,FALSE
cruz_chile,vicuña,0.12344658123186548,FALSE
echaurren,montt,0.12265731391969908,FALSE
echaurren,matte,0.12219718592283005,FALSE
bulnes,errázuriz,0.11937515963033594,FALSE
balmaceda,errázuriz,0.1165928596870092,FALSE
echaurren,velasco_chile,0.11542024556236481,FALSE
allende,errázuriz,0.11534309953611241,FALSE
errázuriz,valdés_chile,0.11409159309296395,FALSE
edwards,vicuña,0.11391337009071226,FALSE
borrero,caicedo,0.11373540033427273,FALSE
arboleda,lópez,0.11348081988557693,FALSE
valdés_chile,vicuña,0.10894263104180998,FALSE
carvajal_y_vargas,errázuriz,0.10737770011377766,FALSE
errázuriz,pizarro,0.10398685879294689,FALSE
pizarro,vicuña,0.10349658053768797,FALSE
aylwin,errázuriz,0.10280849769824603,FALSE
bulnes,vicuña,0.10014339212712255,FALSE
matte,pinto_chile,0.09989658482014432,FALSE
arboleda,galán,0.09916970295681071,FALSE
matte,montt,0.09820225878412953,FALSE
montt,pinto_chile,0.09796551306430533,FALSE
caicedo,lópez,0.09776719891871448,FALSE
balmaceda,vicuña,0.09775957103490546,FALSE
errázuriz,vial,0.09740857310390501,FALSE
allende,vicuña,0.0966895898237252,FALSE
portales,vicuña,0.09479806239156152,FALSE
vial,vicuña,0.09469810081883473,FALSE
borja,borrero,0.09419076382831161,FALSE
errázuriz,portales,0.09391835588535412,FALSE
álvarez_del_casal,arboleda,0.09376981334235102,FALSE
concha_chile,echaurren,0.09302064316788773,FALSE
matte,velasco_chile,0.0922563681367213,FALSE
pinto_chile,velasco_chile,0.0911689200684227,FALSE
montt,velasco_chile,0.09045814462548607,FALSE
cruz_chile,echaurren,0.09027971149970015,FALSE
garcía-mansilla,podestá,0.09002975002567518,FALSE
carvajal_y_vargas,vicuña,0.08988149066048054,FALSE
di_girolamo,errázuriz,0.08909289830301759,FALSE
freire,vicuña,0.0871555067523452,FALSE
aylwin,vicuña,0.0859850802066686,TRUE
garcía-huidobro,vicuña,0.08594729219719487,FALSE
