family,block,K_selected,entropy.x,country,icl,bic,entropy.y
abal_medina,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
acevedo_colombia,2,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
acosta,1,2,512.0424614125509,venezuela,4987.040832507677,3962.955909682575,512.0424614125509
acosta_del_castillo,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
acurio,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
acuña,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
acuña_argentina,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
aguilar,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
alarco,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
alayza,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
albarracín,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
alegría,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
alemann,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
alemán,1,2,512.0424614125509,mexico,4987.040832507677,3962.955909682575,512.0424614125509
aliaga,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
allamand,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
allende,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
allende_argentina,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
alpoim,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
alsogaray,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
althaus,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
alva,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
alvear,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
alzamora,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
amador,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
ameghino,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
amez,1,2,512.0424614125509,peru,4987.040832507677,3962.955909682575,512.0424614125509
amunátegui,1,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
anchorena,1,2,512.0424614125509,argentina,4987.040832507677,3962.955909682575,512.0424614125509
anexos:familias_de_colombia,1,2,512.0424614125509,colombia,4987.040832507677,3962.955909682575,512.0424614125509
angelini,2,2,512.0424614125509,chile,4987.040832507677,3962.955909682575,512.0424614125509
