family,degree,coreness,in_3_core,in_4_core,core_score,be_fit_global
abal_medina,1,1,FALSE,FALSE,0,0.19806993296305744
acevedo_colombia,3,2,FALSE,FALSE,0.24880496239006533,0.19806993296305744
acosta,0,0,FALSE,FALSE,7.795542950801418e-49,0.19806993296305744
acosta_del_castillo,0,0,FALSE,FALSE,0,0.19806993296305744
acurio,0,0,FALSE,FALSE,0,0.19806993296305744
acuña,2,1,FALSE,FALSE,7.722478927535471e-20,0.19806993296305744
acuña_argentina,1,1,FALSE,FALSE,3.718490178452071e-16,0.19806993296305744
aguilar,3,1,FALSE,FALSE,0.04666268746222025,0.19806993296305744
alarco,2,1,FALSE,FALSE,3.4855464851488674e-17,0.19806993296305744
alayza,1,1,FALSE,FALSE,2.2345091609089002e-17,0.19806993296305744
albarracín,0,0,FALSE,FALSE,2.979345547878534e-17,0.19806993296305744
alegría,0,0,FALSE,FALSE,1.1917382191514136e-16,0.19806993296305744
alemann,1,1,FALSE,FALSE,1.1917382191514136e-16,0.19806993296305744
alemán,0,0,FALSE,FALSE,5.958691095757067e-16,0.19806993296305744
aliaga,0,0,FALSE,FALSE,2.383476438302827e-16,0.19806993296305744
allamand,3,1,FALSE,FALSE,0.002179584277690351,0.19806993296305744
allende,1,1,FALSE,FALSE,0,0.19806993296305744
allende_argentina,0,0,FALSE,FALSE,3.5752146574542403e-16,0.19806993296305744
alpoim,1,1,FALSE,FALSE,0,0.19806993296305744
alsogaray,1,1,FALSE,FALSE,2.979345547878534e-17,0.19806993296305744
althaus,0,0,FALSE,FALSE,0,0.19806993296305744
alva,0,0,FALSE,FALSE,7.448363869696335e-18,0.19806993296305744
alvear,3,2,FALSE,FALSE,0.016635345534196704,0.19806993296305744
alzamora,0,0,FALSE,FALSE,0,0.19806993296305744
amador,0,0,FALSE,FALSE,0,0.19806993296305744
ameghino,0,0,FALSE,FALSE,0,0.19806993296305744
amez,0,0,FALSE,FALSE,2.3276137092801047e-19,0.19806993296305744
amunátegui,0,0,FALSE,FALSE,1.1638068546400523e-19,0.19806993296305744
anchorena,0,0,FALSE,FALSE,5.819034273200262e-20,0.19806993296305744
anexos:familias_de_colombia,0,0,FALSE,FALSE,2.909517136600131e-20,0.19806993296305744
angelini,1,1,FALSE,FALSE,0.0464013021875311,0.19806993296305744
angulo,1,1,FALSE,FALSE,2.3593628329808775e-4,0.19806993296305744
antúnez,0,0,FALSE,FALSE,3.6368964207501635e-21,0.19806993296305744
anzoátegui,0,0,FALSE,FALSE,0,0.19806993296305744
aramburú,0,0,FALSE,FALSE,0,0.19806993296305744
araníbar,0,0,FALSE,FALSE,0,0.19806993296305744
arboleda,3,2,FALSE,FALSE,0.30315283174090363,0.19806993296305744
arenas,0,0,FALSE,FALSE,0,0.19806993296305744
argáez,1,1,FALSE,FALSE,7.103313321777663e-24,0.19806993296305744
arroyo,0,0,FALSE,FALSE,0,0.19806993296305744
arrubla,0,0,FALSE,FALSE,8.879141652222079e-25,0.19806993296305744
aráoz,0,0,FALSE,FALSE,2.2197854130555197e-25,0.19806993296305744
astete,0,0,FALSE,FALSE,2.2197854130555197e-25,0.19806993296305744
astigueta,1,1,FALSE,FALSE,0,0.19806993296305744
augier,1,1,FALSE,FALSE,4.247534129552995e-16,0.19806993296305744
avellaneda,0,0,FALSE,FALSE,0,0.19806993296305744
awad,0,0,FALSE,FALSE,4.335518384874062e-28,0.19806993296305744
awada,1,1,FALSE,FALSE,2.167759192437031e-28,0.19806993296305744
ayala,1,1,FALSE,FALSE,0.012512267419519087,0.19806993296305744
ayerbe,0,0,FALSE,FALSE,0,0.19806993296305744
aylwin,1,1,FALSE,FALSE,0.0464013021875311,0.19806993296305744
azcuénaga,1,1,FALSE,FALSE,1.9965073489993296e-18,0.19806993296305744
azcárraga,0,0,FALSE,FALSE,0,0.19806993296305744
azuola,2,2,FALSE,FALSE,0.284803343591041,0.19806993296305744
bachelet,1,1,FALSE,FALSE,1.6119932233254935e-4,0.19806993296305744
baduel,0,0,FALSE,FALSE,0,0.19806993296305744
baillères,1,1,FALSE,FALSE,0,0.19806993296305744
balanta,0,0,FALSE,FALSE,1.6538690127846e-33,0.19806993296305744
balcarce,2,2,FALSE,FALSE,0,0.19806993296305744
baldrich,0,0,FALSE,FALSE,1.033668132990375e-34,0.19806993296305744
ballivián,1,1,FALSE,FALSE,0.23510645737996833,0.19806993296305744
balmaceda,0,0,FALSE,FALSE,0,0.19806993296305744
balta,0,0,FALSE,FALSE,0,0.19806993296305744
barco,0,0,FALSE,FALSE,0,0.19806993296305744
barrantes,0,0,FALSE,FALSE,0,0.19806993296305744
barraquer,0,0,FALSE,FALSE,2.523603840308533e-38,0.19806993296305744
barreda,0,0,FALSE,FALSE,6.309009600771332e-39,0.19806993296305744
barrenechea_chile,0,0,FALSE,FALSE,0,0.19806993296305744
barrientos,0,0,FALSE,FALSE,0,0.19806993296305744
basadre,0,0,FALSE,FALSE,9.857827501205206e-41,0.19806993296305744
batlle,1,1,FALSE,FALSE,0,0.19806993296305744
bedoya,0,0,FALSE,FALSE,6.161142188253254e-42,0.19806993296305744
beingolea,0,0,FALSE,FALSE,0,0.19806993296305744
belaúnde,0,0,FALSE,FALSE,0,0.19806993296305744
belgrano,1,1,FALSE,FALSE,3.5125150297226614e-6,0.19806993296305744
bello,2,2,FALSE,FALSE,0.07414238720215702,0.19806993296305744
bemberg,0,0,FALSE,FALSE,0,0.19806993296305744
benavides_chile,0,0,FALSE,FALSE,0,0.19806993296305744
benavides_perú,2,1,FALSE,FALSE,1.3028373288874784e-18,0.19806993296305744
benegas,1,1,FALSE,FALSE,0,0.19806993296305744
berckemeyer,0,0,FALSE,FALSE,7.344653830830161e-49,0.19806993296305744
berrío,0,0,FALSE,FALSE,0,0.19806993296305744
bichir,0,0,FALSE,FALSE,2.5247247543478677e-49,0.19806993296305744
bielsa,3,1,FALSE,FALSE,0.0012563850099097506,0.19806993296305744
billinghurst,1,1,FALSE,FALSE,2.3827089869158e-48,0.19806993296305744
bitar,2,2,FALSE,FALSE,0.015914148713678487,0.19806993296305744
blanco,0,0,FALSE,FALSE,1.0668441418030492e-48,0.19806993296305744
blanco_venezuela,0,0,FALSE,FALSE,6.2103880620644125e-49,0.19806993296305744
blaquier,0,0,FALSE,FALSE,2.2540758408761582e-48,0.19806993296305744
bodega_y_quadra,0,0,FALSE,FALSE,1.7329780253603622e-49,0.19806993296305744
bolaños_cacho,0,0,FALSE,FALSE,2.7776941925104847e-50,0.19806993296305744
bolognesi,0,0,FALSE,FALSE,4.8759154168429744e-49,0.19806993296305744
bolívar,2,2,FALSE,FALSE,0.017274581989782736,0.19806993296305744
bordaberry,1,1,FALSE,FALSE,1.6119932233254935e-4,0.19806993296305744
borensztein,0,0,FALSE,FALSE,6.464191584790678e-49,0.19806993296305744
boric,0,0,FALSE,FALSE,8.876493099457648e-49,0.19806993296305744
borja,1,1,FALSE,FALSE,7.132637128597144e-18,0.19806993296305744
borrero,5,2,FALSE,FALSE,0.16670512997654788,0.19806993296305744
botana,0,0,FALSE,FALSE,4.307535304351235e-49,0.19806993296305744
boulton_venezuela,0,0,FALSE,FALSE,2.4628569074609266e-48,0.19806993296305744
boza_de_lima,0,0,FALSE,FALSE,2.1321434694966084e-48,0.19806993296305744
bracho,0,0,FALSE,FALSE,1.0571658035048676e-48,0.19806993296305744
braun,0,0,FALSE,FALSE,1.98551435300545e-49,0.19806993296305744
brescia,0,0,FALSE,FALSE,4.134775620138957e-49,0.19806993296305744
brigard,0,0,FALSE,FALSE,2.7021504069268432e-49,0.19806993296305744
brown,0,0,FALSE,FALSE,3.0319881777820216e-49,0.19806993296305744
bulgheroni,1,1,FALSE,FALSE,2.9708592428332904e-49,0.19806993296305744
bullrich,1,1,FALSE,FALSE,2.347571185445455e-36,0.19806993296305744
bulnes,3,2,FALSE,FALSE,0.3801349562144638,0.19806993296305744
bunge,1,1,FALSE,FALSE,5.35015134733543e-50,0.19806993296305744
bunster,1,1,FALSE,FALSE,0.027741085014625914,0.19806993296305744
bustamante,2,1,FALSE,FALSE,0.013796957190958012,0.19806993296305744
cabal,1,1,FALSE,FALSE,0.2460260888150635,0.19806993296305744
caballero,1,1,FALSE,FALSE,8.10448888483249e-49,0.19806993296305744
cabello,0,0,FALSE,FALSE,1.3069357023285835e-48,0.19806993296305744
cafferata,0,0,FALSE,FALSE,1.0724322624115738e-48,0.19806993296305744
cafiero,1,1,FALSE,FALSE,9.921476747934025e-49,0.19806993296305744
caicedo,11,2,FALSE,FALSE,1,0.19806993296305744
calderón_colombia,1,1,FALSE,FALSE,1.3388437076952585e-48,0.19806993296305744
calderón_hinojosa,2,1,FALSE,FALSE,0.00759067244499994,0.19806993296305744
camacho,2,1,FALSE,FALSE,1.6225523153286228e-4,0.19806993296305744
camargo,1,1,FALSE,FALSE,8.694800591594591e-49,0.19806993296305744
cambaceres,0,0,FALSE,FALSE,2.3447319970454882e-48,0.19806993296305744
campero,0,0,FALSE,FALSE,9.108698405447051e-49,0.19806993296305744
canaveris,0,0,FALSE,FALSE,8.960414788211588e-49,0.19806993296305744
candioti,0,0,FALSE,FALSE,1.903043000923884e-49,0.19806993296305744
cano,3,1,FALSE,FALSE,3.379037884919478e-48,0.19806993296305744
cantilo,0,0,FALSE,FALSE,1.1158207891518026e-48,0.19806993296305744
cantoni-bravo,0,0,FALSE,FALSE,6.028084478449767e-49,0.19806993296305744
capetillo,0,0,FALSE,FALSE,7.398422362360405e-49,0.19806993296305744
capriles,0,0,FALSE,FALSE,5.688542128292287e-49,0.19806993296305744
caputo,1,1,FALSE,FALSE,0.04351657828266829,0.19806993296305744
caro,3,2,FALSE,FALSE,0.15761440163821921,0.19806993296305744
carranza,0,0,FALSE,FALSE,4.801172537122935e-49,0.19806993296305744
carreño,2,1,FALSE,FALSE,0.013925526545665937,0.19806993296305744
carrillo_de_albornoz,0,0,FALSE,FALSE,4.1186384834741465e-49,0.19806993296305744
carrizosa,1,1,FALSE,FALSE,1.6451852842663355e-48,0.19806993296305744
carvajal,0,0,FALSE,FALSE,1.2105605135593951e-48,0.19806993296305744
carvajal_y_vargas,0,0,FALSE,FALSE,2.541766893566514e-48,0.19806993296305744
casares,0,0,FALSE,FALSE,9.561540334319178e-49,0.19806993296305744
casas,1,1,FALSE,FALSE,4.506837365338176e-48,0.19806993296305744
castaño_gil,0,0,FALSE,FALSE,8.268715070298829e-49,0.19806993296305744
castelli,0,0,FALSE,FALSE,4.5090284988690434e-49,0.19806993296305744
castillo_guevara,0,0,FALSE,FALSE,6.453347057480389e-49,0.19806993296305744
castro_taboada,0,0,FALSE,FALSE,5.2301479999675275e-49,0.19806993296305744
cavada,0,0,FALSE,FALSE,5.012912899503962e-49,0.19806993296305744
cayo,1,1,FALSE,FALSE,9.950901685695524e-18,0.19806993296305744
cerrón,0,0,FALSE,FALSE,1.2535477151601016e-49,0.19806993296305744
chadwick,4,2,FALSE,FALSE,0.16782523355858808,0.19806993296305744
char,2,1,FALSE,FALSE,4.584322079508817e-48,0.19806993296305744
chaux,0,0,FALSE,FALSE,9.372615883409358e-49,0.19806993296305744
checa,0,0,FALSE,FALSE,9.116663712619559e-50,0.19806993296305744
chirinos,0,0,FALSE,FALSE,2.0845010727818912e-49,0.19806993296305744
choquehuanca,0,0,FALSE,FALSE,8.581183481046449e-49,0.19806993296305744
chávez,0,0,FALSE,FALSE,2.1972537499187766e-48,0.19806993296305744
cházaro,0,0,FALSE,FALSE,8.61459710155628e-49,0.19806993296305744
cisneros,3,1,FALSE,FALSE,1.4498671723457527e-48,0.19806993296305744
cisneros_venezuela,1,1,FALSE,FALSE,3.345769840535839e-49,0.19806993296305744
claro_chile,7,2,FALSE,FALSE,0.17687790141385978,0.19806993296305744
cock,0,0,FALSE,FALSE,1.5361147973569607e-49,0.19806993296305744
concha,0,0,FALSE,FALSE,5.9288249235414974e-49,0.19806993296305744
concha_chile,5,2,FALSE,FALSE,0.16756671100075382,0.19806993296305744
coni,0,0,FALSE,FALSE,8.566503314530307e-49,0.19806993296305744
copello,0,0,FALSE,FALSE,5.5247288096708246e-49,0.19806993296305744
corcuera,0,0,FALSE,FALSE,1.4382676370573972e-48,0.19806993296305744
cordovéz,1,1,FALSE,FALSE,1.106400662636887e-25,0.19806993296305744
cornejo_argentina,0,0,FALSE,FALSE,2.140020011606843e-49,0.19806993296305744
coronel_méxico,0,0,FALSE,FALSE,2.760903157500258e-49,0.19806993296305744
