k,rc_obs,rc_null_mean,rc_null_low,rc_null_high,rc_norm
0,0.0068904068904068905,0.0068904068904068905,0.0068904068904068905,0.0068904068904068905,1
1,0.02149122807017544,0.02113157894736842,0.019956140350877193,0.02236842105263158,1.017019510170195
2,0.03555878084179971,0.035355587808418,0.03109579100145138,0.04067489114658926,1.0057471264367817
3,0.08300395256916997,0.06312252964426877,0.043280632411067194,0.08300395256916997,1.3149655604257986
4,0.10606060606060606,0.09878787878787879,0.045454545454545456,0.15151515151515152,1.0736196319018405
5,0.09523809523809523,0.14142857142857143,0.047619047619047616,0.24047619047619034,0.6734006734006733
6,0.2,0.17600000000000002,0,0.4,1.1363636363636362
7,0.3333333333333333,0.2033333333333333,0,0.6666666666666666,1.639344262295082
9,,,,,
11,,,,,
