url,coordinator,consultant,gatekeeper,representative,liaison,nombre,familia,pais,total_brokerage,norm_coordinator,norm_consultant,norm_gatekeeper,norm_representative,norm_liaison
https://es.wikipedia.org/wiki/%C3%81lvaro_Alcal%C3%A1-Galiano_y_Osma,0,0,0,0,0,Álvaro Alcalá-Galiano y Osma,valencia,colombia,0,0,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81lvaro_Alsogaray,0,0,0,0,0,Álvaro Alsogaray,alsogaray,argentina,0,0,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81lvaro_Casta%C3%B1o_Castillo,6,0,0,0,0,Álvaro Castaño Castillo,lópez,colombia,6,1,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81lvaro_Escobar,0,0,0,0,0,Álvaro Escobar,portales,chile,0,0,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81lvaro_Espinoza_%28actor%29,2,0,0,0,0,Álvaro Espinoza (actor),concha_chile,chile,2,1,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81lvaro_G%C3%B3mez_Hurtado,16,0,0,0,0,Álvaro Gómez Hurtado,gómez,colombia,16,1,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81lvaro_Holgu%C3%ADn_y_Caro,6,0,0,0,0,Álvaro Holguín y Caro,caro,colombia,6,1,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81lvaro_Leyva,0,0,0,0,0,Álvaro Leyva,durán_colombia,colombia,0,0,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81lvaro_Leyva_Dur%C3%A1n,0,0,0,0,0,Álvaro Leyva,durán_colombia,colombia,0,0,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81lvaro_Lloreda,0,0,1,1,0,Álvaro Lloreda,cabal,colombia,2,0,0,0.5,0.5,0
https://es.wikipedia.org/wiki/%C3%81lvaro_Mutis,0,0,0,0,0,Álvaro Mutis,mutis,colombia,0,0,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81lvaro_Noboa,6,0,0,0,0,Álvaro Noboa,noboa,ecuador,6,1,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81lvaro_P%C3%A9rez_Trevi%C3%B1o,0,0,0,0,0,Álvaro Pérez Treviño,pérez_treviño,mexico,0,0,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81lvaro_P%C3%ADo_Valencia,0,0,1,0,0,Álvaro Pío Valencia,valencia,colombia,1,0,0,1,0,0
https://es.wikipedia.org/wiki/%C3%81lvaro_Pach%C3%B3n_de_la_Torre,2,0,0,0,0,Álvaro Pachón de la Torre,galán,colombia,2,1,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81lvaro_Rudolphy,0,0,0,0,0,Álvaro Rudolphy,cruz-coke,chile,0,0,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81lvaro_Uribe_V%C3%A9lez,6,0,0,0,0,Álvaro Uribe Vélez,uribe,colombia,6,1,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81lvaro_Vargas_Llosa,0,0,0,0,0,Álvaro Vargas Llosa,vargas_llosa,peru,0,0,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81lvaro_de_Miranda_Neto,2,0,0,0,0,Álvaro de Miranda Neto,onassis,argentina,2,1,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81lvaro_de_Soto,0,0,0,0,0,Álvaro de Soto,polar,peru,0,0,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81ngel_Cuervo_Urisarri,2,0,0,0,0,Ángel Cuervo Urisarri,cuervo,colombia,2,1,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81ngel_Guarello,0,0,0,0,0,Ángel Guarello,guarello,chile,0,0,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81ngel_Guarello_Costa,0,0,0,0,0,Ángel Guarello,guarello,chile,0,0,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81ngel_Parra,6,0,0,0,0,Ángel Parra,parra_chile,chile,6,1,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81ngel_Parra_%28hijo%29,0,0,0,0,0,Ángel Parra (hijo),parra_chile,chile,0,0,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81ngel_Prieto_Vial,0,0,0,0,0,Ángel Prieto Vial,vial,chile,0,0,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81ngel_de_Iturbide_y_Huarte,0,0,0,0,0,Ángel de Iturbide y Huarte,iturbide,chile,0,0,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81ngela_Aguilar,2,0,0,0,0,Ángela Aguilar,aguilar,mexico,2,1,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81ngela_Castelli,0,0,0,0,0,Ángela Castelli,castelli,argentina,0,0,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81ngela_Jeria,4,0,0,0,0,Ángela Jeria,bachelet,chile,4,1,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81ngela_Ospina_de_Nicholls,0,0,0,0,0,Ángela Ospina de Nicholls,ospina,colombia,0,0,0,0,0,0
https://es.wikipedia.org/wiki/%C3%81ngela_Santamarina,0,0,0,0,0,Ángela Santamarina,santamarina,argentina,0,0,0,0,0,0
https://es.wikipedia.org/wiki/%C3%89dgar_Valc%C3%A1rcel,0,0,0,0,0,Édgar Valcárcel,valcárcel,peru,0,0,0,0,0,0
https://es.wikipedia.org/wiki/%C3%89lide_Brero,0,0,0,0,0,Élide Brero,pinasco,peru,0,0,0,0,0,0
https://es.wikipedia.org/wiki/%C3%93scar_Benavides,0,0,0,0,0,Óscar Benavides,benavides_perú,peru,0,0,0,0,0,0
https://es.wikipedia.org/wiki/%C3%93scar_Jim%C3%A9nez_Pinochet,2,0,0,0,0,Óscar Jiménez Pinochet,pinochet,chile,2,1,0,0,0,0
https://es.wikipedia.org/wiki/%C3%93scar_Mir%C3%B3-Quesada_de_la_Guerra,2,0,0,0,0,Óscar Miró Quesada de la Guerra,miró_quesada,peru,2,1,0,0,0,0
https://es.wikipedia.org/wiki/%C3%93scar_Mir%C3%B3_Quesada_de_la_Guerra,0,0,0,0,0,Óscar Miró Quesada de la Guerra,miró_quesada,peru,0,0,0,0,0,0
https://es.wikipedia.org/wiki/%C3%93scar_Trelles_Montes,0,0,0,0,0,Óscar Trelles Montes,trelles,peru,0,0,0,0,0,0
https://es.wikipedia.org/wiki/A%C3%B1as_Colque,6,0,0,0,0,Añas Colque,pizarro,chile,6,1,0,0,0,0
https://es.wikipedia.org/wiki/Aar%C3%B3n_de_Anchorena,0,0,0,0,0,Aarón de Anchorena,anchorena,argentina,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Aaron_Pavlovsky,0,0,0,0,0,Aaron Pavlovsky,pavlovsky,argentina,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Abel_Casabianca,0,0,0,0,0,Abel Casabianca,camacho,colombia,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Abelardo_Carranza_Strasburger,0,0,0,0,0,Abelardo Carranza Strasburger,carranza,mexico,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Abelardo_V%C3%A1squez,0,0,0,0,0,Abelardo Vásquez,vásquez,peru,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Ad%C3%A1n_Ch%C3%A1vez,2,0,0,0,0,Adán Chávez,chávez,venezuela,2,1,0,0,0,0
https://es.wikipedia.org/wiki/Ad%C3%A1n_Ch%C3%A1vez_Fr%C3%ADas,1,0,0,0,0,Adán Chávez,chávez,venezuela,1,1,0,0,0,0
https://es.wikipedia.org/wiki/Adalberto_Vergara,2,0,0,0,0,Adalberto Vergara,vergara-azcárate,colombia,2,1,0,0,0,0
https://es.wikipedia.org/wiki/Adela_Crooke,2,0,0,0,0,Adela Crooke,osma,peru,2,1,0,0,0,0
https://es.wikipedia.org/wiki/Adolfo_Alsina,4,0,0,0,0,Adolfo Alsina,maza,argentina,4,1,0,0,0,0
https://es.wikipedia.org/wiki/Adolfo_Ballivi%C3%A1n,2,0,0,0,0,Adolfo Ballivián,ballivián,bolivia,2,1,0,0,0,0
https://es.wikipedia.org/wiki/Adolfo_Ballivi%C3%A1n_Grimwood,0,0,0,0,0,Adolfo Ballivián Grimwood,ballivián,bolivia,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Adolfo_Bioy_Casares,2,0,0,0,0,Adolfo Bioy Casares,ocampo,argentina,2,1,0,0,0,0
https://es.wikipedia.org/wiki/Adolfo_Bioy_Domecq,0,0,0,0,0,Adolfo Bioy Domecq,ocampo,argentina,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Adolfo_Bullrich,2,0,0,0,0,Adolfo Bullrich,alvear,argentina,2,1,0,0,0,0
https://es.wikipedia.org/wiki/Adolfo_Ib%C3%A1%C3%B1ez_Boggiano,2,0,0,0,0,Adolfo Ibáñez Boggiano,ibáñez,chile,2,1,0,0,0,0
https://es.wikipedia.org/wiki/Adolfo_L%C3%B3pez_Mateos,0,0,0,0,0,Adolfo López Mateos,mateos,mexico,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Adolfo_Piossek,0,0,0,0,0,Adolfo Piossek,prebisch,argentina,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Adolfo_Veloso,0,0,0,0,0,Adolfo Veloso,veloso,chile,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Adolfo_Zald%C3%ADvar,0,0,1,1,0,Adolfo Zaldívar,vicuña,chile,2,0,0,0.5,0.5,0
https://es.wikipedia.org/wiki/Adolfo_Zald%C3%ADvar_Larra%C3%ADn,0,0,0,1,0,Adolfo Zaldívar,zaldívar,chile,1,0,0,0,1,0
https://es.wikipedia.org/wiki/Adriana_Arboleda,0,0,0,0,0,Adriana Arboleda,arboleda,colombia,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Adriana_Cecilia_Barcia,0,0,0,0,0,Adriana Cecilia Barcia,alsogaray,argentina,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Adriana_Cisneros,2,0,2,0,0,Adriana Cisneros,cisneros_venezuela,venezuela,4,0.5,0,0.5,0,0
https://es.wikipedia.org/wiki/Adriana_Tudela,0,0,0,0,0,Adriana Tudela,osma,peru,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Adriana_Zubiate,0,0,1,1,0,Adriana Zubiate,neyra,peru,2,0,0,0.5,0.5,0
https://es.wikipedia.org/wiki/Adriana_de_Verneuil,2,0,0,0,0,Adriana de Verneuil,de_la_puente,peru,2,1,0,0,0,0
https://es.wikipedia.org/wiki/Agostino_Rocca,0,0,0,0,0,Agostino Rocca,rocca,argentina,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Agripina_Samper_Agudelo,0,0,0,0,0,Agripina Samper Agudelo,samper,colombia,0,0,0,0,0,0
https://es.wikipedia.org/wiki/Agust%C3%ADn_Edwards_Budge,6,0,0,0,0,Agustín Edwards Budge,edwards,chile,6,1,0,0,0,0
