familia_grupo,n,mean_degree,sd_degree,mean_between,n_paises,n_bridges_out,n_internal,closure_index,constraint_proxy,reach,country
abal_medina,5,1.4,0.8944271909999161,8.2,1,1,10,0.909008271975275,29.181494661921715,1,argentina
acevedo_colombia,15,1.6666666666666667,1.0465362369445672,3,1,3,54,0.9473518008455992,5.390297464563784,3,colombia
acosta,2,0,0,0,1,0,0,0,0,0,venezuela
acosta_del_castillo,2,0,0,0,1,0,0,0,0,0,colombia
acurio,6,0.6666666666666666,0.816496580927726,0.16666666666666666,1,0,10,0.9999000099990002,-1.5136226034308777,0,peru
acuña,10,1.7,1.1595018087284057,17.2,1,5,32,0.8648414907705197,28.859060402684563,2,peru
acuña_argentina,10,0.7,1.0593499054713802,0.8,1,1,12,0.9230059226213368,-7.692307692307692,1,argentina
aguilar,17,2.1176470588235294,1.6538724611187705,25.94117647058824,1,4,78,0.9512079120986329,21.902544341185376,3,mexico
alarco,27,0.8888888888888888,0.8915558282417285,2.3703703703703707,2,4,60,0.9374853517913782,-48.992089818831325,2,peru
alayza,8,1.125,0.8345229603962802,0.625,1,1,24,0.9599616015359386,8.76424189307625,1,peru
albarracín,1,0,,0,1,0,0,0,0,0,argentina
alegría,7,2.857142857142857,1.3451854182690985,1.8571428571428572,2,0,48,0.9999791671006855,0.6997362532583872,0,peru
alemann,7,1.8571428571428572,1.5735915849388862,7.571428571428571,1,1,26,0.9629272989889263,9.500883505339443,1,argentina
alemán,8,2,1.0690449676496976,1.25,1,0,42,0.9999761910430705,1.2487512487512489,0,mexico
aliaga,7,0.5714285714285714,0.7867957924694432,0.14285714285714288,1,0,12,0.9999166736105325,-1.1762728953117125,0,peru
allamand,7,1.8571428571428572,0.8997354108424372,1179.7142857142858,1,3,26,0.8965208096272542,1480.345207303644,3,chile
allende,20,2.3,1.6575187543592473,10.7,1,2,98,0.979990200097999,7.152406417112301,1,chile
allende_argentina,5,0.8,0.8366600265340756,0.2,1,0,6,0.9998333611064822,-2.5316455696202538,0,argentina
alpoim,3,1,0,0,1,1,2,0.6664445184938355,0,1,argentina
alsogaray,6,1.1666666666666667,0.983192080250175,0.8333333333333334,1,1,16,0.9411211105229104,8.484162895927598,1,argentina
althaus,12,2.6666666666666665,1.3026778945578592,3.7499999999999996,1,0,62,0.9999838712278835,1.686740966565046,0,peru
alva,6,0.33333333333333337,0.5163977794943223,0,1,0,6,0.9998333611064822,-0,0,peru
alvear,16,1.6875,1.579820664927932,4.125,1,3,52,0.9454373556844421,7.098873322756729,3,argentina
alzamora,11,0.7272727272727273,0.904534033733291,0.9090909090909091,1,0,24,0.999958335069372,-9.260038723798301,0,peru
amador,6,1.3333333333333333,0.816496580927726,0.5,1,0,18,0.9999444475306927,2.2399203583872582,0,colombia
ameghino,4,0,0,0,1,0,0,0,0,0,argentina
amez,9,0.2222222222222222,0.44095855184409843,0,1,0,6,0.9998333611064822,-0,0,peru
amunátegui,11,1.2727272727272727,1.009049958219026,0.6363636363636364,1,0,26,0.9999615399407714,3.6456607168221207,0,chile
anchorena,12,0.33333333333333337,0.49236596391733095,0,1,0,4,0.9997500624843788,-0,0,argentina
anexos:familias_de_colombia,4,0,0,0,1,0,0,0,0,0,colombia
angelini,3,1,1,1.3333333333333335,1,1,6,0.857020425653478,1333.3333333333335,1,chile
angulo,4,0.75,0.9574271077563381,0.25,1,1,6,0.857020425653478,-2.6954177897574123,1,colombia
antúnez,4,2,0.816496580927726,0.5,2,0,18,0.9999444475306927,0.4995004995004996,0,peru
anzoátegui,5,0.4,0.5477225575051662,0,1,0,6,0.9998333611064822,-0,0,argentina
aramburú,11,1.8181818181818181,1.4709304414677,2.1818181818181817,1,0,48,0.9999791671006855,2.929394924601369,0,peru
araníbar,2,1,0,0,1,0,6,0.9998333611064822,0,0,peru
arboleda,56,2.035714285714286,1.7158542607563867,15.604166666666666,2,7,232,0.9707072355345794,14.787747214580072,3,colombia
