surname,has_chile,has_argentina,n_chile,n_argentina,total
de,TRUE,TRUE,40,100,140
y,TRUE,TRUE,16,34,50
la,TRUE,TRUE,13,11,24
Pinto,TRUE,TRUE,17,1,18
del,TRUE,TRUE,5,13,18
José,TRUE,TRUE,10,4,14
Manuel,TRUE,TRUE,8,6,14
María,TRUE,TRUE,9,5,14
García,TRUE,TRUE,3,10,13
Miguel,TRUE,TRUE,10,3,13
Francisco,TRUE,TRUE,7,5,12
Ibáñez,TRUE,TRUE,9,3,12
(hijo),TRUE,TRUE,1,10,11
Antonio,TRUE,TRUE,8,3,11
Carlos,TRUE,TRUE,4,7,11
Jorge,TRUE,TRUE,7,4,11
Fernández,TRUE,TRUE,8,2,10
Juan,TRUE,TRUE,4,6,10
Lynch,TRUE,TRUE,4,6,10
Martín,TRUE,TRUE,2,8,10
Andrés,TRUE,TRUE,6,3,9
Arturo,TRUE,TRUE,7,2,9
Felipe,TRUE,TRUE,7,2,9
Guillermo,TRUE,TRUE,5,4,9
Luis,TRUE,TRUE,7,2,9
Luisa,TRUE,TRUE,6,3,9
Mercedes,TRUE,TRUE,5,4,9
Eduardo,TRUE,TRUE,5,3,8
González,TRUE,TRUE,3,5,8
Joaquín,TRUE,TRUE,7,1,8
Pablo,TRUE,TRUE,6,2,8
Paz,TRUE,TRUE,3,5,8
Pedro,TRUE,TRUE,4,4,8
Ramón,TRUE,TRUE,3,5,8
Rodríguez,TRUE,TRUE,2,6,8
Zúñiga,TRUE,TRUE,2,6,8
Ernesto,TRUE,TRUE,4,3,7
Ignacio,TRUE,TRUE,6,1,7
López,TRUE,TRUE,1,6,7
Mariano,TRUE,TRUE,1,6,7
Roberto,TRUE,TRUE,4,3,7
Romero,TRUE,TRUE,2,5,7
Varela,TRUE,TRUE,1,6,7
Warnes,TRUE,TRUE,4,3,7
Adolfo,TRUE,TRUE,3,3,6
Augusto,TRUE,TRUE,4,2,6
Carolina,TRUE,TRUE,5,1,6
Cecilia,TRUE,TRUE,2,4,6
Dávalos,TRUE,TRUE,3,3,6
Díaz,TRUE,TRUE,1,5,6
Manuela,TRUE,TRUE,4,2,6
San,TRUE,TRUE,1,5,6
Alejandro,TRUE,TRUE,1,4,5
Alfredo,TRUE,TRUE,3,2,5
Di,TRUE,TRUE,2,3,5
Enrique,TRUE,TRUE,4,1,5
Gabriel,TRUE,TRUE,4,1,5
Julio,TRUE,TRUE,3,2,5
Mac,TRUE,TRUE,1,4,5
Mario,TRUE,TRUE,3,2,5
Medina,TRUE,TRUE,1,4,5
Nicolás,TRUE,TRUE,4,1,5
Saavedra,TRUE,TRUE,3,2,5
Santiago,TRUE,TRUE,1,4,5
Tezanos,TRUE,TRUE,4,1,5
Vicente,TRUE,TRUE,2,3,5
Alberto,TRUE,TRUE,1,3,4
Antonia,TRUE,TRUE,1,3,4
Brown,TRUE,TRUE,2,2,4
Campo,TRUE,TRUE,2,2,4
Cortés,TRUE,TRUE,3,1,4
Elena,TRUE,TRUE,3,1,4
Eugenio,TRUE,TRUE,2,2,4
Federico,TRUE,TRUE,2,2,4
Herrera,TRUE,TRUE,3,1,4
Jaime,TRUE,TRUE,2,2,4
León,TRUE,TRUE,2,2,4
Marta,TRUE,TRUE,3,1,4
Martínez,TRUE,TRUE,3,1,4
Mauricio,TRUE,TRUE,1,3,4
Rafael,TRUE,TRUE,3,1,4
Salvador,TRUE,TRUE,3,1,4
Tomás,TRUE,TRUE,2,2,4
(político),TRUE,TRUE,1,2,3
Ana,TRUE,TRUE,2,1,3
Braun,TRUE,TRUE,1,2,3
Diego,TRUE,TRUE,2,1,3
Elisa,TRUE,TRUE,2,1,3
Isabel,TRUE,TRUE,2,1,3
Juana,TRUE,TRUE,1,2,3
Pino,TRUE,TRUE,1,2,3
Ricardo,TRUE,TRUE,2,1,3
Sebastián,TRUE,TRUE,2,1,3
Silvia,TRUE,TRUE,1,2,3
Solari,TRUE,TRUE,1,2,3
Suárez,TRUE,TRUE,2,1,3
Álvaro,TRUE,TRUE,2,1,3
Ángela,TRUE,TRUE,1,2,3
Aguirre,TRUE,TRUE,1,1,2
Blanca,TRUE,TRUE,1,1,2
Camila,TRUE,TRUE,1,1,2
Camilo,TRUE,TRUE,1,1,2
Claudia,TRUE,TRUE,1,1,2
Daniel,TRUE,TRUE,1,1,2
Domingo,TRUE,TRUE,1,1,2
Edgardo,TRUE,TRUE,1,1,2
Elías,TRUE,TRUE,1,1,2
Emilia,TRUE,TRUE,1,1,2
Esteban,TRUE,TRUE,1,1,2
Flora,TRUE,TRUE,1,1,2
Félix,TRUE,TRUE,1,1,2
Gertrudis,TRUE,TRUE,1,1,2
Hugo,TRUE,TRUE,1,1,2
Ignacia,TRUE,TRUE,1,1,2
Isidoro,TRUE,TRUE,1,1,2
Marcial,TRUE,TRUE,1,1,2
Mujica,TRUE,TRUE,1,1,2
Pío,TRUE,TRUE,1,1,2
Sofía,TRUE,TRUE,1,1,2
Vidaurre,TRUE,TRUE,1,1,2
