surname_1,n_periodos,periodos,total_cargos
Freudman,1,Post-dictadura (1990+),7
Lama,1,Post-dictadura (1990+),5
Mestrovic,1,Post-dictadura (1990+),4
Navarrete,1,Post-dictadura (1990+),4
Alegría,1,Dictadura (1973-1990),1
Aravena,1,Dictadura (1973-1990),1
Arco,1,Dictadura (1973-1990),1
Assler,1,Dictadura (1973-1990),1
Basauri,1,Dictadura (1973-1990),1
Bascuñán,1,Dictadura (1973-1990),1
Cabré,1,Dictadura (1973-1990),1
Court,1,Dictadura (1973-1990),1
Fuente,1,Dictadura (1973-1990),1
Gepe,1,Dictadura (1973-1990),1
Hirane,1,Dictadura (1973-1990),1
Horton,1,Dictadura (1973-1990),1
Jorquiera,1,Dictadura (1973-1990),1
Lhorente,1,Dictadura (1973-1990),1
Merino,1,Dictadura (1973-1990),1
Muñoz,1,Dictadura (1973-1990),1
Neira,1,Dictadura (1973-1990),1
Ochoa,1,Dictadura (1973-1990),1
Olcay,1,Dictadura (1973-1990),1
Oviedo,1,Dictadura (1973-1990),1
Pampita,1,Dictadura (1973-1990),1
Pedropiedra,1,Dictadura (1973-1990),1
Suárez,1,Post-dictadura (1990+),1
Swett,1,Dictadura (1973-1990),1
Tezanos-Pinto,1,Dictadura (1973-1990),1
Vitta,1,Dictadura (1973-1990),1
