surname_1,n_periodos,periodos,total_cargos
Echaurren,1,Pre-1973,48
Carrera,1,Pre-1973,28
Caldera,1,Pre-1973,25
Figueroa,1,Pre-1973,20
Gandarillas,1,Pre-1973,20
Benavente,1,Pre-1973,19
Río,1,Pre-1973,19
Aguirre,1,Pre-1973,18
Solar,1,Pre-1973,17
Mujica,1,Pre-1973,15
Pizarro,1,Pre-1973,15
Echeñique,1,Pre-1973,14
Araos,1,Pre-1973,11
Santamaría,1,Pre-1973,11
Urbina,1,Pre-1973,11
Alcalde,1,Pre-1973,10
Echazarreta,1,Pre-1973,10
Iñiguez,1,Pre-1973,10
Pino,1,Pre-1973,10
Ross,1,Pre-1973,10
Sánchez,1,Pre-1973,10
Toro,1,Pre-1973,10
Tristán,1,Pre-1973,10
González,1,Pre-1973,9
Irarrázaval,1,Pre-1973,9
Manrique,1,Pre-1973,9
Zárate,1,Pre-1973,9
Bihl,1,Pre-1973,8
Cienfuegos,1,Pre-1973,8
Vives,1,Pre-1973,8
Fontecilla,1,Pre-1973,7
Freudman,1,Post-dictadura (1990+),7
Riesco,1,Pre-1973,7
Silva,1,Pre-1973,7
Íñiguez,1,Pre-1973,7
Bustamante,1,Pre-1973,6
Errazuriz,1,Pre-1973,6
Eyzaguirre,1,Pre-1973,6
Garriga,1,Pre-1973,6
Hevia,1,Pre-1973,6
Mac-Clure,1,Pre-1973,6
Sotomayor,1,Pre-1973,6
Ugalde,1,Pre-1973,6
Barroetaveña,1,Pre-1973,5
Cifuentes,1,Pre-1973,5
Lama,1,Post-dictadura (1990+),5
Lobatón,1,Pre-1973,5
O'Higgins,1,Pre-1973,5
Ossandón,1,Pre-1973,5
Plata,1,Pre-1973,5
Warnes,1,Pre-1973,5
Boggiano,1,Pre-1973,4
Cuevas,1,Pre-1973,4
Fitz-Henry,1,Pre-1973,4
Frederick,1,Pre-1973,4
Gaviño,1,Pre-1973,4
Goyenechea,1,Pre-1973,4
Guerrero,1,Pre-1973,4
Huidobro,1,Pre-1973,4
Hurtado,1,Pre-1973,4
Lolas,1,Pre-1973,4
Madariaga,1,Pre-1973,4
McClure,1,Pre-1973,4
Mestrovic,1,Post-dictadura (1990+),4
Navarrete,1,Post-dictadura (1990+),4
Nordenflycht,1,Pre-1973,4
Pedregal,1,Pre-1973,4
Ureta,1,Pre-1973,4
Urmeneta,1,Pre-1973,4
Agüero,1,Pre-1973,3
Breton,1,Pre-1973,3
Mourgues,1,Pre-1973,3
Rengifo,1,Pre-1973,3
Albano,1,Pre-1973,2
Alemparte,1,Pre-1973,2
Arias,1,Pre-1973,2
Astorga,1,Pre-1973,2
Atherton,1,Pre-1973,2
Ballesteros,1,Pre-1973,2
Borgoño,1,Pre-1973,2
Borne,1,Pre-1973,2
Brown,1,Pre-1973,2
Brun,1,Pre-1973,2
Bryce,1,Pre-1973,2
Budge,1,Pre-1973,2
Castillejo,1,Pre-1973,2
Castro,1,Pre-1973,2
Chávez,1,Pre-1973,2
Covarrubias,1,Pre-1973,2
Craig,1,Pre-1973,2
Cueto,1,Pre-1973,2
Garmendia,1,Pre-1973,2
Gormaz,1,Pre-1973,2
Huerta,1,Pre-1973,2
Híjar,1,Pre-1973,2
Lazcano,1,Pre-1973,2
Mesías,1,Pre-1973,2
Metternich,1,Pre-1973,2
Monroy,1,Pre-1973,2
Montenegro,1,Pre-1973,2
Munizaga,1,Pre-1973,2
