persona_id,nombre,familia,pais,n_conexiones,n_matched,n_unmatched,n_conyuges,n_parejas,n_padres,n_hijos,n_cross_family,n_cross_country,familias_conectadas,paises_conectados
4570,María Teresa Torterolo,podestá,uruguay,11,11,0,1,0,5,5,0,9,,argentina
4276,Manuel Antonio José Warnes,garcía_de_zúñiga,colombia,9,9,0,1,0,4,4,5,9,warnes,"argentina, chile"
2677,Hernán Cortés,moctezuma,colombia,8,6,2,1,2,3,2,2,6,pizarro,"chile, mexico"
1499,Dora Varona,alegría,chile,6,5,1,1,0,3,2,0,5,,peru
5854,Simón Bolívar,bolívar,colombia,5,5,0,1,1,2,1,5,5,palacios_venezuela,"ecuador, venezuela"
437,Ana Jacoba García de Zúñiga,warnes,argentina,11,11,0,1,0,6,4,5,4,garcía_de_zúñiga,"chile, colombia"
4217,Luisa Garmendia,cruz_chile,argentina,6,4,2,1,0,3,2,1,4,bulnes,chile
4814,Matilde Ibáñez Tálice,saavedra,argentina,5,4,1,1,0,2,2,0,4,,uruguay
415,Amenodoro Urdaneta,parís,colombia,4,4,0,0,0,2,2,2,4,urdaneta,venezuela
3968,Leonor Cortés Moctezuma,pizarro,chile,4,4,0,1,0,2,1,4,4,moctezuma,"colombia, mexico"
3750,Juan Vicente Bolívar y Ponte,palacios_venezuela,venezuela,12,10,2,1,0,6,5,8,3,"bolívar, toro_venezuela","chile, colombia"
5311,Pedro Podestá,podestá,argentina,11,11,0,1,0,5,5,0,3,,uruguay
1467,Dolores Vargas París,urdaneta,venezuela,8,8,0,1,0,4,3,7,3,parís,colombia
589,Antonio José de Sucre,sucre,colombia,6,3,3,2,1,2,1,0,3,,"ecuador, venezuela"
1609,Elisa Alicia Lynch,lópez_carrillo,argentina,6,3,3,1,1,3,1,0,3,,paraguay
848,Blanca Luz Brum,miró_quesada,uruguay,5,3,2,3,0,1,1,0,3,,"mexico, peru"
1100,Carolina Mestrovic,velasco_chile,argentina,5,3,2,2,1,1,1,0,3,,"chile, venezuela"
4097,Luis Caycedo y Flórez,caicedo,peru,5,3,2,1,0,2,2,1,3,sanz_de_santamaría,colombia
4218,Luisa Garmendia,pinto_chile,argentina,5,3,2,1,0,2,2,3,3,"bulnes, cruz_chile",chile
4605,Marcelo Oxenford,frayssinet,argentina,5,4,1,1,0,2,2,0,3,,peru
837,Bertha Puga,camargo,chile,4,4,0,1,0,1,2,0,3,,colombia
1439,Diego Portales y Meneses,portales,peru,4,3,1,2,0,2,0,0,3,,chile
2096,Fernando María Campero Barragán,campero,bolivia,4,3,1,1,0,1,2,0,3,,argentina
2771,Ignacio José de Lizarzaburu,borja,colombia,4,3,1,1,0,2,1,0,3,,ecuador
4765,Martín Cortés Zúñiga,moctezuma,mexico,4,3,1,1,0,1,2,1,3,pizarro,"chile, colombia"
4815,Matilde Ibáñez Tálice,batlle,argentina,4,3,1,1,0,1,2,3,3,saavedra,uruguay
5057,Nicolás Sanz de Santamaría,prieto,chile,4,3,1,1,0,2,1,3,3,galeano,colombia
3689,Juan Manuel Grau y Berrío,grau,colombia,3,3,0,0,0,1,2,0,3,,peru
4580,María de la Concepción Palacios y Blanco,palacios_venezuela,venezuela,11,11,0,1,0,5,5,10,2,"bolívar, toro_venezuela",colombia
2094,Fernando Luján,soler,mexico,8,8,0,1,0,2,5,0,2,,argentina
1276,Consuelo Lleras Puga,camargo,colombia,6,5,1,1,0,2,3,0,2,,chile
4464,Manuela Warnes,warnes,chile,6,6,0,3,0,2,1,2,2,garcía_de_zúñiga,"argentina, colombia"
