persona_id,nombre,familia,pais,ocupacion,tipo_relacion,relacionado_id,relacionado_nombre,relacionado_familia,relacionado_pais,relacionado_ocupacion,is_matched,nombre_raw,misma_familia,mismo_pais,tipo_label,cross_family,cross_country
2,Álvaro Alcalá-Galiano y Osma,valencia,colombia,"Periodista de opinión , escritor , marqués e historiador",hijo/a,1646,Emilio Alcalá Galiano,valencia,colombia,"Político , caballero , conde y diplomático",TRUE,Emilio Alcalá Galiano,TRUE,TRUE,Hijo/a,FALSE,FALSE
2,Álvaro Alcalá-Galiano y Osma,valencia,colombia,"Periodista de opinión , escritor , marqués e historiador",padre/madre,NA,Ana de Osma,NA,NA,NA,FALSE,Ana de Osma,FALSE,FALSE,Padre/Madre,FALSE,FALSE
2,Álvaro Alcalá-Galiano y Osma,valencia,colombia,"Periodista de opinión , escritor , marqués e historiador",padre/madre,NA,Zavala,NA,NA,NA,FALSE,Zavala,FALSE,FALSE,Padre/Madre,FALSE,FALSE
3,Álvaro Alsogaray,alsogaray,argentina,economista militar ingeniero aeronáutico civil,conyuge,NA,Edith Gay,NA,NA,NA,FALSE,Edith Gay,FALSE,FALSE,Cónyuge,FALSE,FALSE
3,Álvaro Alsogaray,alsogaray,argentina,economista militar ingeniero aeronáutico civil,hijo/a,4524,María Julia Alsogaray,alsogaray,argentina,Ingeniera,TRUE,María Julia Alsogaray,TRUE,TRUE,Hijo/a,FALSE,FALSE
4,Álvaro Castaño Castillo,lópez,colombia,"Periodista , locutor , empresario , abogado",conyuge,2490,Gloria Valencia de Castaño,lópez,colombia,Periodista y presentadora de televisión,TRUE,Gloria Valencia de Castaño,TRUE,TRUE,Cónyuge,FALSE,FALSE
4,Álvaro Castaño Castillo,lópez,colombia,"Periodista , locutor , empresario , abogado",hijo/a,5628,Rodrigo Castaño,lópez,colombia,Cineasta y productor,TRUE,Rodrigo Castaño,TRUE,TRUE,Hijo/a,FALSE,FALSE
4,Álvaro Castaño Castillo,lópez,colombia,"Periodista , locutor , empresario , abogado",hijo/a,5345,Pilar Castaño,lópez,colombia,"Periodista , escritora , diseñadora y presentadora de televisión",TRUE,Pilar Castaño,TRUE,TRUE,Hijo/a,FALSE,FALSE
4,Álvaro Castaño Castillo,lópez,colombia,"Periodista , locutor , empresario , abogado",padre/madre,5345,Pilar Castaño,lópez,colombia,"Periodista , escritora , diseñadora y presentadora de televisión",TRUE,Pilar Castaño,TRUE,TRUE,Padre/Madre,FALSE,FALSE
4,Álvaro Castaño Castillo,lópez,colombia,"Periodista , locutor , empresario , abogado",padre/madre,NA,Joaquín Castaño Rueda,NA,NA,NA,FALSE,Joaquín Castaño Rueda,FALSE,FALSE,Padre/Madre,FALSE,FALSE
4,Álvaro Castaño Castillo,lópez,colombia,"Periodista , locutor , empresario , abogado",padre/madre,NA,Ana Rosa Castillo Gálvez,NA,NA,NA,FALSE,Ana Rosa Castillo Gálvez,FALSE,FALSE,Padre/Madre,FALSE,FALSE
5,Álvaro Cruzat,cruzat,chile,"Ingeniero agrónomo , ejecutivo de empresas y político",conyuge,NA,María Ignacia Valenzuela,NA,NA,NA,FALSE,María Ignacia Valenzuela,FALSE,FALSE,Cónyuge,FALSE,FALSE
5,Álvaro Cruzat,cruzat,chile,"Ingeniero agrónomo , ejecutivo de empresas y político",padre/madre,NA,María de la Paz Ochagavía Valdés Ricardo Cruzat Infante,NA,NA,NA,FALSE,María de la Paz Ochagavía Valdés Ricardo Cruzat Infante,FALSE,FALSE,Padre/Madre,FALSE,FALSE
6,Álvaro Escobar,portales,chile,"Actor , presentador de televisión , político , periodista , abogado y personalidad de radio",hijo/a,NA,Aurora,NA,NA,NA,FALSE,Aurora,FALSE,FALSE,Hijo/a,FALSE,FALSE
6,Álvaro Escobar,portales,chile,"Actor , presentador de televisión , político , periodista , abogado y personalidad de radio",pareja,420,Amparo Noguera,portales,chile,Actriz,TRUE,Amparo Noguera,TRUE,TRUE,Pareja,FALSE,FALSE
7,Álvaro Espinoza (actor),concha_chile,chile,Actor,pareja,1142,Catalina Olcay,concha_chile,chile,Actriz y conductora radiofónica,TRUE,Catalina Olcay,TRUE,TRUE,Pareja,FALSE,FALSE
7,Álvaro Espinoza (actor),concha_chile,chile,Actor,pareja,5913,Taira Court,concha_chile,chile,Actriz y decoradora de teatro,TRUE,Taira Court,TRUE,TRUE,Pareja,FALSE,FALSE
8,Álvaro Gómez Hurtado,gómez,colombia,"Abogado , Periodista , Político",conyuge,4634,Margarita Escobar,gómez,colombia,Escritora,TRUE,Margarita Escobar,TRUE,TRUE,Cónyuge,FALSE,FALSE
8,Álvaro Gómez Hurtado,gómez,colombia,"Abogado , Periodista , Político",hijo/a,4827,Mauricio Gómez Escobar,gómez,colombia,"Periodista, abogado, escritor, artista",TRUE,Mauricio Gómez Escobar,TRUE,TRUE,Hijo/a,FALSE,FALSE
8,Álvaro Gómez Hurtado,gómez,colombia,"Abogado , Periodista , Político",padre/madre,4827,Mauricio Gómez Escobar,gómez,colombia,"Periodista, abogado, escritor, artista",TRUE,Mauricio Gómez Escobar,TRUE,TRUE,Padre/Madre,FALSE,FALSE
8,Álvaro Gómez Hurtado,gómez,colombia,"Abogado , Periodista , Político",padre/madre,3946,Laureano Gómez,gómez,colombia,"Periodista, ingeniero y político",TRUE,Laureano Gómez,TRUE,TRUE,Padre/Madre,FALSE,FALSE
8,Álvaro Gómez Hurtado,gómez,colombia,"Abogado , Periodista , Político",padre/madre,4513,María Hurtado de Gómez,gómez,colombia,NA,TRUE,María Hurtado Cajiao,TRUE,TRUE,Padre/Madre,FALSE,FALSE
9,Álvaro H. Caicedo,caicedo,colombia,"Periodista, empresario",conyuge,NA,Hilda Lourido Giraldo,NA,NA,NA,FALSE,Hilda Lourido Giraldo,FALSE,FALSE,Cónyuge,FALSE,FALSE
