url,nombre,pais_origen,pais_vinculo,tipo_vinculo,campo_detectado
https://es.wikipedia.org/wiki/Juana_Manuela_Gorriti,Juana Manuela Gorriti,argentina,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Juana_Manuela_Gorriti,Juana Manuela Gorriti,argentina,bolivia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Facundo_Zuvir%C3%ADa,Facundo Zuviría,argentina,bolivia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Mercedes_Belz%C3%BA_de_Dorado,Mercedes Belzu,peru,bolivia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Mercedes_Belz%C3%BA_Gorriti,Mercedes Belzu,peru,bolivia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Ana_Mar%C3%ADa_Salvadora_de_Ot%C3%A1lora_y_Ribero,Ana María Salvadora de Otálora y Ribero,argentina,chile,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Felipe_Santiago_Ignacio_de_Ot%C3%A1lora_y_del_Ribero,Felipe Santiago Ignacio de Otálora y del Ribero,argentina,chile,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Santiago_Rivadavia,Santiago Rivadavia,argentina,chile,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Juana_del_Pino,Juana del Pino,argentina,uruguay,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Rafaela_de_Vera_Mujica_y_L%C3%B3pez_Pintado,Rafaela de Vera Mujica y López Pintado,argentina,uruguay,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Ignacio_Warnes,Ignacio Warnes,argentina,bolivia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Manuela_Warnes,Manuela Warnes,argentina,chile,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Mart%C3%ADn_Jos%C3%A9_Warnes,Martín José Warnes,argentina,chile,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Mart%C3%ADn_Jos%C3%A9_Warnes,Martín José Warnes,argentina,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Manuela_Warnes_y_Garc%C3%ADa_de_Z%C3%BA%C3%B1iga,Manuela Warnes,argentina,chile,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Jos%C3%A9_Gregorio_de_Lezama,José Gregorio de Lezama,argentina,uruguay,biografía,biografia_inicial
https://es.wikipedia.org/wiki/H%C3%A9ctor_de_El%C3%ADa,Héctor de Elía,argentina,uruguay,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Cipriano_de_Urquiza,Cipriano de Urquiza,argentina,uruguay,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Carlos_Antonio_L%C3%B3pez,Carlos Antonio López,paraguay,argentina,residencia,residencia
https://es.wikipedia.org/wiki/Francisco_Solano_L%C3%B3pez_%28historietista%29,Francisco Solano López (historietista),argentina,paraguay,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Joaqu%C3%ADn_Mariano_Belgrano,Joaquín Mariano Belgrano,argentina,uruguay,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Manuel_Belgrano_Cabral,Manuel Belgrano Cabral,argentina,uruguay,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Jos%C3%A9_Ildefonso_%C3%81lvarez_de_Arenales,José Ildefonso Álvarez de Arenales,argentina,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Juan_Antonio_%C3%81lvarez_de_Arenales,Juan Antonio Álvarez de Arenales,argentina,chile,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Juan_Antonio_%C3%81lvarez_de_Arenales,Juan Antonio Álvarez de Arenales,argentina,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Juan_Antonio_%C3%81lvarez_de_Arenales,Juan Antonio Álvarez de Arenales,argentina,bolivia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Napole%C3%B3n_Uriburu,Napoleón Uriburu,argentina,paraguay,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Jaime_Arana_Campero,Jaime Arana Campero,argentina,bolivia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Marquesado_de_Yavi,Marquesado de Yavi,argentina,peru,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Marquesado_de_Yavi,Marquesado de Yavi,argentina,bolivia,biografía,biografia_inicial
https://es.wikipedia.org/wiki/Gonzalo_Romero_%C3%81lvarez,Gonzalo Romero Álvarez,bolivia,uruguay,trabajo,ocupacion
https://es.wikipedia.org/wiki/Jorge_Alberto_Sabato,Jorge Alberto Sabato,argentina,chile,residencia,residencia
https://es.wikipedia.org/wiki/Jorge_Alberto_Sabato,Jorge Alberto Sabato,argentina,mexico,residencia,residencia
https://es.wikipedia.org/wiki/Jorge_Alberto_Sabato,Jorge Alberto Sabato,argentina,venezuela,residencia,residencia
