from,to,pais_origen,pais_destino
https://es.wikipedia.org/wiki/%C3%81lvaro_Casta%C3%B1o_Castillo,https://es.wikipedia.org/wiki/Rodrigo_Casta%C3%B1o,colombia,mexico
https://es.wikipedia.org/wiki/%C3%81lvaro_Mutis,https://es.wikipedia.org/wiki/Santiago_Mutis,mexico,chile
https://es.wikipedia.org/wiki/%C3%81lvaro_de_Soto,https://es.wikipedia.org/wiki/Alberto_Soto_de_la_Jara,argentina,peru
https://es.wikipedia.org/wiki/%C3%81ngel_de_Iturbide_y_Huarte,https://es.wikipedia.org/wiki/Agust%C3%ADn_de_Iturbide_y_Green,chile,mexico
https://es.wikipedia.org/wiki/%C3%81ngel_de_Iturbide_y_Huarte,https://es.wikipedia.org/wiki/Ana_Mar%C3%ADa_Huarte,chile,mexico
https://es.wikipedia.org/wiki/A%C3%B1as_Colque,https://es.wikipedia.org/wiki/Francisco_Pizarro,chile,peru
https://es.wikipedia.org/wiki/Adolfo_Zald%C3%ADvar,https://es.wikipedia.org/wiki/Ana_Mar%C3%ADa_Palma,argentina,chile
https://es.wikipedia.org/wiki/Adolfo_Zald%C3%ADvar,https://es.wikipedia.org/wiki/Mar%C3%ADa_Jos%C3%A9_Zald%C3%ADvar,argentina,chile
https://es.wikipedia.org/wiki/Adolfo_Zald%C3%ADvar_Larra%C3%ADn,https://es.wikipedia.org/wiki/Ana_Mar%C3%ADa_Palma,argentina,chile
https://es.wikipedia.org/wiki/Adolfo_Zald%C3%ADvar_Larra%C3%ADn,https://es.wikipedia.org/wiki/Mar%C3%ADa_Jos%C3%A9_Zald%C3%ADvar,argentina,chile
https://es.wikipedia.org/wiki/Adriana_Cisneros,https://es.wikipedia.org/wiki/Patricia_Phelps_de_Cisneros,venezuela,argentina
https://es.wikipedia.org/wiki/Agust%C3%ADn_Vial_Santelices,https://es.wikipedia.org/wiki/Manuel_Camilo_Vial,chile,argentina
https://es.wikipedia.org/wiki/Alberto_Elmore,https://es.wikipedia.org/wiki/Federico_Elmore,argentina,chile
https://es.wikipedia.org/wiki/Alberto_Labb%C3%A9_Galilea,https://es.wikipedia.org/wiki/Alberto_Labb%C3%A9_Troncoso,argentina,chile
https://es.wikipedia.org/wiki/Alberto_Labb%C3%A9_Troncoso,https://es.wikipedia.org/wiki/Alberto_Labb%C3%A9_Galilea,chile,argentina
https://es.wikipedia.org/wiki/Alberto_Lleras_Camargo,https://es.wikipedia.org/wiki/Bertha_Puga,colombia,chile
https://es.wikipedia.org/wiki/Alberto_Lleras_Camargo,https://es.wikipedia.org/wiki/Consuelo_Lleras_Puga,colombia,chile
https://es.wikipedia.org/wiki/Alberto_Lleras_Puga,https://es.wikipedia.org/wiki/Bertha_Puga,colombia,chile
https://es.wikipedia.org/wiki/Alberto_Lozano_Simonelli,https://es.wikipedia.org/wiki/Fabio_Lozano_Lozano,peru,colombia
https://es.wikipedia.org/wiki/Alberto_Montt_Montt,https://es.wikipedia.org/wiki/Rosario_Montt,chile,argentina
https://es.wikipedia.org/wiki/Alberto_Mu%C3%B1oz_Vernaza,https://es.wikipedia.org/wiki/Manuel_Mu%C3%B1oz_Borrero,ecuador,mexico
https://es.wikipedia.org/wiki/Alberto_Soto_de_la_Jara,https://es.wikipedia.org/wiki/%C3%81lvaro_de_Soto,peru,argentina
