familia_norm,primer_miembro,ultimo_miembro,rango_temporal,n_miembros,n_siglos,siglos,paises,n_paises
borja,1378,1942,564,53,7,"14, 15, 16, 17, 18, 19, 20","colombia, ecuador",2
ulloa,1415,1961,546,10,3,"15, 19, 20","chile, peru",2
quintero,1445,1986,541,14,3,"15, 19, 20","colombia, venezuela",2
leyva,1480,1987,507,19,6,"15, 16, 17, 18, 19, 20","argentina, colombia",2
o'donnell,1515,1970,455,20,4,"16, 18, 19, 20","argentina, colombia, mexico",3
olmos,1512,1958,446,11,3,"16, 17, 20",colombia,1
caicedo,1544,1987,443,40,5,"16, 17, 18, 19, 20","chile, colombia, peru",3
aliaga,1508,1947,439,5,3,"16, 18, 20",peru,1
díaz_del_castillo,1495,1923,428,2,2,"15, 20",colombia,1
niño,1378,1769,391,7,4,"14, 15, 16, 18",colombia,1
berrío,1527,1913,386,7,3,"16, 19, 20",colombia,1
arboleda,1597,1978,381,54,5,"16, 17, 18, 19, 20","colombia, ecuador",2
vergara-azcárate,1612,1992,380,15,4,"17, 18, 19, 20","chile, colombia",2
portales,1615,1983,368,28,4,"17, 18, 19, 20","chile, peru",2
campero,1645,1983,338,22,4,"17, 18, 19, 20","argentina, bolivia, chile, peru",4
pizarro,1446,1780,334,26,4,"15, 16, 17, 18","chile, colombia, peru",3
galleguillos,1629,1962,333,10,3,"17, 18, 20","chile, peru",2
vicuña,1666,1989,323,60,4,"17, 18, 19, 20","argentina, chile",2
cortés_de_monroy,1505,1826,321,8,3,"16, 17, 19",chile,1
santiago_concha,1667,1988,321,4,3,"17, 18, 20",peru,1
llosa,1665,1976,311,14,4,"17, 18, 19, 20",peru,1
garcía-huidobro,1697,2001,304,28,4,"17, 19, 20, 21",chile,1
carvajal_y_vargas,1611,1914,303,18,4,"17, 18, 19, 20","chile, peru",2
velasco_chile,1688,1991,303,42,4,"17, 18, 19, 20","argentina, chile, venezuela",3
montero,1588,1888,300,6,3,"16, 17, 19","chile, peru",2
mosquera,1661,1960,299,13,4,"17, 18, 19, 20",colombia,1
sancho_dávila,1523,1818,295,2,2,"16, 19",peru,1
martín_del_campo,1698,1992,294,9,3,"17, 19, 20",mexico,1
ortiz_de_rozas,1683,1974,291,16,4,"17, 18, 19, 20",argentina,1
carrillo_de_albornoz,1671,1959,288,4,3,"17, 18, 20",peru,1
montt,1709,1996,287,47,3,"18, 19, 20","chile, peru",2
camacho,1704,1978,274,22,3,"18, 19, 20",colombia,1
errázuriz,1711,1978,267,66,3,"18, 19, 20",chile,1
valdés_chile,1727,1992,265,41,3,"18, 19, 20",chile,1
boza_de_lima,1717,1980,263,6,3,"18, 19, 20","chile, peru",2
galeano,1505,1767,262,3,2,"16, 18",colombia,1
lavalle,1734,1994,260,37,3,"18, 19, 20","argentina, peru",2
torrijos,1704,1962,258,3,3,"18, 19, 20",colombia,1
belaúnde,1729,1986,257,36,3,"18, 19, 20",peru,1
valencia,1710,1966,256,18,3,"18, 19, 20",colombia,1
