fam1,n_sucesiones,miembros,paises
valencia,22,Álvaro Alcalá-Galiano y Osma | Emilio Alcalá-Galiano y Osma | Emilio Alcalá Galiano | Francisco de Valencia | Juan Alcalá-Galiano y Osma | María Teresa de Valencia y Junco Pimentel | María del Consuelo Alcalá-Galiano y Osma | Pedro Agustín de Valencia | Pedro Felipe de Valencia,colombia
saadi,12,Alicia Saadi de Dentone | Lucía Corpacci | Luis Sánchez Recalde | Ramón Saadi | Vicente Saadi,argentina
arboleda,11,Julio Arboleda | Manuel José Mosquera | Pedro Alcántara Herrán | Tomás Cipriano de Mosquera | Joaquín Mosquera,colombia
errázuriz,10,Blas Tomic | Clemente Pérez | Francisco Javier Errázuriz Sotomayor | Hernán Felipe Errázuriz | Isidoro Errázuriz Aldunate | Isidoro de Errázuriz | Octavio Errázuriz | Ramón Subercaseaux Vicuña | Javier Ovalle Errázuriz | Fernando Errázuriz | Maximiano Errázuriz Valdivieso,chile
borja,7,César Borgia | Calixto III | Francisco de Borja y Aragón | Juan Borgia (1498-1548) | Juan de Borja y Cattanei | Pedro Luis de Borja | Luisa Borgia | Alejandro VI | Juan de Borja y Castro | Fernando de Borja | Lucrecia Borgia,colombia
chávez,7,Adán Chávez | Argenis Chávez | Hugo de los Reyes Chávez,venezuela
daract,7,Juan Barbeito | Justo Daract | Mauricio Daract,argentina
lópez_carrillo,7,Carlos Antonio López | Francisco Solano López | Juana Pabla Carrillo | Venancio López | Vicente Barrios | Elisa Alicia Lynch,"argentina, paraguay"
álvarez_del_casal,7,Antonio Nariño | Jorge Tadeo Lozano | José María Lozano de Peralta | Manuel Bernardo Álvarez del Casal | Jorge Miguel Lozano de Peralta,colombia
echaurren,6,Federico Errázuriz Zañartu | Fernando Lazcano Mujica | Francisco Echaurren | Gertrudis Echeñique | Máximo Mujica | Silvestre Ochagavía Errázuriz | María Errázuriz,chile
lavín,6,Cristina Girardi | Guido Girardi | Guido Girardi Brière,chile
monagas,6,José Gregorio Monagas | José Ruperto Monagas | José Tadeo Monagas,venezuela
ricaurte,6,José Prieto de Salazar | José Salvador de Ricaurte | Joseph Ricaurte | Tomás Prieto de Salazar,colombia
azcárraga,5,Emilio Azcárraga Jean | Emilio Azcárraga Milmo | Emilio Azcárraga Vidaurreta | José Carlos Azcárraga Andrade | Gastón Azcárraga,mexico
aráoz,4,Diego Aráoz | Bernabé Aráoz,argentina
castillo_guevara,4,Domingo del Castillo Sanz de Santamaría | Ignacio del Castillo Sanz de Santamaría | Luis del Castillo Guevara y de Vargas | Luis Diego del Castillo Caicedo,colombia
diez_canseco,4,Francisco Diez-Canseco Corbacho | Pedro Diez Canseco Corbacho | Ramón Castilla,peru
edwards,4,Alberto Edwards Vives | Guillermo Edwards Matte,chile
perón,4,Juan Domingo Perón | María Estela Martínez de Perón,argentina
soria,4,Carlos Ernesto Soria | María Emilia Soria | Martín Soria,argentina
uñac,4,José Rubén Uñac | Sergio Uñac,argentina
yunes,4,Fernando Yunes Márquez | Miguel Ángel Yunes Linares | Patricia Lobeira Rodríguez | Miguel Ángel Yunes Márquez,mexico
belaúnde,3,Francisco Belaúnde Terry | Luis Pércovich Roca,peru
camacho,3,Guillermo Camacho | José Domingo Ospina | Nemesio Camacho | Manuel Casabianca,colombia
freire,3,Juan de Dios Rivera y Freire de Andrade | Ramón Freire,chile
kirchner,3,Cristina Fernández de Kirchner | Néstor Kirchner,argentina
maduro,3,Cilia Flores | Nicolás Maduro,venezuela
sapag,3,Elías Sapag | Felipe Rodolfo Sapag | Luz María Sapag,argentina
velasco_chile,3,Carlos Ibáñez del Campo | Fernando Alessandri | Jorge Alessandri | Arturo Alessandri,chile
alva,2,Javier Alva Orlandini | Luis Alva Castro,peru
baillères,2,Alejandro Baillères | Alberto Baillères González,mexico
balcarce,2,José de San Martín | Marcos Balcarce,argentina
bolaños_cacho,2,Jorge Fernando Iturribarría Bolaños-Cacho | Raúl Bolaños Cacho Guzmán,mexico
caicedo,2,Estanislao Vergara | Felipe de Vergara Azcárate | Domingo Caycedo | Francisco Xavier Vergara,colombia
cantoni-bravo,2,Federico Cantoni | Leopoldo Bravo,argentina
carvajal_y_vargas,2,Casilda Fernández de Henestrosa y Salabert | Casilda de Silva y Fernández de Henestrosa,chile
