nombre1,nombre2,fam1,fam2,pais1,pais2,rol
Ambrosio O'Higgins,Francisco Gil de Taboada,cruz_chile,taboada,chile,argentina,predecesor
Andrés de Santa Cruz,Simón Bolívar,santa_cruz,bolívar,peru,colombia,predecesor
Antonio Guzmán Blanco,Antonio Leocadio Guzmán,blanco_venezuela,blanco_venezuela,colombia,venezuela,predecesor
Antonio José de Sucre,José de la Riva-Agüero,sucre,riva_agüero,colombia,peru,predecesor
Atahualpa,Huáscar,pizarro,tito,chile,peru,predecesor
Bertha Hernández de Ospina,Bertha Puga,ospina,camargo,colombia,chile,predecesor
Bertha Puga,María Michelsen de López,camargo,lópez,chile,colombia,predecesor
Bertha Puga,Carolina Correa Londoño,camargo,rojas,chile,colombia,predecesor
Bertha Puga,Bertha Hernández de Ospina,camargo,ospina,chile,colombia,sucesor
Bertha Puga,Susana López de Valencia,camargo,laserna,chile,colombia,sucesor
Carolina Correa Londoño,Bertha Puga,rojas,camargo,colombia,chile,sucesor
Cristina Fernández de Kirchner,Nicolás Maduro,kirchner,maduro,argentina,venezuela,predecesor
Daniel Mazuera,Hernando Pastrana,gómez,borrero,colombia,argentina,predecesor
Daniel Noboa,Gustavo Petro,noboa,petro,ecuador,colombia,predecesor
Domingo Caycedo,Rafael Urdaneta,caicedo,parís,colombia,venezuela,predecesor
Eusebio Borrero,Alejandro Vélez Barrientos,borrero,barrientos,chile,colombia,predecesor
Eusebio Borrero,Manuel María Mallarino,borrero,cabal,chile,colombia,sucesor
Francisco Ruiz-Tagle,Casimiro Marcó del Pont,portales,marcó_del_pont,chile,argentina,predecesor
Gregorio Miguel Valenzuela Fajardo,Nicolás Sanz de Santamaría,caicedo,prieto,colombia,chile,sucesor
Guillermo Camacho,Juan Samper Sordo,camacho,samper,colombia,argentina,sucesor
Gustavo Petro,Daniel Noboa,petro,noboa,colombia,ecuador,sucesor
Hernando Pastrana,Daniel Mazuera,borrero,gómez,argentina,colombia,sucesor
Huáscar,Huayna Cápac,tito,pizarro,peru,chile,predecesor
Huáscar,Atahualpa,tito,pizarro,peru,chile,sucesor
Huayna Cápac,Huáscar,pizarro,tito,chile,peru,sucesor
Iván Duque,Sebastián Piñera,duque,echenique,colombia,chile,predecesor
Iván Duque,Sebastián Piñera,duque,echenique,colombia,chile,predecesor
Joaquín Mosquera,Rafael Urdaneta,arboleda,parís,colombia,venezuela,sucesor
Joaquín de Cayzedo y Cuero,Antonio Baraya,caicedo,ricaurte,chile,colombia,predecesor
Joaquín de Cayzedo y Cuero,José María Cabal,caicedo,cabal,chile,mexico,sucesor
Joaquín del Pino,José de Santiago Concha Jiménez Lobatón,otálora,concha_chile,argentina,chile,sucesor
José Bernardo de Tagle,Antonio José de Sucre,del_solar,sucre,peru,colombia,predecesor
José Bernardo de Tagle,José de San Martín,del_solar,balcarce,peru,argentina,predecesor
José Bernardo de Tagle,Simón Bolívar,del_solar,bolívar,peru,colombia,sucesor
José Bernardo de Tagle,José de San Martín,del_solar,balcarce,peru,argentina,sucesor
José de San Martín,José Miguel Carrera,san_martín,valdivieso,argentina,chile,predecesor
José Miguel Carrera,José de San Martín,valdivieso,balcarce,chile,argentina,sucesor
José Miguel Carrera,José de San Martín,pinto_chile,balcarce,chile,argentina,sucesor
José Ruperto Monagas,Antonio Guzmán Blanco,monagas,blanco_venezuela,venezuela,colombia,sucesor
José de San Martín,José Miguel Carrera,balcarce,valdivieso,argentina,chile,predecesor
