from,to,matrimonios,personas,paises
caicedo,sanz_de_santamaría,4,Francisco Xavier Vergara | Luis Caycedo y Flórez | Mariano Sanz de Santamaría | María Josefa Sanz de Santamaría,"colombia, peru"
balcarce,san_martín,3,Tomasa de la Quintana | José de San Martín | Juan de San Martín | Antonio José de Escalada | María de los Remedios de Escalada | Gregoria Matorras,argentina
moctezuma,pizarro,3,Juan de Tolosa | Magdalena de Guzmán | Alonso Hernández Portocarrero | Leonor Cortés Moctezuma | Martín Cortés Zúñiga | La Malinche,"chile, colombia, mexico"
acuña,cayo,2,Nicole Faverón | Fiorella Cayo | Miguel Arce,peru
batlle,saavedra,2,Luis Batlle Berres | Jorge Batlle | Matilde Ibáñez Tálice | Mercedes Menafra,"argentina, uruguay"
bolívar,palacios_venezuela,2,María Teresa del Toro | Manuela Sáenz | Simón Bolívar,"colombia, ecuador, venezuela"
cano,frayssinet,2,Carlos Cano (actor) | Joaquín de Orbegoso | Patricia Frayssinet | Carolina Cano,peru
cruz_chile,vial,2,Ángel Prieto Vial | Delfina de la Cruz | José María de la Cruz Prieto | Aníbal Pinto,chile
garcía_de_zúñiga,warnes,2,Baltasar Unquera | Manuel Antonio José Warnes | Martina Warnes | Ana Jacoba García de Zúñiga,"argentina, colombia, uruguay"
lavín,vergara-azcárate,2,Cristina Girardi | Francisco Javier Vergara,"chile, colombia"
lleras,ospina,2,Carolina Vásquez de Ospina | Pedro Nel Ospina,colombia
morandé,velasco_chile,2,Arturo Alessandri | Rosa Rodríguez (primera dama),chile
pinto_chile,valdivieso,2,Diego José Benavente | José Miguel Carrera | Mercedes Fontecilla,chile
portales,velasco_chile,2,Andrés Velasco (actor) | Sigrid Alegría | Andrés Velasco Brañes,chile
álvarez_del_casal,lozano,2,Tadea Lozano e Isasi | Jorge Tadeo Lozano,colombia
acuña,vértiz,1,Sully Sáenz | Renzo Costa,peru
acuña_argentina,augier,1,Vicente Augier | Francisco de Acuña,argentina
aguilar,borrero,1,Antonio Aguilar hijo | Susana Correa,"colombia, mexico"
aguilar,rocha,1,Guadalupe Pineda | Dardo Rocha,"argentina, mexico"
