pais1,total,endogamicos,tasa_endogamia,transnacionales,tasa_transnacional,exogamicos_mismo_pais
paraguay,4,4,1,0,0,0
ecuador,10,9,0.9,2,0.2,0
mexico,108,94,0.8703703703703703,15,0.1388888888888889,2
argentina,177,153,0.864406779661017,36,0.2033898305084746,10
venezuela,25,21,0.84,5,0.2,1
chile,251,210,0.8366533864541833,23,0.09163346613545817,27
colombia,151,120,0.7947019867549668,13,0.08609271523178808,22
uruguay,18,14,0.7777777777777778,7,0.3888888888888889,1
peru,104,80,0.7692307692307693,12,0.11538461538461539,17
bolivia,3,2,0.6666666666666666,2,0.6666666666666666,0
