nombre1,nombre2,fam1,fam2,pais1,pais2,tipo_relacion
Bigote Arrocet,Gabriela Velasco,velasco_chile,velasco_chile,argentina,chile,conyuge
Carolina Mestrovic,Mario Velasco,velasco_chile,velasco_chile,argentina,chile,conyuge
Juan Carlos Bistoto,Nelly Meruane,meruane,meruane,argentina,chile,conyuge
Luisa Garmendia,Francisco Antonio Pinto,pinto_chile,cruz_chile,argentina,chile,conyuge
Maria Antonia Hagenaar,Pablo Neruda,del_carril,del_carril,argentina,chile,conyuge
Waldemar Méndez,María Gracia Subercaseaux,subercaseaux,subercaseaux,argentina,chile,conyuge
Alberto Benegas Lynch (padre),Sara del Campo,benegas,montt,argentina,chile,conyuge
Esteban Bullrich,María Eugenia Hirmas,alvear,bitar,argentina,chile,conyuge
Luisa Garmendia,Francisco Antonio Pinto,cruz_chile,cruz_chile,argentina,chile,conyuge
Mercedes Ortiz de Rozas,Miguel Piñera,ortiz_de_rozas,echenique,argentina,chile,conyuge
Vicente Saadi,Alicia Cañas,saadi,zañartu,argentina,chile,conyuge
China Suárez,Benjamín Vicuña,aylwin,aylwin,argentina,chile,pareja
Pampita,Benjamín Vicuña,aylwin,aylwin,argentina,chile,pareja
Hugo Vaca Narvaja,Susana Correa,vaca_narvaja,borrero,argentina,colombia,conyuge
Juan Carlos Alsogaray,Cecilia Navia,alsogaray,navia,argentina,colombia,conyuge
Gerard Piqué,Shakira,de_la_rúa,de_la_rúa,argentina,colombia,pareja
Héctor de Elía,Juana Uribe,álzaga,pachón,argentina,colombia,pareja
Alejandro Ciangherotti,Mercedes Soler (actriz),soler,soler,argentina,mexico,conyuge
Christian Bach,Humberto Zurita,pinal_hidalgo,pinal_hidalgo,argentina,mexico,conyuge
José Manuel Astigueta (padre),María Luisa Dehesa,astigueta,gómez_farías,argentina,mexico,conyuge
Katja Alemann,Diego Luna,alemann,sodi,argentina,mexico,pareja
Elisa Alicia Lynch,Francisco Solano López,lópez_carrillo,lópez_carrillo,argentina,paraguay,pareja
Carmen Dragonetti,Fernando Tola Mendoza,de_habich,de_habich,argentina,peru,conyuge
Che Guevara,Hilda Gadea,guevara,guevara,argentina,peru,conyuge
Daphne Dougall,Enrique Zileri,gibson,gibson,argentina,peru,conyuge
Inda Ledesma,Sebastián Salazar Bondy,salazar_y_meléndez,salazar_y_meléndez,argentina,peru,conyuge
Marcelo Oxenford,Yvonne Frayssinet,frayssinet,frayssinet,argentina,peru,conyuge
Segundo Cernadas,Gianella Neyra,neyra,neyra,argentina,peru,conyuge
Carlos Ortiz de Rozas,María del Carmen Ureta,ortiz_de_rozas,ureta,argentina,peru,conyuge
Carlos Pellegrini,Carolina Cano,pellegrini,cano,argentina,peru,conyuge
Che Guevara,Hilda Gadea,guevara,guevara,argentina,peru,conyuge
Tilsa Lozano,Yaco Eskenazi,vértiz,vértiz,argentina,peru,pareja
Tilsa Lozano,Juan Manuel Polar Vargas,vértiz,polar,argentina,peru,pareja
Daniel García-Mansilla,Matilde Rodríguez Larreta,garcía-mansilla,rodríguez_larreta,argentina,uruguay,conyuge
Matilde Ibáñez Tálice,Luis Batlle Berres,saavedra,saavedra,argentina,uruguay,conyuge
Pablo Mouche,Victoria Saravia,saravia,saravia,argentina,uruguay,pareja
Manuel Isidoro Belzu,Juana Manuela Gorriti,zuviría,zuviría,bolivia,argentina,conyuge
José Ballivián,Mercedes Fontecilla,ballivián,pinto_chile,bolivia,chile,conyuge
Cecilia Bolocco,Carlos Menem,yoma,yoma,chile,argentina,conyuge
Pablo Neruda,Delia del Carril,del_carril,del_carril,chile,argentina,conyuge
Amelia Solar de Claro,José Luis Cantilo,claro_chile,ortiz_basualdo,chile,argentina,conyuge
María José Bello,Mauricio Macri,walker_chile,awada,chile,argentina,conyuge
Mercedes Marín del Solar,José María del Carril,claro_chile,del_carril,chile,argentina,conyuge
María Teresa Campos,Bigote Arrocet,velasco_chile,velasco_chile,chile,argentina,pareja
Bertha Puga,Alberto Lleras Camargo,camargo,camargo,chile,colombia,conyuge
Alejandro García-Huidobro,María Eugenia Rojas,garcía-huidobro,rojas,chile,colombia,conyuge
Carlos Concha Subercaseaux,Mercedes Hurtado de Álvarez,concha_chile,álvarez_del_casal,chile,colombia,conyuge
Catalina Edwards,Juan Pablo Llinás,edwards,llinás,chile,colombia,conyuge
