familia_nombre,region_poder,n,total,pct,region_dominante
Allamand,Desconocido,6,6,100,Desconocido
Amunátegui,Desconocido,8,8,100,Desconocido
Angelini,Desconocido,2,2,100,Desconocido
Aylwin,Desconocido,12,12,100,Desconocido
Bachelet,Desconocido,5,5,100,Desconocido
Balmaceda,Desconocido,19,19,100,Desconocido
Barrenechea (Chile),Desconocido,2,2,100,Desconocido
Bello,Desconocido,9,9,100,Desconocido
Benavides (Chile),Desconocido,2,2,100,Desconocido
Bitar,Desconocido,3,3,100,Desconocido
Bulnes,Desconocido,21,21,100,Desconocido
Bunster,Desconocido,4,4,100,Desconocido
Carvajal y Vargas,Desconocido,17,17,100,Desconocido
Cavada,Desconocido,1,1,100,Desconocido
Chadwick,Desconocido,9,9,100,Desconocido
Claro (Chile),Desconocido,8,8,100,Desconocido
Concha (Chile),Desconocido,25,25,100,Desconocido
Cortés de Monroy,Desconocido,3,3,100,Desconocido
Cousiño,Desconocido,7,7,100,Desconocido
Cruz (Chile),Desconocido,21,21,100,Desconocido
Cruz-Coke,Desconocido,7,7,100,Desconocido
Cueto,Desconocido,3,3,100,Desconocido
Di Girolamo,Desconocido,15,15,100,Desconocido
Echaurren,Desconocido,37,37,100,Desconocido
Echenique,Desconocido,16,16,100,Desconocido
Edwards,Desconocido,21,21,100,Desconocido
Errázuriz,Desconocido,38,38,100,Desconocido
Etcheberry,Desconocido,4,4,100,Desconocido
Fontaine,Desconocido,5,5,100,Desconocido
Fontbona,Desconocido,5,5,100,Desconocido
Frei,Desconocido,6,6,100,Desconocido
Freire,Desconocido,14,14,100,Desconocido
Galilea,Desconocido,4,4,100,Desconocido
Gandarillas,Desconocido,8,8,100,Desconocido
García-Huidobro,Desconocido,17,17,100,Desconocido
Garretón,Desconocido,3,3,100,Desconocido
Guarello,Desconocido,3,3,100,Desconocido
Hales,Desconocido,2,2,100,Desconocido
Heiremans,Desconocido,1,1,100,Desconocido
Ibáñez,Desconocido,7,7,100,Desconocido
Kast,Desconocido,14,14,100,Desconocido
Lavín,Desconocido,9,9,100,Desconocido
Luksic,Desconocido,5,5,100,Desconocido
Mackenna,Desconocido,14,14,100,Desconocido
Matta,Desconocido,7,7,100,Desconocido
Matte,Desconocido,36,36,100,Desconocido
Meruane,Desconocido,3,3,100,Desconocido
Monckeberg,Desconocido,2,2,100,Desconocido
Montt,Desconocido,30,30,100,Desconocido
Morandé,Desconocido,9,9,100,Desconocido
Parra (Chile),Desconocido,13,13,100,Desconocido
Philippi,Desconocido,5,5,100,Desconocido
Pinochet,Desconocido,14,14,100,Desconocido
Pinto (Chile),Desconocido,25,25,100,Desconocido
Pizarro,Desconocido,23,23,100,Desconocido
Piñera,Desconocido,1,1,100,Desconocido
Portales,Desconocido,23,23,100,Desconocido
Prieto,Desconocido,17,17,100,Desconocido
Sanfuentes,Desconocido,12,12,100,Desconocido
Santa María,Desconocido,5,5,100,Desconocido
Santiago Concha,Desconocido,4,4,100,Desconocido
Schmidt,Desconocido,7,7,100,Desconocido
Subercaseaux,Desconocido,19,19,100,Desconocido
Tohá,Desconocido,8,8,100,Desconocido
Trivelli,Desconocido,3,3,100,Desconocido
Undurraga,Desconocido,4,4,100,Desconocido
Valdivieso,Desconocido,3,3,100,Desconocido
Valdés (Chile),Desconocido,18,18,100,Desconocido
Van Rysselberghe,Desconocido,4,4,100,Desconocido
Velasco (Chile),Desconocido,29,29,100,Desconocido
Veloso,Desconocido,4,4,100,Desconocido
Vial,Desconocido,15,15,100,Desconocido
Vicuña,Desconocido,44,44,100,Desconocido
Videla,Desconocido,6,6,100,Desconocido
Vodanovic,Desconocido,2,2,100,Desconocido
Walker (Chile),Desconocido,7,7,100,Desconocido
Yarur,Desconocido,2,2,100,Desconocido
Zaldívar,Desconocido,5,5,100,Desconocido
Zañartu,Desconocido,3,3,100,Desconocido
Zegers (Chile),Desconocido,3,3,100,Desconocido
