pais,familia_nombre,n_miembros,intra_ties,inter_ties,intra_marriages,inter_marriages,total_ties,closure_index,ei_index,total_marriages,marital_endogamy,degree_interfamily,betweenness_interfamily,strength_interfamily,dominant_party,dominant_party_share,n_parties,n_miembros_con_partido,dominant_cargo_block,dominant_cargo_share,n_cargo_blocks,n_miembros_con_cargo,h1_delta_family_vs_party,h1_delta_family_vs_cargo,h4_central_closed_score
Argentina,García-Mansilla,17,50,22,9,0,72,0.6944444444444444,-0.3888888888888889,9,1,3,0.014245014245014245,22,Partido Federal,0.5,2,2,Diplomatico,0.29411764705882354,5,17,0.19444444444444442,0.4003267973856209,1.1944444444444444
Argentina,Alvear,16,19,1,4,0,20,0.95,-0.9,4,1,1,0,1,Partido Autonomista Nacional,0.5,4,6,Otro,0.375,4,16,0.44999999999999996,0.575,1.1166666666666667
Argentina,Puch,9,15,1,3,0,16,0.9375,-0.875,3,1,1,0,1,Patriota,0.5,3,4,Militar,0.6666666666666666,2,9,0.4375,0.27083333333333337,1.1041666666666667
Argentina,Paz,23,29,3,7,1,32,0.90625,-0.8125,8,0.875,1,0,3,Partido Autonomista Nacional,0.3333333333333333,7,9,Otro,0.30434782608695654,6,23,0.5729166666666667,0.6019021739130435,1.0729166666666667
Argentina,Warnes,15,38,4,8,0,42,0.9047619047619048,-0.8095238095238095,8,1,1,0,4,Pelucón,0.42857142857142855,4,7,Ejecutivo,0.4666666666666667,5,15,0.4761904761904762,0.4380952380952381,1.0714285714285714
Argentina,Billinghurst,7,7,1,4,0,8,0.875,-0.75,4,1,1,0,1,Partido Demócrata,0.5,2,2,Economico,0.7142857142857143,2,7,0.375,0.1607142857142857,1.0416666666666667
Argentina,Ponce de León,12,6,1,4,0,7,0.8571428571428571,-0.7142857142857143,4,1,1,0,1,Partido Nacional,0.75,2,4,Otro,0.5833333333333334,4,12,0.1071428571428571,0.2738095238095237,1.0238095238095237
Argentina,Zuviría,13,12,2,2,0,14,0.8571428571428571,-0.7142857142857143,2,1,1,0,2,Unitario,0.4,4,5,Profesional,0.3076923076923077,6,13,0.4571428571428571,0.5494505494505494,1.0238095238095237
Argentina,Abal Medina,5,5,0,4,0,5,1,-1,4,1,0,0,0,Frente Grande Partido Justicialista,0.25,4,4,Profesional,0.6,3,5,0.75,0.4,1
Argentina,Acuña (Argentina),10,3,0,0,0,3,1,-1,0,NA,0,0,0,Federal,0.25,4,4,Otro,0.4,4,10,0.75,0.6,1
