pais,n_familias,mediana_cierre_familiar,mediana_endogamia_matrimonial,mediana_concentracion_partidaria,mediana_concentracion_cargo,share_familias_cierre_gt_partido,share_familias_cierre_gt_cargo,corr_degree_cierre,corr_betweenness_cierre
Argentina,165,1,1,0.5,0.5,0.77,0.873015873015873,-0.7377083598826583,-0.23607297289282692
Bolivia,4,1,NA,0.41666666666666663,0.55,0.6666666666666666,1,NA,NA
Chile,98,1,1,0.375,0.5292307692307692,0.9054054054054054,0.8987341772151899,-0.5358061062825759,-0.3303494348635505
Colombia,147,1,1,0.6666666666666666,0.5555555555555556,0.627906976744186,0.8446601941747572,-0.4784870966176952,-0.07268409623117685
Ecuador,6,1,1,0.7,0.4722222222222222,0.5,1,NA,NA
Mexico,111,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8194444444444444,-0.7969956018909498,-0.4401402165119328
Paraguay,1,NA,NA,NA,1,NA,NA,NA,NA
Peru,182,1,1,0.5,0.5714285714285714,0.5930232558139535,0.8712121212121212,-0.7201580411511612,-0.1218996733901168
Uruguay,9,1,1,0.8333333333333334,0.6153846153846154,0.5714285714285714,1,NA,NA
Venezuela,20,1,1,0.5,0.625,0.5384615384615384,0.75,-0.7639099326168001,-0.34431124807603997
