label,count
detalle,18005
Nacimiento,6132
Información personal,6017
Predecesor,5781
Sucesor,5765
Información profesional,5651
Ocupación,5551
Nacionalidad,5513
Familia,5198
Fallecimiento,4431
Cónyuge,3611
Padres,3382
Educación,3259
Hijos,3243
Presidente,3048
Educado en,2412
Partido político,2185
Familiares,1853
Nombre de nacimiento,1703
Religión,1263
Sepultura,1117
Residencia,993
Distinciones,829
Lengua materna,818
Nombre completo,729
Causa de muerte,694
Años activo,554
Empleador,534
Rango militar,534
Afiliaciones,512
Padre,496
Conflictos,496
Miembro de,434
Firma,433
Educada en,425
Sitio web,365
Obras notables,330
Apodo,323
Rama militar,319
Sucesora,298
Pareja,295
Años activa,275
Lealtad,273
Predecesora,265
Altura,244
Cargos ocupados,240
Área,226
Posgrado,226
Seudónimo,224
Género,200
Vicepresidente,194
Características físicas,181
Deporte,178
Nombre en español,176
Carrera deportiva,171
Gabinete,156
Movimiento,155
Madre,147
Datos personales,142
Primer ministro,137
Otros nombres,123
Monarca,122
Instrumento,120
Título,115
Conocido por,114
Nacionalidad(es),114
Tratamiento,111
Posición,110
Miembros,104
Géneros,102
País,100
Nombre completo,94
Club profesional,87
Presidente del Consejo de Ministros del Perú,86
Medio,85
Información religiosa,84
Debut deportivo,84
Otros títulos,78
Fundador,78
Gobernador,78
Junto con,75
Senador de la República de Colombia,74
Nombre,73
Peso,71
Ministro de Relaciones Exteriores del Perú,70
Patrimonio,68
Fundación,66
Coordenadas,65
Retirada deportiva,65
Vicegobernador,64
Información criminal,64
Lengua literaria,62
Ordenación episcopal,61
Tipo,60
Cabello,60
País(es),59
Premios artísticos,59
Ubicación,58
Cargos criminales,58
Ciudadanía,55
Apodo(s),55
Dinastía,55
Designado por,54
Concesión,53
Lugar de origen,53
Ordenación sacerdotal,52
Primer titular,52
Alma mater,51
Actual titular,51
Alumno de,48
Ojos,47
Selección,47
Mandos,46
Familias relacionadas,43
Trayectoria,43
Part.(goles),42
Primera dama de ChileCargo protocolar,42
Dorsal(es),42
Artistas relacionados,42
Consorte,42
Selección nacional,40
Programas,40
Club,40
Empresa,39
Unidad militar,39
Ministro de Hacienda de Chile,39
Otros premios,38
Presidente de la República de Chile,38
Localización,37
Casa real,37
Diputado de la República de ChileporSantiago,37
Etnicidad,36
Notas,36
Ministro de Hacienda y Comercio del Perú,35
Tipo de voz,35
DirectordelBanco Central del Perú,34
Presidente del Senado de Chile,34
Ministro de Relaciones Exteriores de Colombia,33
Nominado por,33
Discográfica,33
Ministro del Interior de Chile,33
Debut,32
Construcción,32
Goles en clubes,32
Situación penal,32
Estilo,31
Alumna de,31
Instrumentos,31
Títulos,30
Tesis doctoral,30
Último gobernante,29
Localidad,29
Propietario,29
Regiones actuales,28
Información general,28
Linajes,27
Alcalde ordinario de Bogotá(Primer voto),26
Años,26
Liga,26
Concejal de Bogotá,26
Senador de la República del PerúporLima,25
Conocida por,24
Usos,24
Dirección,24
Iglesia,23
Condena,23
Ministro de Guerra y Marina de Chile,23
Canal,23
Senador de la República del Perúpordistrito único,23
Profesión,22
Canciller,22
Arquitecto,22
Supervisor doctoral,22
Ministro de Gobierno y Policía del Perú,22
Alcalde,21
Alcalde Metropolitano de Lima,21
Ministro de Guerra y Marina del Perú,21
• Total,21
Discográficas,21
Presidente de la Cámara de Diputados de Chile,21
Miembro del Serenisimo Colegio Constituyente y Electoral de la Provincia de Cundinamarca,20
Sede central,20
Senador de la República del PerúporCusco,20
Ejercicio,19
Proclamación cardenalicia,19
Alcalde de Bogotá,18
