pais,label,count
ecuador,detalle,333
ecuador,Sucesor,117
ecuador,Predecesor,116
ecuador,Información personal,113
ecuador,Nacimiento,110
ecuador,Familia,103
ecuador,Información profesional,101
ecuador,Ocupación,100
ecuador,Fallecimiento,91
ecuador,Nacionalidad,84
ecuador,Padres,81
ecuador,Cónyuge,81
ecuador,Hijos,67
ecuador,Educación,59
ecuador,Familiares,56
ecuador,Presidente,54
ecuador,Educado en,44
ecuador,Partido político,34
ecuador,Religión,26
ecuador,Nombre de nacimiento,23
ecuador,Nombre completo,23
ecuador,Sepultura,19
ecuador,Residencia,16
ecuador,Causa de muerte,14
ecuador,Afiliaciones,12
ecuador,Vicepresidente,9
ecuador,Firma,8
ecuador,Distinciones,7
ecuador,Conocido por,7
ecuador,Gabinete,7
ecuador,Empleador,6
ecuador,Lengua materna,6
ecuador,Título,6
ecuador,Obras notables,5
ecuador,Sitio web,5
ecuador,Tratamiento,5
ecuador,Miembro del Serenisimo Colegio Constituyente y Electoral de la Provincia de Cundinamarca,5
ecuador,Miembro de,5
ecuador,Alcalde de Bogotá,5
ecuador,Altura,5
ecuador,Padre,4
ecuador,Apodo,4
ecuador,Francisco de Vergara Azcárate,4
ecuador,Capitán General de Santa FeporRebelión de los comuneros,4
ecuador,Características físicas,4
ecuador,Educada en,4
ecuador,Senador de Colombia,3
ecuador,Alcalde ordinario de Bogotá(Primer voto),3
ecuador,Años activo,3
ecuador,Monarca,3
ecuador,Posgrado,3
ecuador,Alcalde de Cali,3
ecuador,Ministro de Educación Nacional de Colombia,3
ecuador,Francisco Xavier Vergara,3
ecuador,Rectorde laUniversidad del Rosario,3
ecuador,Ministro de Relaciones Exteriores de Colombia,3
ecuador,Presidente de la República del Ecuador,3
ecuador,Primera dama de Ecuador,3
ecuador,Senador de la República de Colombia,2
ecuador,Información religiosa,2
ecuador,Ordenación sacerdotal,2
ecuador,Ordenación episcopal,2
ecuador,Iglesia,2
ecuador,Profesión,2
ecuador,Alma mater,2
ecuador,Área,2
ecuador,Nombre en español,2
ecuador,Fernando Caycedo,2
ecuador,Gobernador de la Provincia de Bogotá,2
ecuador,Conocida por,2
ecuador,Henry Eder Caicedo,2
ecuador,Reinado,2
ecuador,Empresa,2
ecuador,Ubicación,2
ecuador,Características,2
ecuador,Movimiento,2
ecuador,Rodrigo Lloreda Caicedo,2
ecuador,Ministro de Defensa de Colombia,2
ecuador,Embajador de Colombia en Estados Unidos,2
ecuador,Senador de la República de ColombiaporValle del Cauca,2
ecuador,Pareja,2
ecuador,Estanislao Vergara y Sanz de Santamaría,2
ecuador,Presidente de la Gran Colombia(encargado)por Poder Ejecutivo como Secretario de Relaciones Exteriores y Presidente del Consejo de Ministros,2
ecuador,"Ministro de Relaciones Exteriores, Interior y Justiciade la Gran Colombia",2
ecuador,"Ministro de Estado, del Interior y JusticiadeColombia",2
ecuador,Presidente del Senado de Colombia,2
ecuador,Presidente delConsejo de Ministros de Colombia,2
ecuador,"Secretario Generalde laGran Colombiapor Decreto  encargado del poder ejecutivo y las carteras de Guerra, Hacienda y Relaciones Exteriores.",2
ecuador,Intendente General del Departamento de Cundinamarca,2
ecuador,Gobernador de laProvincia de Cundinamarca,2
ecuador,Medidas,2
ecuador,Ojos,2
ecuador,Cabello,2
ecuador,Años activa,2
ecuador,Ciudadanía,2
ecuador,Alcalde Metropolitano de Lima,2
ecuador,Senador de la República del PerúporPiura,2
ecuador,Seudónimo,2
ecuador,Presidente del Consejo Municipal de Guayaquil,2
ecuador,Víctor Emilio Estrada Sciacaluga,2
ecuador,Presidente del Concejo Municipal de Guayaquil,2
ecuador,Patrimonio,2
ecuador,Predecesora,2
ecuador,Junto con,2
ecuador,Miembro de la Suprema Junta de Gobierno del Nuevo Reino de Granada,2
ecuador,Leonidas Yerovi,2
ecuador,Francisco Beltrán de Caycedo,1
ecuador,Juan Martín Caicedo,1
ecuador,Alcalde Mayor de Bogotá,1
ecuador,Álvaro H. Caicedo,1
ecuador,Representante a la Cámarapor Valle del Cauca,1
ecuador,Concejal de Cali,1
ecuador,Medio,1
ecuador,Fernando Caicedo y Flórez,1
ecuador,Otros títulos,1
ecuador,Aurelio Caicedo,1
ecuador,14° Embajador de Colombia ante la ONU,1
ecuador,Embajador de Colombia ante la Santa Sede,1
ecuador,Ministro de Educación de Colombia[1]​,1
ecuador,Ministro de Trabajo de Colombia[1]​,1
ecuador,Domingo de Caicedo Prieto,1
ecuador,Víctor Eduardo Caro,1
ecuador,Lengua literaria,1
ecuador,Germán Castro Caycedo,1
ecuador,Género,1
ecuador,José Fernando Castro,1
ecuador,Miembro de laCámara de Representantes de ColombiaporBogotá,1
ecuador,Defensor del Pueblo de Colombia,1
ecuador,Alfonso Caycedo Lozano,1
ecuador,Joaquín de Cayzedo y Cuero,1
ecuador,2.ºPresidente de las Ciudades Confederadas del Valle del Cauca,1
ecuador,8.ºAlférez Real de Santiago de Cali,1
ecuador,Luis Caycedo y Flórez,1
ecuador,546.º Alcalde Ordinario de Santafé,1
ecuador,Domingo Caycedo,1
ecuador,4.ºPresidente de la Gran Colombia,1
ecuador,7.ºPresidente de la Gran Colombia[1]​,1
ecuador,Vicepresidente de la Gran Colombia,1
ecuador,Vicepresidente de la República de la Nueva Granada,1
ecuador,Rama militar,1
ecuador,Rango militar,1
ecuador,Conflictos,1
ecuador,Ignacio Caycedo y Pastrana,1
ecuador,Cristóbal de Vergara Azcárate y Caycedo,1
ecuador,Prefecto General de Cundinamarca,1
ecuador,Prefecto General de Cauca,1
ecuador,Gobernador de Boyacá,1
ecuador,Ministro de Hacienda y Crédito Público de Colombia,1
ecuador,José de Cuero y Cayzedo,1
ecuador,Congregación,1
ecuador,Nombre,1
ecuador,Manuel de Caicedo Tenorio,1
ecuador,Regidor Perpetuo deSantiago de Cali,1
ecuador,7.ºAlférez Real de Santiago de Cali,1
ecuador,Clemencia de Caycedo,1
ecuador,Otros nombres,1
ecuador,Familia Caicedo,1
ecuador,Etimología,1
ecuador,Formas anteriores,1
ecuador,Etnicidad,1
ecuador,Familias relacionadas,1
ecuador,País(es),1
