partido,miembros,paises,lista_paises,familias
Partido Liberal,156,8,"argentina, bolivia, chile, colombia, mexico, paraguay, peru, venezuela",77
Partido Conservador Colombiano,147,1,colombia,55
Partido Liberal Colombiano,131,2,"chile, colombia",52
Partido Conservador,125,7,"argentina, chile, colombia, ecuador, mexico, peru, venezuela",66
Partido Revolucionario Institucional,99,1,mexico,48
Independiente,98,5,"chile, colombia, mexico, paraguay, peru",56
Partido Demócrata Cristiano,72,3,"argentina, chile, peru",37
Partido Nacional,71,4,"argentina, chile, colombia, uruguay",37
Partido Justicialista,60,1,argentina,29
Unión Cívica Radical,53,1,argentina,32
Conservador,49,2,"chile, colombia",24
Renovación Nacional,48,2,"chile, peru",27
Partido Civil,47,1,peru,26
Partido Socialista,44,3,"argentina, chile, peru",24
Acción Popular,42,1,peru,20
Unión Demócrata Independiente,42,1,chile,27
Partido Autonomista Nacional,40,2,"argentina, chile",28
Liberal,36,4,"argentina, chile, colombia, mexico",28
Partido Demócrata,34,3,"argentina, chile, peru",20
Partido Acción Nacional,30,1,mexico,16
Partido Colorado,29,3,"argentina, paraguay, uruguay",8
Partido Unitario,27,1,argentina,19
Partido Republicano,24,4,"argentina, chile, colombia, mexico",23
Unión Cívica,23,2,"argentina, peru",14
Partido Autonomista,22,1,argentina,15
Centro Democrático,21,1,colombia,13
Partido por la Democracia,21,1,chile,15
Partido Liberal Democrático,20,1,chile,10
Partido de la U,20,1,colombia,12
Patriota,20,2,"argentina, chile",16
Fuerza Popular,19,1,peru,12
Partido Federal,18,2,"argentina, uruguay",13
Partido Radical,18,2,"chile, uruguay",13
Partido Conservador Unido,16,1,chile,13
Partido Popular Cristiano,16,1,peru,13
Partido de la Revolución Democrática,16,1,mexico,11
Propuesta Republicana,16,1,argentina,13
Unitario,16,1,argentina,13
Partido Demócrata Nacional,15,1,argentina,12
Partido Socialista Unido de Venezuela,15,1,venezuela,4
Federal,13,1,argentina,13
Falange Nacional,12,1,chile,8
Frente Amplio,12,3,"chile, peru, uruguay",11
Liberal Democrático,12,1,chile,9
Partido Aprista Peruano,12,1,peru,12
Nacional,11,1,chile,8
Cambio Radical,10,2,"colombia, peru",7
Movimiento Popular Neuquino,10,1,argentina,1
Partido Conservador Tradicionalista,10,1,chile,9
Partido Socialista de Chile,10,1,chile,7
APRA,9,1,peru,9
Alianza para el Progreso,9,1,peru,6
Nuevo Liberalismo,9,1,colombia,4
Partido Demócrata Progresista,9,1,argentina,9
Partido Nacional Revolucionario,9,1,mexico,6
Partido Nacionalista,9,2,"argentina, chile",8
Unión Nacional,9,2,"argentina, peru",9
Unión por el Perú,9,1,peru,8
Movimiento Democrático Peruano,8,1,peru,7
Partido Cambio Radical,8,1,colombia,6
Partido Comunista de Chile,8,2,"argentina, chile",5
Partido Conservador Social Cristiano,8,1,chile,6
Partido Constitucional,8,2,"peru, uruguay",5
Partido Peronista,8,1,argentina,6
Político independiente,8,3,"argentina, chile, peru",7
Unión Cívica Nacional,8,1,argentina,7
derecha,8,1,chile,6
Amarillos por Chile,7,1,chile,6
Evolución Política,7,1,chile,5
Izquierda Unida,7,1,peru,7
La Libertad Avanza,7,1,argentina,5
Movimiento Regeneración Nacional,7,1,mexico,5
PSUV,7,1,venezuela,3
Partido Democrático Reformista,7,1,peru,6
Partido Nacionalista Peruano,7,1,peru,4
Partido Verde Ecologista de México,7,1,mexico,5
Perú Libre,7,1,peru,4
Perú Posible,7,1,peru,7
Alianza Democrática M-19,6,1,colombia,4
Avanza País,6,1,peru,4
Demócrata Cristiano,6,1,chile,5
Derecha,6,1,chile,5
MVR,6,1,venezuela,3
Movimiento Ciudadano,6,1,mexico,5
Movimiento de Acción Popular Unitaria,6,1,chile,5
Movimiento de Integración y Desarrollo,6,1,argentina,3
Movimiento de Salvación Nacional,6,1,colombia,3
Partido Comunista,6,2,"argentina, chile",6
Partido Demócrata Liberal,6,1,argentina,2
Partido Laborista,6,1,argentina,4
Partido Liberal (Venezuela),6,1,venezuela,3
Partido Liberal Radical Ecuatoriano,6,1,ecuador,4
Peruanos Por el Kambio,6,1,peru,5
Somos Perú,6,1,peru,5
ANAPO,5,1,colombia,1
Convergencia Social,5,1,chile,5
Ejércitos patriotas,5,1,argentina,5
Libertad Popular,5,1,peru,4
Movimiento Libertad,5,1,peru,5
Movimiento de Unión Nacional,5,1,chile,4
Partido Agrario Laborista,5,1,chile,5
Partido Auténtico de la Revolución Mexicana,5,1,mexico,4
Partido Comunista Peruano,5,1,peru,5
Partido Comunista de Cuba,5,1,argentina,1
Partido Liberal de Chile,5,1,chile,5
Partido de la Revolución Mexicana,5,1,mexico,3
Partido del Trabajo,5,1,mexico,2
Unión Cívica Radical Intransigente,5,1,argentina,5
Unión Cívica Radical del Pueblo,5,1,argentina,3
Centroderecha,4,1,chile,4
Compromiso para el Cambio,4,1,argentina,4
Democracia Cristiana,4,2,"chile, peru",4
Frente Democrático Nacional,4,1,peru,2
Frente Patriótico,4,2,"bolivia, peru",3
"Independiente, cercano a la derecha",4,1,chile,4
Izquierda Cristiana,4,1,chile,4
MAPU,4,1,chile,4
MBR-200,4,1,venezuela,2
Movimiento V República,4,1,venezuela,3
Movimiento de Izquierda Revolucionaria,4,2,"chile, peru",2
Partido Autonomista de Corrientes,4,1,argentina,1
Partido Liberal Mexicano,4,1,mexico,2
Partido Morado,4,1,peru,3
Partido Nuevo,4,1,argentina,1
Polo Democrático Alternativo,4,1,colombia,4
Progresemos,4,1,peru,3
Radical,4,1,chile,3
Revolución Democrática,4,1,chile,4
Sendero Luminoso,4,1,peru,4
Socialista,4,1,chile,3
Solidaridad Nacional,4,1,peru,3
Unión Cívica Radical Antipersonalista,4,1,argentina,4
Unión Patriótica,4,1,colombia,2
Unión Republicana,4,1,colombia,3
liberal,4,2,"argentina, mexico",4
Alianza Popular Revolucionaria Americana,3,1,peru,2
Avanzada Nacional,3,1,chile,3
Centralista,3,1,colombia,3
Colombia Humana,3,1,colombia,2
Compromiso Ciudadano,3,1,colombia,3
Copei,3,1,venezuela,2
Frente Grande,3,1,argentina,2
Frente Nacional de Trabajadores y Campesinos,3,1,peru,1
Frente para la Victoria,3,1,argentina,3
Fuerza Común,3,1,chile,3
Izquierda Democrática,3,1,ecuador,1
Juntos por el Perú,3,1,peru,3
Militarizado Partido Comunista del Perú,3,1,peru,1
Nueva Acción Pública,3,1,chile,3
Nueva Fuerza,3,1,argentina,2
Nueva Mayoría,3,1,peru,2
PL,3,1,chile,2
Partido Amplio de Izquierda Socialista,3,1,chile,2
Partido Bloquista,3,1,argentina,1
Partido Conservador Popular,3,1,argentina,2
Partido Demócrata de la Capital Federal,3,1,argentina,2
Partido Liberal del Ecuador,3,1,ecuador,2
Partido Social Cristiano,3,2,"chile, ecuador",3
Partido Socialista Independiente,3,1,argentina,3
Partido Socialista Popular,3,2,"argentina, chile",2
Pelucón,3,1,chile,1
Podemos Perú,3,1,peru,3
Poder Popular,3,1,colombia,3
Polo Democrático,3,1,colombia,2
Primero Colombia,3,1,colombia,3
Realista,3,2,"argentina, chile",3
Unitarismo,3,1,argentina,1
Unión del Centro Democrático,3,1,argentina,2
ibañismo,3,1,chile,3
liberalismo,3,1,argentina,1
Acción Democrática,2,2,"argentina, venezuela",2
Acción Democrática Nacional,2,1,ecuador,1
Acción Humanista,2,1,chile,2
Acción Nacional,2,1,chile,2
Acción Republicana,2,1,chile,2
Alas Equipo Colombia,2,1,colombia,1
Alianza Nacional Popular,2,1,colombia,1
Amplitud,2,1,chile,1
Autodefensas Unidas de Colombia,2,1,colombia,1
Autonomista,2,1,argentina,2
Bando Carrerino,2,1,chile,2
Bando Patriota,2,1,chile,2
Bando Pipiolo,2,1,chile,1
COPEI,2,1,venezuela,2
Cambio 90,2,1,peru,2
Carlotismo,2,1,argentina,2
Carlotista,2,1,argentina,1
Chile Vamos,2,1,chile,2
Coalición Conservadora,2,1,peru,2
Coalición Cívica ARI,2,1,argentina,2
Evópoli,2,1,chile,2
Federalista,2,1,colombia,2
Frente Independiente Moralizador,2,1,peru,2
Frente de Todos,2,1,argentina,1
Independientes por el Consenso Democrático,2,1,chile,2
Independista,2,1,chile,1
LS,2,1,venezuela,1
Movimiento Chim Pum Callao,2,1,peru,1
Movimiento Revolucionario Liberal,2,1,colombia,2
Movimiento al Socialismo,2,1,bolivia,1
Nueva Fuerza Democrática,2,1,colombia,1
PDC,2,1,chile,2
Partido Colombia Democrática,2,1,colombia,2
Partido Comunista Mexicano,2,1,mexico,2
Partido Conservador (1937-1997),2,1,colombia,1
Partido Conservador Ecuatoriano,2,1,ecuador,2
Partido Conservador de Chile,2,1,chile,2
Partido Dignidad,2,1,colombia,1
Partido Humanista,2,1,chile,2
Partido Liberal Constitucionalista,2,1,mexico,2
Partido Liberal Democrático (Chile),2,1,chile,1
Partido Liberal Restaurador,2,1,venezuela,1
Partido Liberal Unido,2,1,chile,2
Partido Liberal de Corrientes,2,1,argentina,2
Partido Nacional Libertario,2,1,chile,2
Partido Nacional o monttvarista,2,1,chile,2
Partido Nacionalsocialista Obrero Alemán,2,1,chile,1
Partido Popular,2,2,"argentina, bolivia",2
Partido Progresista,2,2,"chile, peru",2
Partido Radical Socialdemócrata,2,1,chile,1
Partido Regionalista de los Independientes,2,1,chile,2
Partido Renovador Institucional Acción Nacional,2,1,ecuador,1
Partido Socialista Argentino,2,1,argentina,2
Partido Unificado Mariateguista,2,1,peru,2
Partido de Unidad Nacional,2,1,colombia,1
Partido del Sur,2,1,chile,1
Perú Patria Segura,2,1,peru,2
Pipiolo,2,1,chile,1
Pipiolos,2,1,chile,2
Polo Democrático Independiente,2,1,colombia,1
Primero La Gente,2,1,peru,1
Recrear para el Crecimiento,2,1,argentina,2
Renovación Popular,2,1,peru,1
Republicano,2,2,"chile, colombia",2
Si Cumple,2,1,peru,2
UCC,2,1,chile,1
Unión Cívica Radical Bloquista,2,1,argentina,1
Unión Cívica de la Juventud,2,1,argentina,2
Unión Liberal,2,1,colombia,1
Unión Revolucionaria,2,1,peru,2
Vanguardia Revolucionaria,2,1,peru,2
Victoria Nacional,2,1,peru,2
gremialismo,2,1,chile,1
monárquico constitucional,2,1,argentina,1
patriota,2,1,argentina,1
A.N.T.A.U.R.O.,1,1,peru,1
AD,1,1,venezuela,1
AD M-19,1,1,colombia,1
Acción Mujeres de Chile,1,1,chile,1
Acción Nacionalista,1,1,chile,1
Acción Nacionalista Argentina,1,1,argentina,1
Acción Popular y luego independiente,1,1,peru,1
Acción por la República,1,1,argentina,1
Adelante Ecuatoriano Adelante,1,1,ecuador,1
Alianza Nacional,1,1,peru,1
Alianza Nacional Popular (ANAPO),1,1,colombia,1
Alianza Popular,1,1,mexico,1
Alianza por el Futuro,1,1,peru,1
Avancemos,1,1,argentina,1
Avanza País - Partido de Integración Social,1,1,peru,1
Avanzada Progresista,1,1,venezuela,1
Bando O'Higginista,1,1,chile,1
Bando patriota,1,1,chile,1
Candidato independiente,1,1,chile,1
Centro Derecha (ideología),1,1,colombia,1
Centroizquierda,1,1,chile,1
Ciudadanos,1,1,chile,1
Colombia Renaciente,1,1,colombia,1
Comunista,1,1,chile,1
Democracia Agrario Laborista,1,1,chile,1
Democracia Social,1,1,mexico,1
Demócrata Progresista,1,1,argentina,1
Demócratas,1,1,chile,1
Ecuatoriano Unido,1,1,ecuador,1
Ejército de Liberación Nacional,1,1,peru,1
En Marcha,1,1,colombia,1
En Movimiento,1,1,peru,1
Encuentro Republicano Federal,1,1,argentina,1
Estanquero,1,1,chile,1
FET y de las JONS,1,1,mexico,1
FPN,1,1,bolivia,1
Falange Socialista Boliviana,1,1,bolivia,1
Frente Democrático de Unidad Nacional,1,1,peru,1
Frente País Solidario,1,1,argentina,1
Frente Unido del Pueblo,1,1,colombia,1
Frente del Hombre Común,1,1,argentina,1
Fuerza Social,1,1,peru,1
Fujimorismo,1,1,peru,1
G.S.C Avancemos,1,1,colombia,1
Herrerismo,1,1,uruguay,1
Independentista,1,1,chile,1
Independiente [ 2 ] ​,1,1,chile,1
Independiente cercano a la Derecha,1,1,chile,1
"Independiente, ligado a la derecha",1,1,chile,1
Junta Patriótica de Huaraz,1,1,peru,1
Justicialista,1,1,argentina,1
Juventud Comunista de Venezuela,1,1,venezuela,1
Juventud Conservadora,1,1,chile,1
Juventud Peronista,1,1,argentina,1
Juventud Universitaria Peronista,1,1,argentina,1
Kolina,1,1,argentina,1
La Causa R,1,1,venezuela,1
La Cámpora,1,1,argentina,1
Lealtad y Dignidad,1,1,argentina,1
Legión Cívica Argentina,1,1,argentina,1
Liberalismo,1,1,chile,1
Liga del Sur,1,1,argentina,1
M. Nacional-Socialista,1,1,chile,1
MIRA,1,1,colombia,1
MNR,1,1,bolivia,1
MNR–A,1,1,bolivia,1
MOVADEF,1,1,peru,1
Montoneros,1,1,argentina,1
Morena,1,1,mexico,1
Movimiento Bolivariano Revolucionario - 200,1,1,venezuela,1
Movimiento Independiente Alessandrista,1,1,chile,1
Movimiento Indígena Pachakuti,1,1,bolivia,1
Movimiento Nacional-Socialista de Chile,1,1,chile,1
Movimiento Nacionalista,1,1,chile,1
Movimiento Nacionalista Revolucionario,1,1,bolivia,1
Movimiento Revolucionario Túpac Amaru,1,1,peru,1
Movimiento Revolucionario Túpac Katari de Liberación,1,1,bolivia,1
Movimiento Tierra y Libertad,1,1,peru,1
Movimiento de Bases Hayistas,1,1,peru,1
Nacional Antirreeleccionista,1,1,mexico,1
Nacional Libertario,1,1,chile,1
Nacional o monttvarista,1,1,chile,1
Nacional-Socialista,1,1,chile,1
Nueva Dirigencia,1,1,argentina,1
Nueva Libertad (2012-2023),1,1,peru,1
Nuevo Partido del Pueblo,1,1,peru,1
Nuevo Perú,1,1,peru,1
Nuevo liberalismo,1,1,colombia,1
Orden,1,1,peru,1
P. Autonomista Nacional,1,1,argentina,1
PA,1,1,chile,1
PAC,1,1,chile,1
PCCh,1,1,chile,1
PCF,1,1,chile,1
PCP,1,1,mexico,1
PCU,1,1,chile,1
PCon,1,1,chile,1
PFCH,1,1,chile,1
PLD,1,1,chile,1
PLP,1,1,chile,1
PN,1,1,chile,1
PNA,1,1,mexico,1
PPD,1,1,chile,1
PPF,1,1,chile,1
PRI,1,1,mexico,1
PSOE,1,1,peru,1
Pacto Histórico,1,1,colombia,1
Partido Acción Popular,1,1,peru,1
Partido Acción Unitaria,1,1,chile,1
Partido Agrario,1,1,chile,1
Partido Alianza Verde,1,1,colombia,1
Partido Autonomista Nacional (línea modernista),1,1,argentina,1
Partido Blanco de los Trabajadores,1,1,argentina,1
Partido Blanco de los Trabajadores (2007-actualidad) Partido Justicialista (1988-2007),1,1,argentina,1
Partido Centro Democrático,1,1,colombia,1
Partido Comunista Colombiano,1,1,colombia,1
Partido Comunista Revolucionario,1,1,peru,1
Partido Conservador Cristiano,1,1,chile,1
Partido Conservador de Venezuela,1,1,venezuela,1
Partido Constitucionalista Progresista,1,1,mexico,1
Partido Cívico OBRAS,1,1,peru,1
Partido Democracia Nacional de Centro,1,1,chile,1
Partido Democrático Nacional,1,1,chile,1
Partido Democrático de Izquierda,1,1,chile,1
Partido Demócrata (Perú),1,1,peru,1
Partido Demócrata Liberal de San Luis,1,1,argentina,1
Partido Demócrata Mexicano,1,1,mexico,1
Partido Demócrata de Buenos Aires,1,1,argentina,1
Partido Demócrata de Córdoba,1,1,argentina,1
Partido Dignidad & Compromiso,1,1,colombia,1
Partido Encuentro Social,1,1,mexico,1
Partido Filopolita,1,1,chile,1
Partido Humanista de la Ciudad de México,1,1,mexico,1
Partido Izquierda Radical,1,1,chile,1
Partido Laborista Mexicano,1,1,mexico,1
Partido Liberal Independiente,1,1,chile,1
Partido Liberal Independiente (Chile),1,1,chile,1
Partido Liberal de Cuba,1,1,chile,1
Partido Liberal de Santa Fe,1,1,argentina,1
Partido Liberal del Perú,1,1,peru,1
Partido MIRA,1,1,colombia,1
Partido Modernista,1,1,argentina,1
Partido Nacional Agrario,1,1,chile,1
Partido Nacional Democrático,1,1,peru,1
Partido Nacional Popular,1,1,chile,1
Partido Político MIRA,1,1,colombia,1
Partido Popular Jujeño,1,1,argentina,1
Partido Por la Democracia,1,1,chile,1
Partido Reeleccionista,1,1,mexico,1
