par,institucion,n
chile ↔ peru,Universidad Nacional Mayor de San Marcos,696
argentina ↔ chile,Universidad de Chile,610
chile ↔ colombia,Universidad de Chile,610
chile ↔ peru,Universidad de Chile,610
ecuador ↔ peru,Universidad Nacional Mayor de San Marcos,464
argentina ↔ peru,Universidad Nacional Mayor de San Marcos,232
argentina ↔ chile,Real Universidad de San Felipe,168
argentina ↔ peru,Universidad de Buenos Aires,125
argentina ↔ uruguay,Universidad de Buenos Aires,125
chile ↔ colombia,Pontificia Universidad Católica de Chile,90
chile ↔ colombia,Universidad de los Andes,81
chile ↔ colombia,Universidad del Rosario,73
colombia ↔ peru,Universidad del Rosario,73
chile ↔ mexico,Lic.,55
chile ↔ mexico,Universidad Nacional Autónoma de México,49
colombia ↔ venezuela,Colegio Mayor de San Bartolomé,48
chile ↔ colombia,Universidad de Columbia,35
colombia ↔ ecuador,Universidad del Cauca,32
colombia ↔ peru,Universidad Complutense de Madrid,28
chile ↔ peru,Derecho,24
argentina ↔ colombia,Universidad de Harvard,21
colombia ↔ peru,Universidad de Harvard,21
argentina ↔ uruguay,Universidad de la República,20
chile ↔ peru,Ph.D.,18
chile ↔ colombia,Universidad Harvard,16
colombia ↔ peru,Universidad de Salamanca,16
colombia ↔ peru,Universidad Cornell,15
argentina ↔ bolivia,"Universidad Mayor, Real y Pontificia San Francisco Xavier de Chuquisaca",14
argentina ↔ peru,"Universidad Mayor, Real y Pontificia San Francisco Xavier de Chuquisaca",14
argentina ↔ venezuela,Universidad Central de Venezuela,14
chile ↔ peru,Universidad Complutense de Madrid,14
colombia ↔ mexico,Universidad de Columbia,14
colombia ↔ venezuela,Universidad Central de Venezuela,14
argentina ↔ chile,Derecho,12
chile ↔ colombia,Escuela de Economía y Ciencia Política de Londres,12
chile ↔ mexico,Derecho,12
chile ↔ mexico,Universidad Harvard,12
colombia ↔ mexico,Universidad Harvard,12
colombia ↔ mexico,Lic.,11
ecuador ↔ mexico,Lic.,11
mexico ↔ peru,Lic.,11
chile ↔ colombia,Universidad de Georgetown,10
chile ↔ mexico,Universidad de Columbia,10
colombia ↔ peru,Universidad de Georgetown,10
argentina ↔ peru,Universidad de Harvard,9
chile ↔ peru,Colegio de los Sagrados Corazones de Viña Del Mar,9
mexico ↔ peru,Maestría,9
argentina ↔ chile,Medicina,8
argentina ↔ colombia,Universidad de Salamanca,8
argentina ↔ peru,Derecho,8
argentina ↔ peru,Universidad de Salamanca,8
chile ↔ colombia,Escuela de Gobierno John F. Kennedy,8
chile ↔ colombia,Universidad Complutense de Madrid,8
chile ↔ colombia,Universidad de Salamanca,8
chile ↔ peru,M.A.,8
chile ↔ peru,Universidad de Salamanca,8
chile ↔ venezuela,Universidad Harvard,8
colombia ↔ venezuela,Universidad Harvard,8
colombia ↔ venezuela,Universidad de Los Andes,8
mexico ↔ peru,Derecho,8
argentina ↔ colombia,Universidad de Columbia,7
chile ↔ ecuador,Educación secundaria,7
colombia ↔ peru,Universidad de Columbia,7
argentina ↔ chile,Universidad Yale,6
argentina ↔ chile,Universidad de Nueva York,6
argentina ↔ mexico,Instituto Tecnológico de Massachusetts,6
argentina ↔ peru,Universidad Católica Argentina,6
chile ↔ colombia,Ph.D.,6
chile ↔ colombia,Universidad de Chicago,6
chile ↔ colombia,Universidad de Princeton,6
chile ↔ ecuador,Ph.D.,6
chile ↔ ecuador,Universidad Nacional Mayor de San Marcos,6
chile ↔ mexico,Maestría,6
chile ↔ mexico,Ph.D.,6
chile ↔ peru,Colegio San Agustín,6
chile ↔ peru,Maestría,6
colombia ↔ ecuador,Universidad Central del Ecuador,6
colombia ↔ peru,Universidad de Barcelona,6
colombia ↔ peru,Universidad de Oxford,6
mexico ↔ venezuela,Universidad Harvard,6
argentina ↔ chile,Universidad de Columbia,5
argentina ↔ chile,Universidad de Heidelberg,5
argentina ↔ colombia,Universidad de Georgetown,5
chile ↔ colombia,Actuación,5
chile ↔ colombia,Lic.,5
chile ↔ colombia,Universidad de Heidelberg,5
chile ↔ ecuador,Lic.,5
chile ↔ peru,Lic.,5
chile ↔ peru,Universidad de Columbia,5
colombia ↔ peru,Universidad de Miami,5
mexico ↔ peru,Universidad de Miami,5
argentina ↔ chile,Abogado,4
argentina ↔ chile,Sorbonne Universidad de París,4
argentina ↔ chile,Universidad Harvard,4
argentina ↔ chile,Universidad de Salamanca,4
argentina ↔ colombia,Universidad Harvard,4
argentina ↔ colombia,Universidad de Cambridge,4
argentina ↔ colombia,Universidad de Chile,4
argentina ↔ mexico,Derecho,4
argentina ↔ peru,Grado,4
argentina ↔ peru,Universidad de Chile,4
chile ↔ colombia,Instituto de Estudios Políticos de París,4
chile ↔ colombia,Universidad Santo Tomás,4
chile ↔ ecuador,Universidad Harvard,4
chile ↔ peru,Doc.,4
chile ↔ peru,Escuela Militar,4
chile ↔ peru,Universidad Harvard,4
chile ↔ peru,Universidad de Georgetown,4
chile ↔ venezuela,Universidad de Los Andes,4
colombia ↔ ecuador,Universidad Harvard,4
colombia ↔ ecuador,Universidad de Salamanca,4
colombia ↔ peru,Escuela de Gobierno John F. Kennedy,4
colombia ↔ peru,Universidad Harvard,4
colombia ↔ peru,Universidad de Chile,4
colombia ↔ peru,Universidad de Texas en Austin,4
ecuador ↔ peru,Universidad de Salamanca,4
mexico ↔ peru,Universidad Stanford,4
mexico ↔ peru,Universidad de París,4
mexico ↔ peru,Universidad de Texas en Austin,4
peru ↔ venezuela,Universidad de París,4
argentina ↔ chile,Universidad Nacional Mayor de San Marcos,3
argentina ↔ chile,Universidad de Chicago,3
argentina ↔ mexico,Universidad Harvard,3
argentina ↔ peru,Universidad Católica de Lovaina,3
