institucion,alumnos,paises,lista_paises,familias
Universidad de Chile,311,4,"argentina, chile, colombia, peru",82
Universidad Nacional Mayor de San Marcos,238,4,"argentina, chile, ecuador, peru",111
Universidad de Buenos Aires,127,3,"argentina, peru, uruguay",75
Pontificia Universidad Católica del Perú,123,1,peru,64
Pontificia Universidad Católica de Chile,91,2,"chile, colombia",41
Universidad Católica de Chile,83,1,chile,44
Instituto Nacional,75,1,chile,30
Universidad del Rosario,75,3,"chile, colombia, peru",36
Universidad Nacional de Colombia,71,1,colombia,47
Universidad Nacional Autónoma de México,50,2,"chile, mexico",37
Pontificia Universidad Javeriana,45,1,colombia,24
Colegio de los Sagrados Corazones de Santiago,38,1,chile,24
Universidad del Cauca,33,2,"colombia, ecuador",15
Colegio Nacional de Buenos Aires,32,1,argentina,24
Real Universidad de San Felipe,31,2,"argentina, chile",17
Universidad de los Andes,30,2,"chile, colombia",23
Universidad Nacional de Córdoba,29,1,argentina,19
Colegio San Ignacio,28,1,chile,15
Colegio Mayor de San Bartolomé,26,2,"colombia, venezuela",18
Universidad Nacional de Ingeniería,24,1,peru,23
Universidad de la República,21,2,"argentina, uruguay",11
Escuela Militar del Libertador Bernardo O'Higgins,20,1,chile,13
Lic.,19,5,"chile, colombia, ecuador, mexico, peru",15
Universidad Mayor de San Marcos,19,1,peru,17
Universidad de Antioquia,17,1,colombia,12
Universidad Central de Venezuela,16,3,"argentina, colombia, venezuela",10
Universidad Externado de Colombia,16,1,colombia,13
Universidad Harvard,16,7,"argentina, chile, colombia, ecuador, mexico, peru, venezuela",16
"Universidad Mayor, Real y Pontificia San Francisco Xavier de Chuquisaca",16,3,"argentina, bolivia, peru",14
Universidad Nacional de San Agustín,16,1,peru,11
Universidad de Columbia,16,5,"argentina, chile, colombia, mexico, peru",14
Colegio Mayor de Nuestra Señora del Rosario,15,1,colombia,12
Saint George's College,15,1,chile,11
Derecho,14,4,"argentina, chile, mexico, peru",11
Universidad Complutense de Madrid,13,3,"chile, colombia, peru",11
Universidad de Harvard,13,3,"argentina, colombia, peru",12
Universidad de Salamanca,13,5,"argentina, chile, colombia, ecuador, peru",12
Ph.D.,12,5,"chile, colombia, ecuador, mexico, peru",12
Universidad Nacional de La Plata,12,1,argentina,10
Convictorio de San Carlos,11,1,peru,8
Universidad Iberoamericana,11,1,mexico,8
Colegio de los Sagrados Corazones de Viña Del Mar,10,2,"chile, peru",7
Universidad Nacional de Trujillo,10,1,peru,10
Universidad de Georgetown,10,4,"argentina, chile, colombia, peru",9
