from_label,to_label,tipo_label
Carlos Menem,Carlos Menem Jr.,padre/madre
Carlos Menem,Carlos Menem Jr.,padre/madre
Carlos Menem,Cecilia Bolocco,cónyuge
Benjamín Vicuña,China Suárez,pareja
Benjamín Vicuña,José Joaquín Vicuña,hijo/a
Benjamín Vicuña,Julio Vicuña Cifuentes,padre/madre
Benjamín Vicuña,Luis Vicuña Cifuentes,padre/madre
Leonor Oyarzún,Mariana Aylwin,padre/madre
Leonor Oyarzún,Mariana Aylwin,padre/madre
Carlos Menem,Martha Meza,pareja
China Suárez,Nicolás Cabré,pareja
Benjamín Vicuña,Pampita,pareja
Leonor Oyarzún,Patricio Aylwin,cónyuge
Mariana Aylwin,Patricio Aylwin,padre/madre
Mariana Aylwin,Patricio Aylwin,padre/madre
Miguel Aylwin,Patricio Aylwin,hijo/a
Miguel Aylwin,Patricio Aylwin,padre/madre
Benjamín Vicuña,Paz Bascuñán,pareja
Mariana Aylwin,Paz Bascuñán,hijo/a
Mariana Aylwin,Paz Bascuñán,padre/madre
Carlos Menem,Zulema Fátima Yoma,cónyuge
Carlos Menem Jr.,Zulema Fátima Yoma,padre/madre
Carlos Menem Jr.,Zulema Fátima Yoma,padre/madre
Carlos Menem,Zulema Menem,padre/madre
Zulema Fátima Yoma,Zulema Menem,padre/madre
Carlos Menem,Zulema Menem,padre/madre
Zulema Fátima Yoma,Zulema Menem,padre/madre
Carlos Menem,Saúl Menehem y Mohibe Akil,padre/madre
Cecilia Bolocco,Enzo Bolocco Cintolesi Rose Marie Fonck Assler,padre/madre
Cecilia Bolocco,Máximo Menem Bolocco,hijo/a
Nicolás Cabré,Eugenia Tobal,cónyuge
Pampita,Roberto García Moritán,cónyuge
Paz Bascuñán,Miguel Asensio,cónyuge
Nicolás Cabré,Rocio Pardo,pareja
