label,familia,pais,ocu,is_virtual,is_seed
Benjamín Vicuña,aylwin,chile,Empresario/a,FALSE,TRUE
Carlos Menem,yoma,argentina,Abogado/a,FALSE,TRUE
Carlos Menem Jr.,yoma,argentina,Otro,FALSE,FALSE
Carlos Menem Jr.,yoma,argentina,Otro,FALSE,FALSE
Cecilia Bolocco,yoma,chile,Espectáculo/Media,FALSE,TRUE
China Suárez,aylwin,argentina,Espectáculo/Media,FALSE,TRUE
José Joaquín Vicuña,vicuña,chile,Otro,FALSE,FALSE
Julio Vicuña Cifuentes,vicuña,chile,Escritor/a,FALSE,FALSE
Leonor Oyarzún,aylwin,chile,Otro,FALSE,FALSE
Luis Vicuña Cifuentes,vicuña,chile,Abogado/a,FALSE,FALSE
Mariana Aylwin,aylwin,chile,Académico/a,FALSE,FALSE
Mariana Aylwin,aylwin,chile,Académico/a,FALSE,FALSE
Martha Meza,yoma,argentina,Académico/a,FALSE,FALSE
Miguel Aylwin,aylwin,chile,Abogado/a,FALSE,FALSE
Miguel Aylwin,aylwin,chile,Abogado/a,FALSE,FALSE
Nicolás Cabré,vicuña,argentina,Espectáculo/Media,FALSE,TRUE
Pampita,aylwin,argentina,Espectáculo/Media,FALSE,TRUE
Patricio Aylwin,aylwin,chile,Abogado/a,FALSE,TRUE
Paz Bascuñán,aylwin,chile,Espectáculo/Media,FALSE,TRUE
Zulema Fátima Yoma,yoma,argentina,Otro,FALSE,FALSE
Zulema Menem,yoma,argentina,Empresario/a,FALSE,FALSE
Zulema Menem,yoma,argentina,Empresario/a,FALSE,FALSE
Saúl Menehem y Mohibe Akil,NA,NA,NA,TRUE,FALSE
Enzo Bolocco Cintolesi Rose Marie Fonck Assler,NA,NA,NA,TRUE,FALSE
Máximo Menem Bolocco,NA,NA,NA,TRUE,FALSE
Eugenia Tobal,NA,NA,NA,TRUE,FALSE
Roberto García Moritán,NA,NA,NA,TRUE,FALSE
Miguel Asensio,NA,NA,NA,TRUE,FALSE
Rocio Pardo,NA,NA,NA,TRUE,FALSE
