nombre_p,fam_p,pais_p,nombre_r,fam_r,pais_r,tipo_relacion,ocupacion_p,ocupacion_r
Agustina Paz de Roca,roca,argentina,Rudecindo Roca,paz,argentina,padre/madre,Comerciante,Militar
Ana Jacoba García de Zúñiga,warnes,argentina,Ignacio Warnes,garcía_de_zúñiga,argentina,padre/madre,Ejército Patriota,Militar y político
Ana Jacoba García de Zúñiga,warnes,argentina,Martín José Warnes,garcía_de_zúñiga,argentina,padre/madre,Ejército Patriota,Militar
Ana de Narváez de Caro,caicedo,colombia,Victor Caro,azuola,colombia,padre/madre,NA,"Escritor, poeta, científico, catedrático, filántropo, periodista"
Augusto Leguía,leguía,peru,Enriqueta Leguía,diez_canseco,peru,padre/madre,"Político , negociante y empresario",Poetisa y escritora
Augusto Leguía,leguía,peru,Juan Leguía Swayne,diez_canseco,peru,padre/madre,"Político , negociante y empresario",Piloto de aviación
Carlos Cano (actor),frayssinet,peru,Carolina Cano,cano,peru,padre/madre,Actor y Productor de teatro,Actriz modelo
Clemente López de Osornio,ortiz_de_rozas,argentina,Agustina López de Osornio,garcía-mansilla,argentina,padre/madre,Militar,Estanciera
Consuelo Lleras Puga,carrizosa,colombia,Felipe Zuleta Lleras,camargo,colombia,padre/madre,Política,Periodista
Dolores Vargas París,urdaneta,venezuela,Amenodoro Urdaneta,parís,colombia,padre/madre,NA,"Escritor, artista, político, educador"
Dolores Vargas París,urdaneta,venezuela,Luciano Urdaneta Vargas,parís,venezuela,padre/madre,NA,Arquitecto e ingeniero
Eduardo Vásquez Jaramillo,ospina,colombia,Carolina Vásquez de Ospina,lleras,colombia,padre/madre,"Político , Terrateniente , Banquero",Empresaria
Enriqueta Vásquez de Ospina,ospina,colombia,Pedro Nel Ospina,lleras,colombia,padre/madre,Empresaria,"Militar , político , ingeniero de minas"
Estanislao Vergara,tenorio,colombia,José María Vergara Tenorio,caicedo,colombia,padre/madre,"abogado , diplomático , político","Escritor, Periodista y Diplomático"
Feliciano Palacios y Sojo,toro_venezuela,venezuela,María de la Concepción Palacios y Blanco,palacios_venezuela,venezuela,padre/madre,Militar,NA
Francisco Vergara Mayorga,olmos,colombia,José de Vergara Azcárate,caicedo,colombia,padre/madre,Contador,"Sacerdote , Filósofo"
Hernán Cortés,moctezuma,colombia,Leonor Cortés Moctezuma,pizarro,chile,padre/madre,"Conquistador , explorador y marqués",NA
Ignacio Vargas,parís,colombia,Dolores Vargas París,urdaneta,venezuela,padre/madre,Político,NA
Isaac León Frías,tamayo_perú,peru,Matilde León,alarco,peru,padre/madre,"Periodista , Escritor , crítico de cine y profesor universitario",Actriz y guionista
Isabel Moctezuma Tecuichpo Ixcaxochitzin,moctezuma,mexico,Leonor Cortés Moctezuma,pizarro,chile,padre/madre,NA,NA
José Bernardo Sáenz de Santamaría,galeano,colombia,Nicolás Sanz de Santamaría,prieto,chile,padre/madre,"Militar , Político , Caballero",alcalde capitán
José Cayetano Carreño,carreño,venezuela,Manuel Antonio Carreño,toro_venezuela,venezuela,padre/madre,Compositor,"Diplomático , Músico y Pedagogo"
José Gregorio Gutiérrez,gutiérrez_díaz,colombia,Ignacio Gutiérrez Vergara,caicedo,colombia,padre/madre,Abogado Fiscal y Civil,"Político , periodista , militar"
Joaquín Prieto,warnes,chile,Joaquín Prieto Warnes,garcía_de_zúñiga,chile,padre/madre,Militar y político,diputado y empresario
Juan Vicente Bolívar y Ponte,palacios_venezuela,venezuela,Juan Vicente Bolívar Palacios,toro_venezuela,venezuela,padre/madre,NA,NA
Juan Vicente Bolívar y Ponte,palacios_venezuela,venezuela,Juana Bolívar Palacios,toro_venezuela,venezuela,padre/madre,NA,NA
Juan Vicente Bolívar y Ponte,palacios_venezuela,venezuela,María Antonia Bolívar Palacios,toro_venezuela,venezuela,padre/madre,NA,Propietaria
