family,degree_centrality,betweenness_centrality,rank,highlighted
garcía-mansilla,3,0.0075075075075075074,1,TRUE
escalada,3,0.003003003003003003,2,TRUE
ortiz_de_rozas,2,0.0045045045045045045,3,TRUE
alvear,2,0.0015015015015015015,4,TRUE
balcarce,2,0,5,TRUE
san_martín,2,0,6,TRUE
garcía_de_zúñiga,1,0,7,TRUE
paz,1,0,8,TRUE
sarmiento,1,0,9,TRUE
belgrano,1,0,10,TRUE
rawson,1,0,11,TRUE
álvarez_de_toledo_argentina,1,0,12,TRUE
acuña_argentina,1,0,13,FALSE
alpoim,1,0,14,FALSE
aylwin,1,0,15,FALSE
billinghurst,1,0,16,FALSE
bulgheroni,1,0,17,FALSE
garcía_de_sobrecasa,1,0,18,FALSE
güemes,1,0,19,FALSE
pinto_chile,1,0,20,FALSE
rodríguez_saá,1,0,21,FALSE
warnes,1,0,22,FALSE
roca,1,0,23,FALSE
sarsfield,1,0,24,FALSE
mansilla,1,0,25,FALSE
rojo,1,0,26,FALSE
díaz_vélez,1,0,27,FALSE
augier,1,0,28,FALSE
maciel,1,0,29,FALSE
del_carril,1,0,30,FALSE
ponce_de_león,1,0,31,FALSE
vicuña,1,0,32,FALSE
pedraza,1,0,33,FALSE
bunge,1,0,34,FALSE
leyva,1,0,35,FALSE
puch,1,0,36,FALSE
sánchez_de_bustamante,1,0,37,FALSE
saá,1,0,38,FALSE
