family,degree_centrality,betweenness_centrality,rank,highlighted
vicuña,7,0.12254428341384863,1,TRUE
mackenna,5,0.13623188405797101,2,TRUE
vial,4,0.09967793880837358,3,TRUE
matte,4,0.0323671497584541,4,TRUE
garcía-huidobro,3,0.18421900161030594,5,TRUE
concha_chile,3,0.16135265700483092,6,TRUE
pinto_chile,3,0.10692431561996779,7,TRUE
chadwick,3,0.09243156199677938,8,TRUE
valdés_chile,3,0.09066022544283413,9,TRUE
valdivieso,3,0.08872785829307568,10,TRUE
cruz_chile,3,0.051207729468599035,11,TRUE
errázuriz,3,0.050241545893719805,12,TRUE
di_girolamo,3,0.002898550724637681,13,FALSE
velasco_chile,3,0.002898550724637681,14,FALSE
claro_chile,2,0.058293075684380025,15,FALSE
tohá,2,0.03140096618357488,16,FALSE
echaurren,2,0.02608695652173913,17,FALSE
bello,2,0,18,FALSE
subercaseaux,2,0,19,FALSE
morandé,1,0,20,FALSE
garcía_de_zúñiga,1,0,21,FALSE
fontbona,1,0,22,FALSE
bunster,1,0,23,FALSE
bustamante,1,0,24,FALSE
aylwin,1,0,25,FALSE
allende,1,0,26,FALSE
portales,1,0,27,FALSE
allamand,1,0,28,FALSE
angelini,1,0,29,FALSE
bachelet,1,0,30,FALSE
bulnes,1,0,31,FALSE
cortés_de_monroy,1,0,32,FALSE
cueto,1,0,33,FALSE
echenique,1,0,34,FALSE
prieto,1,0,35,FALSE
warnes,1,0,36,FALSE
luksic,1,0,37,FALSE
mendoza_ladrón_de_guevara,1,0,38,FALSE
cruz-coke,1,0,39,FALSE
zaldívar,1,0,40,FALSE
edwards,1,0,41,FALSE
pizarro,1,0,42,FALSE
undurraga,1,0,43,FALSE
matta,1,0,44,FALSE
piñera,1,0,45,FALSE
videla,1,0,46,FALSE
vodanovic,1,0,47,FALSE
