familia_norm,ocupacion_norm,n,pais_principal,n_miembros
montt,Abogado/a,22,chile,48
errázuriz,Abogado/a,19,chile,70
pinal_hidalgo,Espectáculo/Media,19,mexico,28
caicedo,Abogado/a,17,colombia,48
echaurren,Abogado/a,17,chile,40
matte,Abogado/a,14,chile,43
di_girolamo,Espectáculo/Media,13,chile,16
soler,Espectáculo/Media,13,mexico,14
velasco_chile,Abogado/a,13,chile,44
aguilar,Espectáculo/Media,12,mexico,17
arboleda,Militar,12,colombia,56
vicuña,Espectáculo/Media,12,chile,64
balcarce,Militar,11,argentina,23
borrero,Abogado/a,11,colombia,39
concha_chile,Abogado/a,11,chile,43
garcía-huidobro,Espectáculo/Media,11,chile,30
parís,Militar,11,colombia,20
valdés,Espectáculo/Media,11,mexico,11
vial,Abogado/a,11,chile,38
arboleda,Abogado/a,10,colombia,56
concha_chile,Espectáculo/Media,10,chile,43
matte,Empresario/a,10,chile,43
pinto_chile,Espectáculo/Media,10,chile,50
portales,Espectáculo/Media,10,chile,30
vicuña,Abogado/a,10,chile,64
bulnes,Abogado/a,9,chile,22
caicedo,Militar,9,colombia,48
cruz_chile,Militar,9,chile,28
diez_canseco,Abogado/a,9,peru,33
lavalle,Abogado/a,9,peru,37
parra_chile,Espectáculo/Media,9,chile,19
valdés_chile,Abogado/a,9,chile,42
vicuña,Escritor/a,9,chile,64
camacho,Abogado/a,8,colombia,24
holguín,Abogado/a,8,colombia,22
pinto_chile,Abogado/a,8,chile,50
restrepo,Abogado/a,8,colombia,30
cano,Periodista,7,colombia,13
errázuriz,Empresario/a,7,chile,70
garcía-mansilla,Militar,7,argentina,17
garcía_de_zúñiga,Militar,7,argentina,11
garza_sada,Empresario/a,7,mexico,8
leyva,Militar,7,colombia,23
mackenna,Abogado/a,7,chile,25
miró_quesada,Escritor/a,7,peru,22
neyra,Espectáculo/Media,7,peru,11
ortiz_de_rozas,Militar,7,argentina,16
ospina,Militar,7,colombia,35
otálora,Militar,7,argentina,15
paz,Militar,7,argentina,22
restrepo,Escritor/a,7,colombia,30
velasco_chile,Espectáculo/Media,7,chile,44
walker_chile,Abogado/a,7,chile,13
alarco,Espectáculo/Media,6,peru,27
allende,Académico/a,6,chile,20
belgrano,Militar,6,argentina,15
bello,Escritor/a,6,chile,13
calderón_colombia,Abogado/a,6,colombia,22
calderón_colombia,Periodista,6,colombia,22
camacho,Militar,6,colombia,24
chadwick,Abogado/a,6,chile,18
diez_canseco,Militar,6,peru,33
lavalle,Espectáculo/Media,6,peru,37
llosa,Militar,6,peru,14
osma,Abogado/a,6,peru,14
ospina,Escritor/a,6,colombia,35
pinto_chile,Militar,6,chile,50
puch,Militar,6,argentina,9
rocha,Militar,6,argentina,8
saadi,Abogado/a,6,argentina,7
samper,Escritor/a,6,colombia,28
urdaneta,Militar,6,colombia,21
vial,Militar,6,chile,38
zuviría,Militar,6,argentina,13
allende,Médico/a,5,chile,20
aylwin,Abogado/a,5,chile,12
azcuénaga,Militar,5,argentina,10
borja,Escritor/a,5,colombia,59
bullrich,Espectáculo/Media,5,argentina,12
caicedo,Académico/a,5,colombia,48
cayo,Espectáculo/Media,5,peru,7
cisneros,Abogado/a,5,peru,20
cisneros,Escritor/a,5,peru,20
claro_chile,Abogado/a,5,chile,14
cruz-coke,Espectáculo/Media,5,chile,7
cruz_chile,Abogado/a,5,chile,28
díaz_ceballos,Espectáculo/Media,5,mexico,8
edwards,Empresario/a,5,chile,36
eguiguren,Abogado/a,5,peru,13
errázuriz,Diplomático/a,5,chile,70
frayssinet,Espectáculo/Media,5,peru,7
galán,Abogado/a,5,colombia,17
lleras,Abogado/a,5,colombia,21
lozano,Abogado/a,5,colombia,13
mackenna,Empresario/a,5,chile,25
miró_quesada,Periodista,5,peru,22
mosquera,Abogado/a,5,colombia,16
pinal_hidalgo,Escritor/a,5,mexico,28
pizarro,Militar,5,chile,33
pumarejo,Empresario/a,5,colombia,11
samper,Abogado/a,5,colombia,28
san_martín,Militar,5,argentina,8
subercaseaux,Espectáculo/Media,5,chile,23
toro_venezuela,Diplomático/a,5,venezuela,32
toro_venezuela,Militar,5,venezuela,32
valdés_chile,Hacendado/a,5,chile,42
valencia,Diplomático/a,5,colombia,19
vial,Empresario/a,5,chile,38
vicuña,Ingeniero/a,5,chile,64
videla,Militar,5,argentina,15
zañartu,Abogado/a,5,chile,17
álvarez_calderón,Abogado/a,5,peru,22
álvarez_del_casal,Militar,5,colombia,22
álzaga,Militar,5,argentina,12
acevedo_colombia,Escritor/a,4,colombia,15
acuña_argentina,Abogado/a,4,argentina,10
alarco,Académico/a,4,peru,27
alarco,Empresario/a,4,peru,27
alvear,Abogado/a,4,argentina,16
argáez,Diplomático/a,4,colombia,8
ballivián,Militar,4,bolivia,8
borja,Militar,4,colombia,59
borrero,Empresario/a,4,colombia,39
borrero,Periodista,4,colombia,39
bulnes,Militar,4,chile,22
bunge,Escritor/a,4,argentina,15
bunster,Empresario/a,4,chile,6
cabal,Abogado/a,4,colombia,16
caballero,Escritor/a,4,colombia,10
chadwick,Empresario/a,4,chile,18
cisneros,Diplomático/a,4,peru,20
concha_chile,Escritor/a,4,chile,43
del_solar,Abogado/a,4,peru,20
del_solar,Diplomático/a,4,peru,20
díaz_lombardo,Espectáculo/Media,4,mexico,6
díaz_vélez,Militar,4,argentina,7
echenique,Espectáculo/Media,4,chile,13
errázuriz,Académico/a,4,chile,70
fontbona,Empresario/a,4,chile,6
galán,Periodista,4,colombia,17
jaramillo_colombia,Abogado/a,4,colombia,10
laserna,Abogado/a,4,colombia,12
lavalle,Académico/a,4,peru,37
lavalle,Empresario/a,4,peru,37
lleras,Escritor/a,4,colombia,21
luksic,Empresario/a,4,chile,7
maciel,Militar,4,argentina,8
matta,Abogado/a,4,chile,10
matte,Ingeniero/a,4,chile,43
miró_quesada,Abogado/a,4,peru,22
montt,Académico/a,4,chile,48
montt,Hacendado/a,4,chile,48
málaga,Espectáculo/Media,4,peru,16
olmos,Militar,4,colombia,11
onassis,Escritor/a,4,argentina,24
onassis,Espectáculo/Media,4,argentina,24
ospina,Empresario/a,4,colombia,35
ospina,Ingeniero/a,4,colombia,35
palacios_venezuela,Militar,4,venezuela,12
parra_chile,Escritor/a,4,chile,19
parís,Empresario/a,4,colombia,20
paz,Abogado/a,4,argentina,22
pinto_chile,Escritor/a,4,chile,50
portales,Militar,4,chile,30
portocarrero_perú,Escritor/a,4,peru,10
quintero,Abogado/a,4,colombia,14
ricaurte,Militar,4,colombia,13
rodríguez_larreta,Abogado/a,4,argentina,9
rojo,Militar,4,argentina,9
sodi,Abogado/a,4,mexico,14
sodi,Espectáculo/Media,4,mexico,14
ulloa,Religioso/a,4,peru,11
valencia,Abogado/a,4,colombia,19
velasco_chile,Escritor/a,4,chile,44
vergara-azcárate,Académico/a,4,colombia,22
vergara-azcárate,Espectáculo/Media,4,colombia,22
vicuña,Académico/a,4,chile,64
warnes,Militar,4,chile,10
zaldívar,Abogado/a,4,chile,11
zuviría,Escritor/a,4,argentina,13
álvarez_calderón,Empresario/a,4,peru,22
álvarez_del_casal,Abogado/a,4,colombia,22
acevedo_colombia,Militar,3,colombia,15
acuña,Empresario/a,3,peru,10
alayza,Ingeniero/a,3,peru,8
alsogaray,Militar,3,argentina,6
angelini,Empresario/a,3,chile,3
arboleda,Empresario/a,3,colombia,56
arboleda,Escritor/a,3,colombia,56
augier,Militar,3,argentina,4
awada,Empresario/a,3,argentina,5
aylwin,Espectáculo/Media,3,chile,12
baillères,Empresario/a,3,mexico,3
batlle,Abogado/a,3,uruguay,15
batlle,Empresario/a,3,uruguay,15
batlle,Periodista,3,uruguay,15
belgrano,Abogado/a,3,argentina,15
bello,Abogado/a,3,chile,13
benavides_perú,Académico/a,3,peru,17
benavides_perú,Empresario/a,3,peru,17
benavides_perú,Escritor/a,3,peru,17
borja,Abogado/a,3,colombia,59
borrero,Diplomático/a,3,colombia,39
borrero,Escritor/a,3,colombia,39
borrero,Militar,3,colombia,39
bunge,Abogado/a,3,argentina,15
caicedo,Empresario/a,3,colombia,48
calderón_hinojosa,Abogado/a,3,mexico,5
camargo,Periodista,3,colombia,11
cano,Espectáculo/Media,3,colombia,13
caro,Diplomático/a,3,colombia,17
char,Empresario/a,3,colombia,11
cisneros,Periodista,3,peru,20
cisneros_venezuela,Empresario/a,3,venezuela,4
concha_chile,Empresario/a,3,chile,43
concha_chile,Militar,3,chile,43
cueto,Empresario/a,3,chile,3
del_carril,Abogado/a,3,argentina,8
diez_canseco,Empresario/a,3,peru,33
diez_canseco,Escritor/a,3,peru,33
durán_colombia,Abogado/a,3,colombia,9
edwards,Abogado/a,3,chile,36
edwards,Hacendado/a,3,chile,36
elías,Empresario/a,3,peru,8
errázuriz,Ingeniero/a,3,chile,70
garcía-huidobro,Abogado/a,3,chile,30
garcía-huidobro,Escritor/a,3,chile,30
garcía-mansilla,Diplomático/a,3,argentina,17
gnecco,Abogado/a,3,colombia,20
gnecco,Académico/a,3,colombia,20
gnecco,Escritor/a,3,colombia,20
gonzález_de_cosío,Espectáculo/Media,3,mexico,12
graña,Empresario/a,3,peru,7
gómez_venezuela,Militar,3,venezuela,5
jaramillo_colombia,Empresario/a,3,colombia,10
kast,Abogado/a,3,chile,15
kast,Académico/a,3,chile,15
lavalle,Ingeniero/a,3,peru,37
lavalle,Militar,3,peru,37
lavín,Periodista,3,chile,16
mackenna,Espectáculo/Media,3,chile,25
madero,Empresario/a,3,mexico,10
matte,Escritor/a,3,chile,43
matte,Periodista,3,chile,43
navia,Espectáculo/Media,3,colombia,3
onassis,Empresario/a,3,argentina,24
pardo,Académico/a,3,colombia,9
pinedo,Abogado/a,3,argentina,6
pinedo,Militar,3,argentina,6
polar,Abogado/a,3,peru,10
polar,Académico/a,3,peru,10
portales,Abogado/a,3,chile,30
portocarrero_perú,Académico/a,3,peru,10
restrepo,Académico/a,3,colombia,30
rodríguez_saá,Abogado/a,3,argentina,8
rojas,Abogado/a,3,colombia,8
ruiz-massieu,Abogado/a,3,mexico,3
samper,Diplomático/a,3,colombia,28
samper,Militar,3,colombia,28
santa_cruz,Escritor/a,3,peru,6
segurola,Militar,3,argentina,9
subercaseaux,Abogado/a,3,chile,23
subercaseaux,Diplomático/a,3,chile,23
tamayo_perú,Escritor/a,3,peru,5
tenorio,Abogado/a,3,colombia,5
tohá,Académico/a,3,chile,9
toro_venezuela,Académico/a,3,venezuela,32
tristán_del_pozo,Militar,3,peru,9
umaña,Escritor/a,3,colombia,6
urdaneta,Escritor/a,3,colombia,21
valdés_chile,Diplomático/a,3,chile,42
velasco_chile,Ingeniero/a,3,chile,44
velasco_chile,Periodista,3,chile,44
vergara-azcárate,Abogado/a,3,colombia,22
vicuña,Artista visual,3,chile,64
vicuña,Diplomático/a,3,chile,64
vicuña,Militar,3,chile,64
vodanovic,Abogado/a,3,chile,6
walker_chile,Espectáculo/Media,3,chile,13
zaldívar,Militar,3,chile,11
álvarez_del_casal,Escritor/a,3,colombia,22
álzaga,Empresario/a,3,argentina,12
abal_medina,Abogado/a,2,argentina,5
acuña,Espectáculo/Media,2,peru,10
acuña,Ingeniero/a,2,peru,10
aguilar,Escritor/a,2,mexico,17
alarco,Escritor/a,2,peru,27
alemann,Abogado/a,2,argentina,7
allamand,Abogado/a,2,chile,7
allamand,Diplomático/a,2,chile,7
allamand,Espectáculo/Media,2,chile,7
allende,Artista visual,2,chile,20
alpoim,Militar,2,argentina,3
alsogaray,Académico/a,2,argentina,6
alvear,Militar,2,argentina,16
angulo,Abogado/a,2,colombia,4
arboleda,Académico/a,2,colombia,56
