fam_min,fam_max,total,matrimonios,filiacion,pais_fam1,pais_fam2
palacios_venezuela,toro_venezuela,24,0,24,venezuela,venezuela
garcía_de_zúñiga,warnes,23,2,21,argentina,chile
balcarce,san_martín,22,4,18,argentina,argentina
garcía-mansilla,ortiz_de_rozas,19,0,19,argentina,argentina
morandé,velasco_chile,15,2,13,chile,chile
málaga,prado,11,0,11,peru,peru
errázuriz,subercaseaux,10,0,10,chile,chile
lleras,ospina,10,2,8,colombia,colombia
parís,urdaneta,10,1,9,colombia,colombia
bello,matte,9,0,9,chile,chile
echaurren,errázuriz,9,0,9,chile,chile
nariño,ricaurte,9,0,9,colombia,colombia
azuola,caicedo,7,1,6,colombia,colombia
batlle,saavedra,7,2,5,uruguay,uruguay
bolívar,palacios_venezuela,7,2,5,venezuela,venezuela
fontbona,luksic,7,1,6,chile,chile
moctezuma,pizarro,7,4,3,mexico,chile
bunster,matte,6,0,6,chile,chile
cisneros,ulloa,6,1,5,peru,peru
cruz_chile,vial,6,2,4,chile,chile
diez_canseco,leguía,6,1,5,peru,peru
durán_colombia,leyva,6,1,5,colombia,colombia
escalada,san_martín,6,0,6,argentina,argentina
gnecco,samper,6,1,5,colombia,colombia
bustamante,mendoza_ladrón_de_guevara,5,1,4,peru,chile
caicedo,sanz_de_santamaría,5,4,1,colombia,colombia
calderón_colombia,santos,5,0,5,colombia,colombia
concha_chile,mackenna,5,0,5,chile,chile
echenique,tristán_del_pozo,5,1,4,chile,peru
galán,pachón,5,1,4,colombia,colombia
álvarez_del_casal,lozano,5,2,3,colombia,colombia
arboleda,mosquera,4,0,4,colombia,colombia
aylwin,vicuña,4,1,3,chile,chile
cabal,caicedo,4,1,3,colombia,colombia
caicedo,gutiérrez_díaz,4,1,3,colombia,colombia
camargo,carrizosa,4,0,4,colombia,colombia
cano,frayssinet,4,2,2,colombia,peru
cano,yerovi,4,0,4,colombia,peru
carreño,toro_venezuela,4,0,4,colombia,venezuela
galeano,prieto,4,0,4,colombia,chile
garcía-huidobro,pinto_chile,4,0,4,chile,chile
jaramillo_colombia,restrepo,4,0,4,colombia,colombia
olmos,vergara-azcárate,4,0,4,colombia,colombia
paz,roca,4,2,2,argentina,argentina
pinto_chile,valdivieso,4,2,2,chile,chile
quintero,turbay,4,1,3,colombia,colombia
sarmiento,sarsfield,4,1,3,argentina,argentina
urdaneta,villaveces,4,0,4,colombia,colombia
argáez,cordovéz,3,0,3,colombia,colombia
azuola,caro,3,0,3,colombia,colombia
caicedo,olmos,3,0,3,colombia,colombia
caicedo,tenorio,3,0,3,colombia,colombia
laserna,valencia,3,0,3,colombia,colombia
llosa,morales_bermúdez,3,0,3,peru,peru
valdés_chile,valdivieso,3,0,3,chile,chile
acuña,cayo,2,2,0,peru,peru
aguilar,robles,2,0,2,mexico,peru
alarco,tamayo_perú,2,0,2,peru,peru
allende,velasco_chile,2,0,2,chile,chile
arboleda,caro,2,0,2,colombia,colombia
balcarce,escalada,2,1,1,argentina,argentina
belgrano,ortiz_de_rozas,2,0,2,argentina,argentina
bulnes,cruz_chile,2,0,2,chile,chile
caicedo,eder,2,1,1,colombia,colombia
caicedo,soublette,2,0,2,colombia,colombia
caro,urdaneta,2,1,1,colombia,colombia
cisneros,miró_quesada,2,0,2,peru,peru
claro_chile,vicuña,2,0,2,chile,chile
cruz_chile,cruz-coke,2,1,1,chile,chile
cruz_chile,pinto_chile,2,1,1,chile,chile
de_habich,tola,2,0,2,peru,peru
diez_canseco,paz,2,0,2,peru,argentina
errázuriz,mackenna,2,0,2,chile,chile
galeano,sanz_de_santamaría,2,0,2,colombia,colombia
garcía-mansilla,mansilla,2,0,2,argentina,argentina
gorriti,zuviría,2,0,2,argentina,argentina
lavín,vergara-azcárate,2,2,0,chile,colombia
lozano,torrijos,2,0,2,colombia,colombia
mackenna,subercaseaux,2,1,1,chile,chile
portales,velasco_chile,2,2,0,chile,chile
portocarrero_perú,sabogal,2,0,2,peru,peru
rawson,rojo,2,0,2,argentina,argentina
restrepo,urdaneta,2,0,2,colombia,colombia
vicuña,zaldívar,2,1,1,chile,chile
álvarez_de_toledo_argentina,díaz_vélez,2,0,2,argentina,argentina
álvarez_del_casal,ayala,2,0,2,colombia,colombia
abal_medina,galán,1,0,1,argentina,colombia
acevedo_colombia,tohá,1,0,1,colombia,chile
acevedo_colombia,valdivieso,1,0,1,colombia,chile
acevedo_colombia,valdés_chile,1,0,1,colombia,chile
acuña,vértiz,1,1,0,peru,peru
acuña_argentina,augier,1,1,0,argentina,argentina
aguilar,borrero,1,1,0,mexico,colombia
aguilar,rocha,1,1,0,mexico,argentina
alarco,del_solar,1,1,0,peru,peru
alayza,álvarez_calderón,1,1,0,peru,peru
alemann,sodi,1,1,0,argentina,mexico
allamand,calderón_hinojosa,1,1,0,chile,mexico
allamand,di_girolamo,1,1,0,chile,chile
allamand,saá,1,0,1,chile,argentina
alpoim,maciel,1,0,1,argentina,argentina
alsogaray,navia,1,1,0,argentina,colombia
alvear,bitar,1,1,0,argentina,chile
alvear,del_carril,1,0,1,argentina,argentina
alvear,ponce_de_león,1,0,1,argentina,uruguay
angelini,vicuña,1,1,0,chile,chile
angulo,largacha,1,0,1,colombia,colombia
arboleda,caicedo,1,1,0,colombia,colombia
astigueta,gómez_farías,1,1,0,argentina,mexico
awada,walker_chile,1,1,0,argentina,chile
azcuénaga,portales,1,0,1,argentina,chile
bachelet,di_girolamo,1,1,0,chile,chile
baillères,hales,1,1,0,mexico,chile
ballivián,pinto_chile,1,1,0,bolivia,chile
bello,vicuña,1,0,1,chile,chile
benavides_perú,odriozola,1,1,0,peru,peru
benegas,montt,1,1,0,argentina,chile
bielsa,groot,1,0,1,argentina,colombia
bielsa,pardo,1,0,1,argentina,colombia
bielsa,ruiz-massieu,1,1,0,argentina,mexico
billinghurst,pedraza,1,0,1,argentina,argentina
bitar,madero,1,1,0,chile,mexico
bolívar,toro_venezuela,1,1,0,venezuela,venezuela
bordaberry,di_girolamo,1,1,0,uruguay,chile
borja,velasco_chile,1,0,1,colombia,chile
borrero,cruz_chile,1,1,0,colombia,chile
borrero,pizarro_colombia,1,1,0,colombia,colombia
borrero,toro_venezuela,1,1,0,colombia,venezuela
borrero,vaca_narvaja,1,1,0,colombia,argentina
bulgheroni,bunge,1,0,1,argentina,argentina
bullrich,leyva,1,0,1,argentina,colombia
bulnes,pinedo,1,0,1,chile,argentina
bulnes,pinto_chile,1,0,1,chile,chile
bustamante,urdaneta,1,1,0,peru,colombia
caballero,elías,1,1,0,colombia,peru
cafiero,char,1,0,1,argentina,colombia
caicedo,pinto_chile,1,1,0,colombia,chile
caicedo,vergara-azcárate,1,0,1,colombia,colombia
calderón_hinojosa,errázuriz,1,1,0,mexico,chile
camacho,saá,1,1,0,colombia,argentina
camacho,ureta,1,1,0,colombia,peru
cano,pellegrini,1,1,0,colombia,argentina
caputo,claro_chile,1,0,1,argentina,chile
carreño,holguín,1,0,1,colombia,colombia
casas,warnes,1,0,1,colombia,chile
chadwick,garcía-huidobro,1,1,0,chile,chile
chadwick,matte,1,1,0,chile,chile
chadwick,umaña,1,1,0,chile,colombia
chadwick,vicuña,1,1,0,chile,chile
char,samper,1,1,0,colombia,colombia
cisneros,cisneros_venezuela,1,1,0,peru,venezuela
claro_chile,del_carril,1,1,0,chile,argentina
claro_chile,manrique,1,0,1,chile,colombia
claro_chile,mazuera,1,0,1,chile,colombia
claro_chile,ortiz_basualdo,1,1,0,chile,argentina
claro_chile,valdés_chile,1,1,0,chile,chile
concha_chile,edwards,1,1,0,chile,chile
concha_chile,garcía-huidobro,1,1,0,chile,chile
concha_chile,madero,1,1,0,chile,mexico
cortés_de_monroy,malo,1,0,1,chile,mexico
cortés_de_monroy,pizarro,1,1,0,chile,chile
cueto,mackenna,1,1,0,chile,chile
del_mazo,ureta,1,1,0,mexico,peru
del_solar,ortiz_de_zevallos,1,0,1,peru,peru
di_girolamo,undurraga,1,0,1,chile,chile
díaz_ceballos,díaz_ordaz,1,1,0,mexico,mexico
díaz_ceballos,onassis,1,1,0,mexico,argentina
díaz_lombardo,eguiguren,1,0,1,mexico,peru
díaz_ordaz,díez_marina,1,0,1,mexico,mexico
díaz_ordaz,sodi,1,1,0,mexico,mexico
díaz_vélez,gómez_venezuela,1,0,1,argentina,venezuela
echaurren,matta,1,0,1,chile,chile
echenique,ortiz_de_rozas,1,1,0,chile,argentina
echenique,piñera,1,1,0,chile,chile
eder,edwards,1,0,1,colombia,chile
eder,pinto_chile,1,0,1,colombia,chile
edwards,llinás,1,1,0,chile,colombia
elías,gonzález_de_cosío,1,0,1,peru,mexico
elías,neyra,1,1,0,peru,peru
errázuriz,jaramillo_colombia,1,1,0,chile,colombia
errázuriz,solari,1,1,0,chile,peru
escalada,leyva,1,1,0,argentina,colombia
