from,to,tipo,cross_country,cross_family,edge_kind,campo
123,125,Hijo/a,FALSE,FALSE,familiar,NA
123,125,Padre/Madre,FALSE,FALSE,familiar,NA
125,127,Padre/Madre,FALSE,FALSE,familiar,NA
125,127,Hijo/a,FALSE,FALSE,familiar,NA
126,127,Padre/Madre,FALSE,FALSE,familiar,NA
126,127,Hijo/a,FALSE,FALSE,familiar,NA
146,147,Padre/Madre,FALSE,FALSE,familiar,NA
146,147,Hijo/a,FALSE,FALSE,familiar,NA
237,237,Hijo/a,FALSE,FALSE,familiar,NA
315,316,Padre/Madre,FALSE,FALSE,familiar,NA
315,316,Hijo/a,FALSE,FALSE,familiar,NA
316,317,Padre/Madre,FALSE,FALSE,familiar,NA
316,317,Hijo/a,FALSE,FALSE,familiar,NA
426,429,Padre/Madre,FALSE,TRUE,familiar,NA
109,447,Hijo/a,FALSE,FALSE,familiar,NA
109,447,Cónyuge,FALSE,FALSE,familiar,NA
600,601,Padre/Madre,FALSE,FALSE,familiar,NA
600,601,Hijo/a,FALSE,FALSE,familiar,NA
660,663,Padre/Madre,FALSE,TRUE,familiar,NA
660,663,Hijo/a,FALSE,TRUE,familiar,NA
662,663,Hijo/a,FALSE,FALSE,familiar,NA
126,670,Padre/Madre,FALSE,FALSE,familiar,NA
126,670,Hijo/a,FALSE,FALSE,familiar,NA
680,681,Hijo/a,FALSE,FALSE,familiar,NA
681,682,Hijo/a,FALSE,FALSE,familiar,NA
684,685,Padre/Madre,FALSE,FALSE,familiar,NA
684,685,Hijo/a,FALSE,FALSE,familiar,NA
649,699,Cónyuge,FALSE,FALSE,familiar,NA
724,724,Padre/Madre,FALSE,FALSE,familiar,NA
724,725,Padre/Madre,FALSE,FALSE,familiar,NA
724,725,Hijo/a,FALSE,FALSE,familiar,NA
724,726,Padre/Madre,FALSE,FALSE,familiar,NA
725,726,Hijo/a,FALSE,FALSE,familiar,NA
288,876,Hijo/a,FALSE,FALSE,familiar,NA
927,927,Padre/Madre,FALSE,FALSE,familiar,NA
10,965,Hijo/a,FALSE,FALSE,familiar,NA
10,965,Padre/Madre,FALSE,FALSE,familiar,NA
984,985,Padre/Madre,FALSE,FALSE,familiar,NA
984,985,Hijo/a,FALSE,FALSE,familiar,NA
1005,1006,Padre/Madre,FALSE,FALSE,familiar,NA
1005,1006,Hijo/a,FALSE,FALSE,familiar,NA
684,1071,Padre/Madre,FALSE,FALSE,familiar,NA
684,1071,Hijo/a,FALSE,FALSE,familiar,NA
685,1071,Cónyuge,FALSE,FALSE,familiar,NA
1006,1082,Padre/Madre,FALSE,FALSE,familiar,NA
1006,1082,Hijo/a,FALSE,FALSE,familiar,NA
1092,1099,Hijo/a,FALSE,FALSE,familiar,NA
1092,1099,Padre/Madre,FALSE,FALSE,familiar,NA
315,1157,Hijo/a,FALSE,FALSE,familiar,NA
315,1157,Padre/Madre,FALSE,FALSE,familiar,NA
316,1157,Cónyuge,FALSE,FALSE,familiar,NA
649,1189,Padre/Madre,FALSE,FALSE,familiar,NA
649,1189,Hijo/a,FALSE,FALSE,familiar,NA
699,1189,Padre/Madre,FALSE,FALSE,familiar,NA
699,1189,Hijo/a,FALSE,FALSE,familiar,NA
515,1209,Padre/Madre,FALSE,FALSE,familiar,NA
515,1209,Hijo/a,FALSE,FALSE,familiar,NA
1092,1222,Hijo/a,FALSE,FALSE,familiar,NA
1092,1222,Padre/Madre,FALSE,FALSE,familiar,NA
1099,1222,Cónyuge,FALSE,FALSE,familiar,NA
965,1231,Padre/Madre,FALSE,FALSE,familiar,NA
965,1231,Hijo/a,FALSE,FALSE,familiar,NA
499,1278,Cónyuge,FALSE,FALSE,familiar,NA
515,1301,Padre/Madre,FALSE,FALSE,familiar,NA
515,1301,Hijo/a,FALSE,FALSE,familiar,NA
1209,1301,Cónyuge,FALSE,FALSE,familiar,NA
426,1390,Cónyuge,FALSE,FALSE,familiar,NA
428,1390,Cónyuge,FALSE,FALSE,familiar,NA
1438,1439,Padre/Madre,TRUE,FALSE,familiar,NA
415,1467,Padre/Madre,TRUE,TRUE,familiar,NA
415,1467,Hijo/a,TRUE,TRUE,familiar,NA
1471,1471,Hijo/a,FALSE,FALSE,familiar,NA
1079,1479,Cónyuge,FALSE,FALSE,familiar,NA
1079,1479,Hijo/a,FALSE,FALSE,familiar,NA
147,1520,Padre/Madre,FALSE,FALSE,familiar,NA
147,1520,Hijo/a,FALSE,FALSE,familiar,NA
1344,1520,Hijo/a,FALSE,FALSE,familiar,NA
147,1521,Padre/Madre,FALSE,FALSE,familiar,NA
1344,1521,Padre/Madre,FALSE,FALSE,familiar,NA
1344,1521,Hijo/a,FALSE,FALSE,familiar,NA
660,1523,Hijo/a,FALSE,TRUE,familiar,NA
662,1523,Padre/Madre,FALSE,FALSE,familiar,NA
662,1523,Hijo/a,FALSE,FALSE,familiar,NA
1520,1544,Hijo/a,FALSE,FALSE,familiar,NA
1521,1544,Padre/Madre,FALSE,FALSE,familiar,NA
1521,1544,Hijo/a,FALSE,FALSE,familiar,NA
1483,1556,Padre/Madre,FALSE,TRUE,familiar,NA
1483,1556,Hijo/a,FALSE,TRUE,familiar,NA
1104,1573,Padre/Madre,FALSE,TRUE,familiar,NA
1104,1573,Hijo/a,FALSE,TRUE,familiar,NA
