persona_id,nombre,familia,pais,grado,pais_key,es_nodo_pais,node_key,col_idx,x_layout,y_layout
-1008806,No tuvo,NA,NA,1,desconocido,FALSE,-1008806,11,4200,0
4,Álvaro Castaño Castillo,lópez,colombia,8,colombia,FALSE,4,2,420,-2926
10,Álvaro Holguín y Caro,caro,colombia,8,colombia,FALSE,10,2,420,-2888
20,Álvaro Pachón de la Torre,galán,colombia,6,colombia,FALSE,20,2,420,-2850
26,Álvaro de Miranda Neto,onassis,argentina,0,argentina,FALSE,26,8,2940,-1121
60,Óscar Jiménez Pinochet,pinochet,chile,0,chile,FALSE,60,7,2520,-3800
72,Añas Colque,pizarro,chile,4,chile,FALSE,72,7,2520,-3762
85,Adán Chávez,chávez,venezuela,5,venezuela,FALSE,85,3,840,-380
109,Adolfo Zaldívar,vicuña,chile,3,chile,FALSE,109,7,2520,-3724
123,Agustín Edwards Budge,edwards,chile,3,chile,FALSE,123,7,2520,-3686
125,Agustín Edwards Mac-Clure,edwards,chile,6,chile,FALSE,125,7,2520,-3648
126,Agustín Edwards Ossandón,edwards,chile,9,chile,FALSE,126,7,2520,-3610
127,Agustín Edwards Ross,edwards,chile,10,chile,FALSE,127,7,2520,-3572
146,Agustina López de Osornio,garcía-mansilla,argentina,11,argentina,FALSE,146,8,2940,-1083
147,Agustina Ortiz de Rozas,garcía-mansilla,argentina,19,argentina,FALSE,147,8,2940,-1045
148,Agustina Paz de Roca,roca,argentina,4,argentina,FALSE,148,8,2940,-1007
149,Agustina Paz de Roca,paz,argentina,10,argentina,FALSE,149,8,2940,-969
195,Alberto Montt Montt,montt,chile,7,chile,FALSE,195,7,2520,-3534
196,Alberto Muñoz Vernaza,borrero,ecuador,0,ecuador,FALSE,196,5,1680,-57
237,Alejandro Eder,caicedo,colombia,5,colombia,FALSE,237,2,420,-2812
283,Alejandro Santos,calderón_colombia,colombia,5,colombia,FALSE,283,2,420,-2774
288,Alejandro VI,borja,colombia,8,colombia,FALSE,288,2,420,-2736
315,Alfonso López Caballero,lópez,colombia,6,colombia,FALSE,315,2,420,-2698
316,Alfonso López Michelsen,lópez,colombia,14,colombia,FALSE,316,2,420,-2660
317,Alfonso López Pumarejo,lópez,colombia,10,colombia,FALSE,317,2,420,-2622
409,Ambrosio López,lópez,colombia,4,colombia,FALSE,409,2,420,-2584
410,Ambrosio Montt Luco,montt,chile,1,chile,FALSE,410,7,2520,-3496
415,Amenodoro Urdaneta,parís,colombia,7,colombia,FALSE,415,2,420,-2546
420,Amparo Noguera,portales,chile,7,chile,FALSE,420,7,2520,-3458
422,Aníbal Chávez,chávez,venezuela,6,venezuela,FALSE,422,3,840,-342
426,Aníbal Pinto,cruz_chile,chile,9,chile,FALSE,426,7,2520,-3420
428,Aníbal Pinto,cruz_chile,chile,9,chile,FALSE,428,7,2520,-3382
429,Aníbal Pinto Santa Cruz,pinto_chile,chile,4,chile,FALSE,429,7,2520,-3344
443,Ana María Gazmuri,vicuña,chile,0,chile,FALSE,443,7,2520,-3306
447,Ana María Palma,vicuña,chile,6,chile,FALSE,447,7,2520,-3268
450,Ana María Vicuña,vicuña,chile,6,chile,FALSE,450,7,2520,-3230
458,Ana de Narváez de Caro,caicedo,colombia,3,colombia,FALSE,458,2,420,-2508
486,Andrés Palma,vicuña,chile,2,chile,FALSE,486,7,2520,-3192
489,Andrés Pastrana,borrero,colombia,4,colombia,FALSE,489,2,420,-2470
490,Andrés Pastrana,borrero,colombia,6,colombia,FALSE,490,2,420,-2432
499,Andrés Velasco Brañes,velasco_chile,chile,3,chile,FALSE,499,7,2520,-3154
502,Andrés Wiese,lavalle,peru,0,peru,FALSE,502,4,1260,-741
515,Andrea García-Huidobro,garcía-huidobro,chile,6,chile,FALSE,515,7,2520,-3116
545,Antonia Vergara y Sanz de Santamaría,caicedo,colombia,9,colombia,FALSE,545,2,420,-2394
546,Antonia Zegers,matte,chile,2,chile,FALSE,546,7,2520,-3078
559,Antonio Belaúnde Moreyra,belaúnde,peru,3,peru,FALSE,559,4,1260,-703
576,Antonio González Balcarce,balcarce,argentina,3,argentina,FALSE,576,8,2940,-931
588,Antonio José de Escalada,balcarce,argentina,4,argentina,FALSE,588,8,2940,-893
600,Antonio Nariño,álvarez_del_casal,colombia,8,colombia,FALSE,600,2,420,-2356
601,Antonio Nariño Ortega,álvarez_del_casal,colombia,6,colombia,FALSE,601,2,420,-2318
605,Antonio París Ricaurte,parís,colombia,6,colombia,FALSE,605,2,420,-2280
608,Antonio Podestá,podestá,argentina,6,argentina,FALSE,608,8,2940,-855
615,Antonio Subercaseaux,subercaseaux,chile,5,chile,FALSE,615,7,2520,-3040
632,Aparicio Podestá,podestá,argentina,6,argentina,FALSE,632,8,2940,-817
643,Argenis Chávez,chávez,venezuela,6,venezuela,FALSE,643,3,840,-304
649,Aristóteles Onassis,onassis,argentina,7,argentina,FALSE,649,8,2940,-779
660,Arturo Alessandri,morandé,chile,12,chile,FALSE,660,7,2520,-3002
662,Arturo Alessandri,velasco_chile,chile,6,chile,FALSE,662,7,2520,-2964
663,Arturo Alessandri Rodríguez,velasco_chile,chile,6,chile,FALSE,663,7,2520,-2926
670,Arturo Edwards Ross,edwards,chile,7,chile,FALSE,670,7,2520,-2888
680,Arturo Matte,matte,chile,4,chile,FALSE,680,7,2520,-2850
681,Arturo Matte Alessandri,matte,chile,6,chile,FALSE,681,7,2520,-2812
682,Arturo Matte,matte,chile,4,chile,FALSE,682,7,2520,-2774
684,Arturo Prat Carvajal,echaurren,chile,9,chile,FALSE,684,7,2520,-2736
685,Arturo Prat,echaurren,chile,5,chile,FALSE,685,7,2520,-2698
