from_familia,n_matrimonios_endogamicos
Pizarro,23
Portales,21
Vicuña,21
Velasco (Chile),18
García-Huidobro,15
Di Girolamo,14
Matte,14
Errázuriz,13
Pinto (Chile),11
Echaurren,10
Kast,9
Sanfuentes,9
Valdés (Chile),9
Bulnes,8
Concha (Chile),8
Cruz (Chile),8
Aylwin,7
Montt,7
Tohá,7
Carvajal y Vargas,6
Echenique,6
Edwards,6
Frei,6
Freire,6
Morandé,6
Pinochet,6
Prieto,6
Cruz-Coke,5
Subercaseaux,5
Walker (Chile),5
Allamand,4
Balmaceda,4
Parra (Chile),4
Undurraga,4
Videla,4
Zaldívar,4
Bello,3
Santa María,3
Bachelet,2
Barrenechea (Chile),2
Bitar,2
Bunster,2
Chadwick,2
Cousiño,2
Fontaine,2
Lavín,2
Luksic,2
Mackenna,2
Meruane,2
Monckeberg,2
Santiago Concha,2
Schmidt,2
Claro (Chile),1
Cortés de Monroy,1
Fontbona,1
Zegers (Chile),1
