persona_id,nombre,familia_norm,pais_base,anio_nacimiento,ocupacion,grado,betweenness,pagerank,comunidad,componente
4127,Luis Felipe Villarán,villarán,peru,1845,"Abogado , catedrático universitario y político",410,517714.34052200976,5.537002491798682e-4,1,1
6140,Walter Humala,humala,peru,1951,Cantautor y Músico,557,473134.02319157176,6.449631554294357e-4,1,1
4148,Luis Jaime Cisneros,cisneros,peru,1921,"Escritor , periodista , poeta , lingüista y profesor universitario",364,391641.1981940222,5.713772472725381e-4,1,1
3248,José Evaristo Uriburu,álvarez_de_arenales,argentina,1831,Abogado,398,328970.067365829,8.115692182238283e-4,2,1
5185,Pastor Obligado,obligado,argentina,1818,Abogado,324,267974.40099922166,6.587663958332918e-4,2,1
2543,Guido Di Tella,di_tella,argentina,1931,Ingeniero Economista,276,240510.30193736675,5.818834956768783e-4,2,1
5217,Patrocinio González Garrido,ortiz_mena,mexico,1934,Político,194,212888.57149853342,4.89333976679242e-4,6,1
2334,Francisco Uriburu (hijo),uriburu,argentina,1872,Político Periodista,313,208066.9770902311,6.087027019385792e-4,2,1
1324,Cuauhtémoc Cárdenas,cárdenas,mexico,1934,Político,266,198005.3877313392,5.776498463698164e-4,6,1
1395,Demetrio Sodi de la Tijera,sodi,mexico,1944,Empresario y político,169,188637.6025836135,4.985452783627969e-4,6,1
5663,Roque Sáenz Peña,sáenz_peña,argentina,1851,"Abogado , diplomático , político y militar",263,168155.09016868274,6.464292474714839e-4,2,1
2565,Guillermo Fernández de Soto,camacho,colombia,1953,"Abogado, político y diplomático",219,163071.35222693332,3.9207108725091983e-4,7,1
2889,Jaime Arrubla Paucar,arrubla,colombia,1953,Abogado,172,146223.6023766568,3.495435872836521e-4,7,1
5467,Rafael Roncagliolo,orbegoso,peru,1944,Sociólogo periodista profesor columnista,235,144957.98810953085,3.9003927960934263e-4,1,1
5976,Tomás Lander,lander,venezuela,1787,"Político , Periodista , Empresario , Publicista",177,144923.44186069767,3.708595306418371e-4,4,1
2039,Felipe Tudela y Barreda,osma,peru,1915,"Diplomático , catedrático y abogado",272,142763.11657494796,3.9763178941468197e-4,1,1
3494,José de la Puente Radbill,de_la_puente,peru,1921,Abogado,261,131849.50565206105,4.011908373829614e-4,1,1
582,Antonio Guzmán Blanco,blanco_venezuela,colombia,1829,militar político diplomático estadista caudillo,178,129768.97285309422,3.6126313810399245e-4,4,1
989,Carlos Lozano y Lozano,lozano,colombia,1904,"Abogado , político , diplomático",254,129197.75584900191,4.082219966236991e-4,4,1
2000,Federico Varela Cortés de Monroy,cortés_de_monroy,chile,1826,Político,27,128178.25876484753,1.651475641807396e-4,13,1
5021,Nemesio Camacho,camacho,colombia,1869,Abogado,265,125945.72478517353,4.2419504266285127e-4,4,1
4852,Melchor de Santiago Concha y Cerda,concha_chile,chile,1799,Político,313,118958.75288726008,4.0052021855625276e-4,1,1
1475,Domingo Faustino Sarmiento,sarsfield,argentina,1811,"Docente , político , escritor",202,115180.38774364283,4.22987108740876e-4,4,1
533,Anselmo Rojo,rojo,argentina,1799,Militar,181,115143.96297300025,3.255034902217428e-4,4,1
2283,Francisco Melo,portales,chile,1966,Actor y productor,336,110907.42216036706,4.313725496871705e-4,4,1
4080,Luis Bedoya Reyes,bedoya,peru,1919,Político y abogado,345,110351.41278399657,5.114625144677686e-4,1,1
2494,Gonzalo Alegría,alegría,peru,1962,"Economista , sociólogo y escritor",418,108523.66413438109,6.740804504044987e-4,1,1
3173,José Antonio Meade Kuribreña,garcía_de_león,mexico,1969,"Político , economista y abogado",169,108113.00853884299,3.6553437722251406e-4,5,1
499,Andrés Velasco Brañes,velasco_chile,chile,1960,"Economista , académico , investigador , consultor y político",167,107441.31383280986,3.506385444461037e-4,5,1
771,Bartolomé Mitre,mitre,argentina,1821,"militar , político , historiador , escritor , periodista , estadista",226,107301.51701500425,4.3508454754741704e-4,4,1
3708,Juan Mario Laserna,laserna,colombia,1967,Político y economista,173,106946.60464802716,3.1289025440269403e-4,7,1
4267,Manuel Amador Guerrero,amador,colombia,1833,"Político , médico",281,105779.932610716,4.5175192099898776e-4,7,1
5034,Nicolás Avellaneda,avellaneda,argentina,1837,Abogado,253,104549.26521344189,5.442315186919842e-4,2,1
6043,Valentín Alsina,maza,argentina,1802,Abogado,237,101992.57607699008,4.6577797191729324e-4,4,1
1855,Eustorgio Salgar,salgar,colombia,1831,"Abogado , militar y político",237,100523.31313529637,3.6661085973796253e-4,4,1
690,Arturo Salazar Larraín,salazar_y_meléndez,peru,1926,Abogado y periodista,295,99414.69379429014,4.112092790667002e-4,1,1
354,Alfredo Toro Hardy,toro_venezuela,venezuela,1950,"Autor , académico , diplomático",41,98483.1574405181,1.9489679612940737e-4,10,1
