url,nombre,pais,conecta_con,contexto_conexion
https://es.wikipedia.org/wiki/Miguel_Luis_Amun%C3%A1tegui_Reyes,Miguel Luis Amunátegui Reyes,Chile,Argentina,
https://es.wikipedia.org/wiki/Miguel_Aylwin,Miguel Aylwin,Chile,Argentina,
https://es.wikipedia.org/wiki/Benjam%C3%ADn_Vicu%C3%B1a,Benjamín Vicuña,Chile,Argentina,
https://es.wikipedia.org/wiki/Miguel_Aylwin_Gajardo,Miguel Aylwin,Chile,Argentina,
https://es.wikipedia.org/wiki/Pampita,Pampita,Chile,Argentina,"camente como Pampita , es una modelo y conductora argentina. | camente como Pampita , es una modelo y conductora argentina. Pampita: | Información personal: | Nombre de nac | /es.wikipedia.org/wiki/Argentina) | Nacionalidad: argentina | Religión: Católica (https://es.wikipedia.org/wi"
https://es.wikipedia.org/wiki/China_Su%C3%A1rez,China Suárez,Chile,Argentina,"ente como China Suárez , es una actriz y cantante argentina . María Eugenia Suárez Riveiro ( Buenos Aires , 9 | ente como China Suárez , es una actriz y cantante argentina . China Suárez: | detalle: premios Martín Fierro  | ntina (https://es.wikipedia.org/wiki/Nacionalidad_argentina) | Familia: | Pareja: Nicolás Cabré (https://es.w"
https://es.wikipedia.org/wiki/Jos%C3%A9_Manuel_Balmaceda,José Manuel Balmaceda,Chile,Argentina,uicidó el 19 de septiembre de 1891 en la legación argentina. [ 2 ] ​ José Manuel Balmaceda Fernández ( Bucale
https://es.wikipedia.org/wiki/Jos%C3%A9_Manuel_Balmaceda_Fern%C3%A1ndez,José Manuel Balmaceda,Chile,Argentina,uicidó el 19 de septiembre de 1891 en la legación argentina. [ 2 ] ​ José Manuel Balmaceda Fernández ( Bucale
https://es.wikipedia.org/wiki/Vicente_Boric,Vicente Boric,Chile,Argentina,
https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Viera-Gallo,José Antonio Viera-Gallo,Chile,Argentina,
https://es.wikipedia.org/wiki/Benjam%C3%ADn_Claro_Velasco,Benjamín Claro Velasco,Chile,Argentina,"En 1928 se casó en la ciudad argentina de Buenos Aires con Elisa Bindhoff, con la cual t"
https://es.wikipedia.org/wiki/Jos%C3%A9_de_Santiago_Concha_Jim%C3%A9nez_Lobat%C3%B3n,José de Santiago Concha Jiménez Lobatón,Chile,Argentina,
https://es.wikipedia.org/wiki/Pedro_Cort%C3%A9s_de_Monroy,Pedro Cortés de Monroy,Chile,Argentina,
https://es.wikipedia.org/wiki/Francisco_Antonio_Pinto,Francisco Antonio Pinto,Chile,Argentina,
https://es.wikipedia.org/wiki/Luisa_Garmendia,Luisa Garmendia,Chile,Argentina,", 26 de mayo de 1857) [ 1 ] ​ fue una ama de casa argentina y chilena , esposa del presidente Francisco Anton | , 26 de mayo de 1857) [ 1 ] ​ fue una ama de casa argentina y chilena , esposa del presidente Francisco Anton | ntina (https://es.wikipedia.org/wiki/Nacionalidad_argentina) | Religión: Católica (https://es.wikipedia.org/w"
https://es.wikipedia.org/wiki/Ricardo_Cruzat_Ochagav%C3%ADa,Ricardo Cruzat Ochagavía,Chile,Argentina,go fue gerente de administración y finanzas de la argentina Central Puerto. [ 1 ] ​ [ 2 ] ​
https://es.wikipedia.org/wiki/Germ%C3%A1n_Riesco,Germán Riesco,Chile,Argentina,
https://es.wikipedia.org/wiki/Pablo_Pi%C3%B1era,Pablo Piñera,Chile,Argentina,
https://es.wikipedia.org/wiki/Rojo_Edwards,Rojo Edwards,Chile,Argentina,
https://es.wikipedia.org/wiki/Sebasti%C3%A1n_Edwards_Figueroa,Sebastián Edwards Figueroa,Chile,Argentina,
https://es.wikipedia.org/wiki/El%C3%ADas_Err%C3%A1zuriz_Larra%C3%ADn,Elías Errázuriz Larraín,Chile,Argentina,
https://es.wikipedia.org/wiki/Isidoro_Err%C3%A1zuriz,Isidoro Errázuriz,Chile,Argentina,
https://es.wikipedia.org/wiki/Godofredo_Iommi,Godofredo Iommi,Chile,Argentina,
https://es.wikipedia.org/wiki/Arturo_Fontaine_Aldunate,Arturo Fontaine Aldunate,Chile,Argentina,
https://es.wikipedia.org/wiki/Alberto_Labb%C3%A9_Galilea,Alberto Labbé Galilea,Chile,Argentina,
https://es.wikipedia.org/wiki/Antonio_G%C3%B3mez_de_Galleguillos,Antonio Gómez de Galleguillos,Chile,Argentina,
https://es.wikipedia.org/wiki/Manuel_Jos%C3%A9_Gandarillas,Manuel José Gandarillas,Chile,Argentina,
https://es.wikipedia.org/wiki/Axel_Kaiser,Axel Kaiser,Chile,Argentina,
https://es.wikipedia.org/wiki/Familia_Kast,Familia Kast,Chile,Argentina,
https://es.wikipedia.org/wiki/Cristi%C3%A1n_Mackenna,Cristián Mackenna,Chile,Argentina,"o el reconocimiento de la prensa y del aficionado argentino, por sus aptitudes conductivas y personales."
https://es.wikipedia.org/wiki/Vicu%C3%B1a_Mackenna_%28Argentina%29,Vicuña Mackenna (Argentina),Chile,Argentina,
https://es.wikipedia.org/wiki/Arturo_Yrarr%C3%A1zaval_Correa,Arturo Yrarrázaval Correa,Chile,Argentina,
https://es.wikipedia.org/wiki/Carmen_Ib%C3%A1%C3%B1ez,Carmen Ibáñez,Chile,Argentina,
https://es.wikipedia.org/wiki/Gonzalo_Men%C3%A9ndez,Gonzalo Menéndez,Chile,Argentina,
https://es.wikipedia.org/wiki/Gonzalo_Men%C3%A9ndez_Duque,Gonzalo Menéndez,Chile,Argentina,
https://es.wikipedia.org/wiki/Juan_Carlos_Bistoto,Juan Carlos Bistoto,Chile,Argentina,"or , director y productor de televisión de origen argentino , con amplia trayectoria en Chile.. Emiliano Juan | or , director y productor de televisión de origen argentino , con amplia trayectoria en Chile.. Juan Carlos B"
https://es.wikipedia.org/wiki/Fernando_Monckeberg_Barros,Fernando Monckeberg Barros,Chile,Argentina,
https://es.wikipedia.org/wiki/Nicol%C3%A1s_Monckeberg,Nicolás Monckeberg,Chile,Argentina,
https://es.wikipedia.org/wiki/Sergio_Urrejola,Sergio Urrejola,Chile,Argentina,
https://es.wikipedia.org/wiki/Alberto_Montt,Alberto Montt,Chile,Argentina,"Desde el 2015, presenta junto al dibujante argentino Liniers el show Los Ilustres , en un formato de S"
https://es.wikipedia.org/wiki/Teresa_Wilms_Montt,Teresa Wilms Montt,Chile,Argentina,
https://es.wikipedia.org/wiki/Clarita_Parra,Clarita Parra,Chile,Argentina,
https://es.wikipedia.org/wiki/Francisco_A._Barroetave%C3%B1a,Francisco A. Barroetaveña,Chile,Argentina,"7 de noviembre de 1933) fue un abogado y político argentino, miembro fundador y único presidente de la Unión  | 7 de noviembre de 1933) fue un abogado y político argentino, miembro fundador y único presidente de la Unión "
https://es.wikipedia.org/wiki/C%C3%A9sar_de_Tezanos_Pinto,César de Tezanos Pinto,Chile,Argentina," un abogado, doctor en jurisprudencia y académico argentino, reconocido por su actividad jurisprudencial y do |  un abogado, doctor en jurisprudencia y académico argentino, reconocido por su actividad jurisprudencial y do"
https://es.wikipedia.org/wiki/David_de_Tezanos_Pinto,David de Tezanos Pinto,Chile,Argentina,
https://es.wikipedia.org/wiki/Jorge_de_Tezanos_Pinto,Jorge de Tezanos Pinto,Chile,Argentina," de 1897) fue comerciante , diplomático y militar argentino, que tuvo un papel destacado en la exportación de |  desempeñó como embajador de El Salvador y cónsul argentino en el Perú, siendo considerado Decano del Cuerpo  |  de 1897) fue comerciante , diplomático y militar argentino, que tuvo un papel destacado en la exportación de |  desempeñó como embajador de El Salvador y cónsul argentino en el Perú, siendo considerado Decano del Cuerpo "
https://es.wikipedia.org/wiki/Manuel_de_Tezanos_Pinto_%28constituyente%29,Manuel de Tezanos Pinto (constituyente),Chile,Argentina,
https://es.wikipedia.org/wiki/Manuel_de_Tezanos_Pinto_%28pol%C3%ADtico%29,Manuel de Tezanos Pinto (político),Chile,Argentina,
https://es.wikipedia.org/wiki/Serapio_de_Tezanos_Pinto,Serapio de Tezanos Pinto,Chile,Argentina,
https://es.wikipedia.org/wiki/Karen_Gallardo,Karen Gallardo,Chile,Argentina,
