url,nombre,pais,conecta_con
https://es.wikipedia.org/wiki/Miguel_Luis_Amun%C3%A1tegui_Reyes,Miguel Luis Amunátegui Reyes,Chile,Argentina
https://es.wikipedia.org/wiki/Benjam%C3%ADn_Vicu%C3%B1a,Benjamín Vicuña,Chile,Argentina
https://es.wikipedia.org/wiki/China_Su%C3%A1rez,China Suárez,Chile,Argentina
https://es.wikipedia.org/wiki/Juan_Nicol%C3%A1s_de_Aguirre_Barrenechea,Juan Nicolás de Aguirre Barrenechea,Chile,Perú
https://es.wikipedia.org/wiki/Emilio_Bello,Emilio Bello,Chile,México
https://es.wikipedia.org/wiki/Francisco_de_Carvajal_y_Vargas,Francisco de Carvajal y Vargas,Chile,Perú
https://es.wikipedia.org/wiki/Jos%C3%A9_Miguel_de_Carvajal_y_Manrique,José Miguel de Carvajal y Manrique,Chile,Perú
https://es.wikipedia.org/wiki/Luis_Ferm%C3%ADn_de_Carvajal,Luis Fermín de Carvajal,Chile,Perú
https://es.wikipedia.org/wiki/Condado_de_Castillejo,Condado de Castillejo,Chile,Perú
https://es.wikipedia.org/wiki/Corregimiento_de_Conchucos,Corregimiento de Conchucos,Chile,Perú
https://es.wikipedia.org/wiki/Ducado_de_San_Carlos,Ducado de San Carlos,Chile,Perú
https://es.wikipedia.org/wiki/Jos%C3%A9_Antonio_Viera-Gallo,José Antonio Viera-Gallo,Chile,Argentina
https://es.wikipedia.org/wiki/Benjam%C3%ADn_Claro_Velasco,Benjamín Claro Velasco,Chile,"Argentina, Perú"
https://es.wikipedia.org/wiki/Ram%C3%B3n_Gonz%C3%A1lez_Concha,Ramón González Concha,Chile,Perú
https://es.wikipedia.org/wiki/Jos%C3%A9_de_Santiago_Concha_Jim%C3%A9nez_Lobat%C3%B3n,José de Santiago Concha Jiménez Lobatón,Chile,Argentina
https://es.wikipedia.org/wiki/Ar%C3%ADstides_Pinto,Arístides Pinto,Chile,Perú
https://es.wikipedia.org/wiki/Fernando_de_la_Fuente_y_Rojas,Fernando de la Fuente y Rojas,Chile,Perú
https://es.wikipedia.org/wiki/Pedro_de_la_Fuente_y_Rojas,Pedro de la Fuente y Rojas,Chile,Perú
https://es.wikipedia.org/wiki/Marquesado_del_Valle_de_Oaxaca,Marquesado del Valle de Oaxaca,Chile,México
https://es.wikipedia.org/wiki/An%C3%ADbal_Pinto_Garmendia,Aníbal Pinto,Chile,Perú
https://es.wikipedia.org/wiki/Ambrosio_O%27Higgins,Ambrosio O'Higgins,Chile,Perú
https://es.wikipedia.org/wiki/Isabel_Riquelme,Isabel Riquelme,Chile,Perú
https://es.wikipedia.org/wiki/Pedro_Demetrio_O%27Higgins,Pedro Demetrio O'Higgins,Chile,Perú
https://es.wikipedia.org/wiki/Petronila_Riquelme,Petronila Riquelme,Chile,Perú
https://es.wikipedia.org/wiki/Francisco_Antonio_Pinto,Francisco Antonio Pinto,Chile,Perú
https://es.wikipedia.org/wiki/An%C3%ADbal_Pinto,Aníbal Pinto,Chile,Perú
