familia_nombre,nombre_pila,n,total_familia,pct
Amunátegui,Miguel,4,8,50
Amunátegui,Gregorio,3,8,37.5
Aylwin,Mariana,2,12,16.7
Aylwin,Miguel,2,12,16.7
Bachelet,Michelle,2,5,40
Balmaceda,José,6,19,31.6
Balmaceda,Emilia,2,19,10.5
Balmaceda,Enrique,2,19,10.5
Balmaceda,Ernesto,2,19,10.5
Balmaceda,Gustavo,2,19,10.5
Bello,Lily,2,9,22.2
Bello,Rebeca,2,9,22.2
Bulnes,Manuel,5,21,23.8
Bulnes,Enriqueta,2,21,9.5
Bulnes,Francisco,2,21,9.5
Bulnes,Gonzalo,2,21,9.5
Bulnes,Juan,2,21,9.5
Bulnes,Luz,2,21,9.5
Carvajal y Vargas,María,3,17,17.6
Carvajal y Vargas,Casilda,2,17,11.8
Carvajal y Vargas,Luis,2,17,11.8
Carvajal y Vargas,Mariano,2,17,11.8
Carvajal y Vargas,Melanie,2,17,11.8
Chadwick,Herman,3,9,33.3
Claro (Chile),Jorge,2,8,25
Concha (Chile),Joaquín,2,25,8
Concha (Chile),Julio,2,25,8
Concha (Chile),Manuel,2,25,8
Concha (Chile),Mariano,2,25,8
Concha (Chile),María,2,25,8
Concha (Chile),Melchor,2,25,8
Cortés de Monroy,Pedro,2,3,66.7
Cousiño,Luis,3,7,42.9
Cruz (Chile),Aníbal,2,21,9.5
Cruz (Chile),Francisco,2,21,9.5
Cruz (Chile),Mateo,2,21,9.5
Echaurren,Francisco,4,37,10.8
Echaurren,Federico,3,37,8.1
Echaurren,Ladislao,3,37,8.1
Echaurren,Arturo,2,37,5.4
Echaurren,Eulogia,2,37,5.4
Echaurren,Fernando,2,37,5.4
Echaurren,Germán,2,37,5.4
Echaurren,Jorge,2,37,5.4
Echaurren,José,2,37,5.4
Echaurren,María,2,37,5.4
Echaurren,Silvestre,2,37,5.4
Echenique,José,4,16,25
Echenique,Juan,2,16,12.5
Echenique,Victoria,2,16,12.5
Edwards,Agustín,5,21,23.8
Edwards,Guillermo,2,21,9.5
Edwards,Jorge,2,21,9.5
Edwards,Juana,2,21,9.5
Edwards,María,2,21,9.5
Errázuriz,Francisco,6,38,15.8
Errázuriz,Fernando,3,38,7.9
Errázuriz,María,3,38,7.9
Errázuriz,Ramón,3,38,7.9
Errázuriz,Eugenia,2,38,5.3
Errázuriz,Isidoro,2,38,5.3
Errázuriz,José,2,38,5.3
Fontaine,Arturo,2,5,40
Fontbona,Andrónico,2,5,40
Frei,Eduardo,2,6,33.3
Freire,Ramón,4,14,28.6
Freire,Manuela,2,14,14.3
Freire,Nicolás,2,14,14.3
Galilea,Alberto,2,4,50
Galilea,Cristián,2,4,50
Gandarillas,Joaquín,2,8,25
García-Huidobro,Cristián,2,17,11.8
Garretón,Manuel,2,3,66.7
Guarello,Ángel,2,3,66.7
Ibáñez,Felipe,2,7,28.6
Ibáñez,Gonzalo,2,7,28.6
Kast,José,2,14,14.3
Kast,Michael,2,14,14.3
Kast,Miguel,2,14,14.3
Lavín,Guido,3,9,33.3
Lavín,Joaquín,3,9,33.3
Lavín,Cristina,2,9,22.2
Luksic,Andrónico,2,5,40
Mackenna,Arturo,3,14,21.4
Matta,Enrique,2,7,28.6
Matte,Arturo,3,36,8.3
Matte,Hernán,3,36,8.3
Matte,Luis,3,36,8.3
Matte,Bernardo,2,36,5.6
Matte,Eduardo,2,36,5.6
Matte,Gonzalo,2,36,5.6
Matte,Máximo,2,36,5.6
Matte,Pedro,2,36,5.6
Montt,José,3,30,10
Montt,Julio,3,30,10
Montt,Lorenzo,3,30,10
Montt,Jorge,2,30,6.7
Montt,Luis,2,30,6.7
Montt,Manuel,2,30,6.7
Montt,Rosario,2,30,6.7
Morandé,Hernán,2,9,22.2
Parra (Chile),Ángel,2,13,15.4
Philippi,Julio,2,5,40
Pinochet,Augusto,3,14,21.4
Pinochet,Lucía,3,14,21.4
Pinochet,Tancredo,2,14,14.3
Pinto (Chile),José,3,25,12
Pinto (Chile),Carolina,2,25,8
Pinto (Chile),César,2,25,8
Pinto (Chile),Malucha,2,25,8
Pinto (Chile),Manuel,2,25,8
Pizarro,Juan,3,23,13
Pizarro,Gonzalo,2,23,8.7
Portales,José,3,23,13
Portales,Constanza,2,23,8.7
Portales,Diego,2,23,8.7
Portales,Manuel,2,23,8.7
Prieto,Joaquín,4,17,23.5
Prieto,Manuela,3,17,17.6
Prieto,José,2,17,11.8
Sanfuentes,Ana,2,12,16.7
Sanfuentes,Elisa,2,12,16.7
Sanfuentes,Salvador,2,12,16.7
Santa María,Domingo,3,5,60
Schmidt,Teodoro,2,7,28.6
Subercaseaux,Juan,3,19,15.8
Subercaseaux,Claudio,2,19,10.5
Subercaseaux,Gabriel,2,19,10.5
Trivelli,Hugo,2,3,66.7
Valdés (Chile),José,2,18,11.1
Valdés (Chile),María,2,18,11.1
Valdés (Chile),Mateo,2,18,11.1
