familia_nombre,generacion,n_personas,n_con_cargos,n_con_ocupacion,total_personas,total_generaciones,persistencia_score
Velasco (Chile),1900-1950,12,1,11,29,5,17.005986908310778
Velasco (Chile),1950-1980,5,0,5,29,5,17.005986908310778
Velasco (Chile),1980+,2,0,2,29,5,17.005986908310778
Velasco (Chile),Desconocido,2,0,1,29,5,17.005986908310778
Velasco (Chile),Pre-1900,8,0,8,29,5,17.005986908310778
Portales,1900-1950,1,0,1,23,5,15.890269151739728
Portales,1950-1980,9,0,9,23,5,15.890269151739728
Portales,1980+,1,0,1,23,5,15.890269151739728
Portales,Desconocido,3,0,0,23,5,15.890269151739728
Portales,Pre-1900,9,1,7,23,5,15.890269151739728
Vicuña,1900-1950,12,1,12,44,4,15.226649959081278
Vicuña,1950-1980,10,0,10,44,4,15.226649959081278
Vicuña,1980+,4,0,4,44,4,15.226649959081278
Vicuña,Pre-1900,18,2,17,44,4,15.226649959081278
Matte,1900-1950,13,0,13,36,4,14.443671650576897
Matte,1950-1980,10,0,10,36,4,14.443671650576897
Matte,1980+,2,0,2,36,4,14.443671650576897
Matte,Pre-1900,11,0,11,36,4,14.443671650576897
Echenique,1900-1950,3,0,3,16,5,14.16606672028108
Echenique,1950-1980,5,0,5,16,5,14.16606672028108
Echenique,1980+,1,0,1,16,5,14.16606672028108
Echenique,Desconocido,1,0,1,16,5,14.16606672028108
Echenique,Pre-1900,6,0,4,16,5,14.16606672028108
Pinto (Chile),1900-1950,5,0,5,25,4,13.032386152085929
Pinto (Chile),1950-1980,5,0,5,25,4,13.032386152085929
Pinto (Chile),1980+,2,0,2,25,4,13.032386152085929
Pinto (Chile),Pre-1900,13,0,13,25,4,13.032386152085929
Bulnes,1900-1950,6,0,6,21,4,12.364169813433264
Bulnes,1950-1980,5,0,4,21,4,12.364169813433264
Bulnes,1980+,1,0,1,21,4,12.364169813433264
Bulnes,Pre-1900,9,3,9,21,4,12.364169813433264
García-Huidobro,1900-1950,4,1,4,17,4,11.561487031584658
García-Huidobro,1950-1980,10,0,10,17,4,11.561487031584658
García-Huidobro,1980+,1,0,1,17,4,11.561487031584658
García-Huidobro,Desconocido,2,0,1,17,4,11.561487031584658
Errázuriz,1900-1950,4,0,4,38,3,10.990684938388938
Errázuriz,1950-1980,2,0,2,38,3,10.990684938388938
Errázuriz,Pre-1900,32,3,27,38,3,10.990684938388938
Echaurren,1900-1950,5,0,5,37,3,10.912758479179157
Echaurren,1950-1980,1,0,1,37,3,10.912758479179157
Echaurren,Pre-1900,31,1,30,37,3,10.912758479179157
Mackenna,1900-1950,2,0,2,14,4,10.83220080440884
Mackenna,1950-1980,1,0,1,14,4,10.83220080440884
Mackenna,1980+,1,0,1,14,4,10.83220080440884
Mackenna,Pre-1900,10,4,10,14,4,10.83220080440884
