person_id,canonical_name,surname_1,surname_2,surname_signature,era_guess,has_positions,positions_count,has_family_edges,family_edges_count
magdalena_vicu_na_aguirre,Magdalena Vicuña Aguirre,Aguirre,Vicuña,Aguirre Vicuña,1800s,FALSE,0,TRUE,5
gregorio_amun_ategui_aldunate,Gregorio Amunátegui Aldunate,Aldunate,Amunátegui,Aldunate Amunátegui,1800s,TRUE,2,TRUE,2
francisco_javier_err_azuriz_aldunate,Francisco Javier Errázuriz Aldunate,Aldunate,Errázuriz,Aldunate Errázuriz,1700s,TRUE,2,TRUE,5
francisco_javier_err_azuriz_aldunate,Francisco Javier Errázuriz Aldunate,Aldunate,Errázuriz,Aldunate Errázuriz,1700s,TRUE,4,TRUE,10
francisco_javier_err_azuriz_aldunate,Francisco Javier Errázuriz Aldunate,Aldunate,Errázuriz,Aldunate Errázuriz,1700s,TRUE,4,TRUE,10
isidoro_err_azuriz_aldunate,Isidoro Errázuriz Aldunate,Aldunate,Errázuriz,Aldunate Errázuriz,1700s,TRUE,3,TRUE,1
isidoro_de_err_azuriz_aldunate,Isidoro de Errázuriz Aldunate,Aldunate,Errázuriz,Aldunate Errázuriz,1700s,TRUE,3,TRUE,6
arturo_fontaine_aldunate,Arturo Fontaine Aldunate,Aldunate,Fontaine,Aldunate Fontaine,1900s,TRUE,2,TRUE,4
jorge_fontaine_aldunate,Jorge Fontaine Aldunate,Aldunate,Fontaine,Aldunate Fontaine,1900s,TRUE,1,TRUE,3
felipe_alessandri,Felipe Alessandri,Alessandri,Felipe,Alessandri Felipe,1900s,TRUE,3,TRUE,7
andr_es_allamand,Andrés Allamand,Allamand,Andrés,Allamand Andrés,1900s,TRUE,6,TRUE,3
ignacia_allamand,Ignacia Allamand,Allamand,Ignacia,Allamand Ignacia,1900s,FALSE,0,TRUE,3
mait_e_allamand,Maité Allamand,Allamand,Maité,Allamand Maité,1900s,FALSE,0,TRUE,3
miguel_allamand,Miguel Allamand,Allamand,Miguel,Allamand Miguel,1900s,TRUE,1,TRUE,3
miguel_luis_amun_ategui,Miguel Luis Amunátegui,Amunátegui,Luis,Amunátegui Luis,1800s,TRUE,10,TRUE,6
miguel_luis_amun_ategui,Miguel Luis Amunátegui,Amunátegui,Luis,Amunátegui Luis,1800s,TRUE,10,TRUE,6
anacleto_angelini,Anacleto Angelini,Angelini,Anacleto,Angelini Anacleto,1900s,FALSE,0,TRUE,3
ignacio_cousi_no_arag_on,Ignacio Cousiño Aragón,Aragón,Cousiño,Aragón Cousiño,1900s,TRUE,1,TRUE,7
