from,to,relation_type,from_nombre,from_pais,from_familia_normalizada,from_partido_norm,from_bloque_cargo,from_primary_elite_type,from_motivo_elite,from_elite_diplomatica,from_senal_transnacional,from_cargo_1,from_cargo_2,from_cargo_3,from_cargos_politicos,from_ocupacion,to_nombre,to_pais,to_familia_normalizada,to_partido_norm,to_bloque_cargo,to_primary_elite_type,to_motivo_elite,to_elite_diplomatica,to_senal_transnacional,to_cargo_1,to_cargo_2,to_cargo_3,to_cargos_politicos,to_ocupacion,motivo_relacion,misma_familia,mismo_pais,mismo_partido,mismo_bloque_cargo,ambos_diplomaticos,puente_transnacional,motivo_conexion,motivo_principal
https://es.wikipedia.org/wiki/Manuel_Cabral_de_Melo_y_Alpoin,https://es.wikipedia.org/wiki/Amador_Vaz_de_Alpoim,padres,Manuel Cabral de Melo y Alpoin,Argentina,Alpoim,NA,Ejecutivo,Política,élite política | élite económica,FALSE,FALSE,Teniente de Gobernador de Corrientes,Alcalde de Corrientes,NA,NA,"Militar , conquistador , poblador , hacendado , empresario agroindustrial , comerciante , funcionario y gobernante colonial",Amador Vaz de Alpoim,Argentina,Alpoim,NA,Otro,Política,élite política,FALSE,FALSE,Conquistador,Explorador,NA,NA,Explorador,parentesco_ascendente,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,parentesco_ascendente | misma_familia,parentesco
https://es.wikipedia.org/wiki/Jos%C3%A9_Ignacio_de_Gorriti,https://es.wikipedia.org/wiki/Juana_Manuela_Gorriti,hijos,José Ignacio de Gorriti,Argentina,Zuviría,Unitario,Ejecutivo,Política,élite política | élite partidaria | élite familiar,FALSE,TRUE,Gobernador de Salta,Diputado en el Congreso de Tucumán,NA,NA,Militar,Juana Manuela Gorriti,Argentina,Zuviría,NA,Profesional,Política,élite política | élite familiar,FALSE,TRUE,Primera dama de Bolivia,NA,NA,NA,Escritora y periodista,parentesco_descendente,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,parentesco_descendente | misma_familia,parentesco
https://es.wikipedia.org/wiki/Juana_Manuela_Gorriti,https://es.wikipedia.org/wiki/Jos%C3%A9_Ignacio_Gorriti,padres,Juana Manuela Gorriti,Argentina,Zuviría,NA,Profesional,Política,élite política | élite familiar,FALSE,TRUE,Primera dama de Bolivia,NA,NA,NA,Escritora y periodista,José Ignacio de Gorriti,Argentina,Zuviría,Unitario,Ejecutivo,Política,élite política | élite partidaria | élite familiar,FALSE,TRUE,Gobernador de Salta,Diputado en el Congreso de Tucumán,NA,NA,Militar,parentesco_ascendente,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,parentesco_ascendente | misma_familia,parentesco
https://es.wikipedia.org/wiki/Juana_Manuela_Gorriti,https://es.wikipedia.org/wiki/Manuel_Isidoro_Belzu,conyuge,Juana Manuela Gorriti,Argentina,Zuviría,NA,Profesional,Política,élite política | élite familiar,FALSE,TRUE,Primera dama de Bolivia,NA,NA,NA,Escritora y periodista,Manuel Isidoro Belzu,Argentina,Zuviría,Partido Popular,Ejecutivo,Política,élite política | élite partidaria | élite familiar,FALSE,TRUE,Presidente de Bolivia,Militar,NA,NA,Militar y político,alianza_conyugal,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,alianza_conyugal | misma_familia,alianza_conyugal
https://es.wikipedia.org/wiki/Juana_Manuela_Gorriti,https://es.wikipedia.org/wiki/Mercedes_Belz%C3%BA_de_Dorado,hijos,Juana Manuela Gorriti,Argentina,Zuviría,NA,Profesional,Política,élite política | élite familiar,FALSE,TRUE,Primera dama de Bolivia,NA,NA,NA,Escritora y periodista,Mercedes Belzu,Argentina,Zuviría,NA,Profesional,Familiar,élite familiar,FALSE,TRUE,NA,NA,NA,NA,"Escritora , poetisa y traductora",parentesco_descendente,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,parentesco_descendente | misma_familia | mismo_bloque_cargo,parentesco
https://es.wikipedia.org/wiki/Juana_Manuela_Gorriti,https://es.wikipedia.org/wiki/Jos%C3%A9_Ignacio_de_Gorriti,hijos,Juana Manuela Gorriti,Argentina,Zuviría,NA,Profesional,Política,élite política | élite familiar,FALSE,TRUE,Primera dama de Bolivia,NA,NA,NA,Escritora y periodista,José Ignacio de Gorriti,Argentina,Zuviría,Unitario,Ejecutivo,Política,élite política | élite partidaria | élite familiar,FALSE,TRUE,Gobernador de Salta,Diputado en el Congreso de Tucumán,NA,NA,Militar,parentesco_descendente,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,parentesco_descendente | misma_familia,parentesco
https://es.wikipedia.org/wiki/Hugo_Wast,https://es.wikipedia.org/wiki/Jorge_Miguel_Mart%C3%ADnez_Zuvir%C3%ADa,hijos,Hugo Wast,Argentina,Zuviría,Partido Demócrata Progresista,Profesional,Política,élite política | élite partidaria | élite familiar,FALSE,TRUE,Escritor,Político,NA,NA,Político y escritor,Jorge Martínez Zuviría,Argentina,Zuviría,NA,Militar,Política,élite política | élite familiar,FALSE,TRUE,Titular de la Fuerza Aérea Argentina,NA,NA,NA,Oficial militar,parentesco_descendente,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,parentesco_descendente | misma_familia,parentesco
https://es.wikipedia.org/wiki/Jos%C3%A9_Ignacio_Gorriti,https://es.wikipedia.org/wiki/Juana_Manuela_Gorriti,hijos,José Ignacio de Gorriti,Argentina,Zuviría,Unitario,Ejecutivo,Política,élite política | élite partidaria | élite familiar,FALSE,TRUE,Gobernador de Salta,Diputado en el Congreso de Tucumán,NA,NA,Militar,Juana Manuela Gorriti,Argentina,Zuviría,NA,Profesional,Política,élite política | élite familiar,FALSE,TRUE,Primera dama de Bolivia,NA,NA,NA,Escritora y periodista,parentesco_descendente,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,parentesco_descendente | misma_familia,parentesco
https://es.wikipedia.org/wiki/Jos%C3%A9_Ignacio_Gorriti,https://es.wikipedia.org/wiki/Juana_Manuela_Gorriti,padres,José Ignacio de Gorriti,Argentina,Zuviría,Unitario,Ejecutivo,Política,élite política | élite partidaria | élite familiar,FALSE,TRUE,Gobernador de Salta,Diputado en el Congreso de Tucumán,NA,NA,Militar,Juana Manuela Gorriti,Argentina,Zuviría,NA,Profesional,Política,élite política | élite familiar,FALSE,TRUE,Primera dama de Bolivia,NA,NA,NA,Escritora y periodista,parentesco_ascendente,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,parentesco_ascendente | misma_familia,parentesco
https://es.wikipedia.org/wiki/Manuel_Isidoro_Belzu,https://es.wikipedia.org/wiki/Juana_Manuela_Gorriti,conyuge,Manuel Isidoro Belzu,Argentina,Zuviría,Partido Popular,Ejecutivo,Política,élite política | élite partidaria | élite familiar,FALSE,TRUE,Presidente de Bolivia,Militar,NA,NA,Militar y político,Juana Manuela Gorriti,Argentina,Zuviría,NA,Profesional,Política,élite política | élite familiar,FALSE,TRUE,Primera dama de Bolivia,NA,NA,NA,Escritora y periodista,alianza_conyugal,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,alianza_conyugal | misma_familia,alianza_conyugal
