from_pais,to_pais,motivo_principal,n_aristas
Colombia,Colombia,parentesco,1627
Chile,Chile,parentesco,1478
Argentina,Argentina,parentesco,1152
Perú,Perú,parentesco,1103
México,México,parentesco,512
Chile,Chile,alianza_conyugal,433
Argentina,Argentina,alianza_conyugal,299
Colombia,Colombia,alianza_conyugal,230
México,México,alianza_conyugal,181
Perú,Perú,alianza_conyugal,165
Uruguay,Uruguay,parentesco,154
Venezuela,Venezuela,parentesco,154
Ecuador,Ecuador,parentesco,55
Venezuela,Venezuela,alianza_conyugal,43
Uruguay,Uruguay,alianza_conyugal,36
Bolivia,Bolivia,parentesco,26
Ecuador,Ecuador,alianza_conyugal,12
Argentina,Chile,alianza_conyugal_transnacional,3
Chile,Argentina,alianza_conyugal_transnacional,3
Colombia,Chile,parentesco_transnacional,3
Argentina,Chile,transnacional,2
Chile,Argentina,transnacional,2
Uruguay,Argentina,parentesco_transnacional,2
Chile,Colombia,parentesco_transnacional,1
Colombia,Perú,alianza_conyugal_transnacional,1
México,Argentina,alianza_conyugal_transnacional,1
México,Chile,parentesco_transnacional,1
Perú,Argentina,parentesco_transnacional,1
Perú,Colombia,alianza_conyugal_transnacional,1
Uruguay,Argentina,alianza_conyugal_transnacional,1
