url,nombre,pais,familia_normalizada,motivo_elite,primary_elite_type,bloque_cargo,partido_norm,elite_politica,elite_partidaria,elite_familiar,elite_diplomatica,elite_economica,senal_transnacional,cargo_1,cargo_2,cargo_3,cargos_politicos,ocupacion,lugar_nacimiento,lugar_fallecimiento,nacionalidad,conexion_otros_paises,redes_dentro_pais,redes_entre_paises
https://es.wikipedia.org/wiki/Amador_Vaz_de_Alpoim,Amador Vaz de Alpoim,Argentina,Alpoim,élite política,Política,Otro,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Conquistador,Explorador,NA,NA,Explorador,NA,NA,NA,NA,NA,NA
https://es.wikipedia.org/wiki/Manuel_Cabral_de_Melo_y_Alpoin,Manuel Cabral de Melo y Alpoin,Argentina,Alpoim,élite política | élite económica,Política,Ejecutivo,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Teniente de Gobernador de Corrientes,Alcalde de Corrientes,NA,NA,"Militar , conquistador , poblador , hacendado , empresario agroindustrial , comerciante , funcionario y gobernante colonial",NA,NA,NA,NA,NA,NA
https://es.wikipedia.org/wiki/Manuel_Maciel_y_Cabral_de_Alpoin,Manuel Maciel y Cabral de Alpoin,Argentina,Alpoim,élite política | élite económica,Política,Ejecutivo,NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Alcalde de Corrientes,Alcalde de Santa Fe,Maestre de campo general,NA,"Militar , conquistador , explorador , hacendado , funcionario y gobernante colonial",NA,NA,Española,nacionalidad_distinta_al_pais,NA,NA
https://es.wikipedia.org/wiki/Jos%C3%A9_Ignacio_de_Gorriti,José Ignacio de Gorriti,Argentina,Zuviría,élite política | élite partidaria | élite familiar,Política,Ejecutivo,Unitario,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Gobernador de Salta,Diputado en el Congreso de Tucumán,NA,NA,Militar,NA,NA,Argentina,mismo_pais,NA,NA
https://es.wikipedia.org/wiki/Juana_Manuela_Gorriti,Juana Manuela Gorriti,Argentina,Zuviría,élite política | élite familiar,Política,Profesional,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Primera dama de Bolivia,NA,NA,NA,Escritora y periodista,NA,NA,Argentina,mismo_pais,NA,NA
https://es.wikipedia.org/wiki/Gustavo_Mart%C3%ADnez_Zuvir%C3%ADa_%28hijo%29,Gustavo Martínez Zuviría (hijo),Argentina,Zuviría,élite política | élite familiar,Política,Militar,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Militar argentino,Político argentino,NA,NA,Militar y político,NA,NA,Argentina,mismo_pais,NA,NA
https://es.wikipedia.org/wiki/Jorge_Mart%C3%ADnez_Zuvir%C3%ADa,Jorge Martínez Zuviría,Argentina,Zuviría,élite política | élite familiar,Política,Militar,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Titular de la Fuerza Aérea Argentina,NA,NA,NA,Oficial militar,NA,NA,Argentina,mismo_pais,NA,NA
https://es.wikipedia.org/wiki/Horacio_Velarde,Horacio Velarde,Argentina,Zuviría,élite familiar,Familiar,Otro,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,Actor,NA,NA,Argentina,mismo_pais,NA,NA
https://es.wikipedia.org/wiki/Hugo_Wast,Hugo Wast,Argentina,Zuviría,élite política | élite partidaria | élite familiar,Política,Profesional,Partido Demócrata Progresista,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Escritor,Político,NA,NA,Político y escritor,NA,NA,Argentina,mismo_pais,NA,NA
https://es.wikipedia.org/wiki/Facundo_Zuvir%C3%ADa,Facundo Zuviría,Argentina,Zuviría,élite política | élite partidaria | élite familiar | élite diplomática,Diplomática,Diplomático,Partido Unitario,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Presidente del Congreso Nacional,Senador nacional,Ministro de Relaciones Exteriores,NA,Jurisconsulto y político,NA,NA,Argentino,nacionalidad_distinta_al_pais,NA,NA
https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Zuvir%C3%ADa,José María Zuviría,Argentina,Zuviría,élite política | élite familiar,Política,Legislativo,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Diputado,NA,NA,NA,"Abogado , político , escritor y magistrado",NA,NA,Argentina,mismo_pais,NA,NA
https://es.wikipedia.org/wiki/Jos%C3%A9_Ignacio_Gorriti,José Ignacio de Gorriti,Argentina,Zuviría,élite política | élite partidaria | élite familiar,Política,Ejecutivo,Unitario,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Gobernador de Salta,Diputado en el Congreso de Tucumán,NA,NA,Militar,NA,NA,Argentina,mismo_pais,NA,NA
https://es.wikipedia.org/wiki/Manuel_Isidoro_Belzu,Manuel Isidoro Belzu,Argentina,Zuviría,élite política | élite partidaria | élite familiar,Política,Ejecutivo,Partido Popular,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Presidente de Bolivia,Militar,NA,NA,Militar y político,NA,NA,Española (hasta 1823) Boliviana (desde 1825),nacionalidad_distinta_al_pais,NA,NA
https://es.wikipedia.org/wiki/Mercedes_Belz%C3%BA_de_Dorado,Mercedes Belzu,Argentina,Zuviría,élite familiar,Familiar,Profesional,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,"Escritora , poetisa y traductora",NA,NA,Boliviana,nacionalidad_distinta_al_pais,NA,NA
