from_pais,to_pais,motivo_principal,relation_type,from_nombre,to_nombre,from_url,to_url,from_motivo_elite,to_motivo_elite,motivo_conexion
Uruguay,Argentina,parentesco,padres,Jorge Batlle,Luis Batlle Berres,https://es.wikipedia.org/wiki/Jorge_Batlle_Ib%C3%A1%C3%B1ez,https://es.wikipedia.org/wiki/Luis_Batlle_Berres,élite partidaria | élite familiar,élite partidaria | élite familiar,parentesco_ascendente | mismo_partido | mismo_bloque_cargo | puente_transnacional
Uruguay,Argentina,parentesco,padres,Jorge Batlle,Matilde Ibáñez Tálice,https://es.wikipedia.org/wiki/Jorge_Batlle_Ib%C3%A1%C3%B1ez,https://es.wikipedia.org/wiki/Matilde_Ib%C3%A1%C3%B1ez,élite partidaria | élite familiar,élite familiar,parentesco_ascendente | puente_transnacional
Uruguay,Argentina,alianza_conyugal,conyuge,Jorge Batlle,Mercedes Menafra,https://es.wikipedia.org/wiki/Jorge_Batlle_Ib%C3%A1%C3%B1ez,https://es.wikipedia.org/wiki/Mercedes_Menafra,élite partidaria | élite familiar,élite partidaria | élite familiar | élite económica,alianza_conyugal | mismo_partido | puente_transnacional
Perú,Colombia,alianza_conyugal,pareja,Joaquín de Orbegoso,Carolina Cano,https://es.wikipedia.org/wiki/Joaqu%C3%ADn_de_Orbegoso,https://es.wikipedia.org/wiki/Carolina_Cano,élite familiar,élite familiar,alianza_conyugal | mismo_bloque_cargo | puente_transnacional
Perú,Argentina,parentesco,hijos,Manuel Pardo Ribadeneira,Felipe Pardo y Aliaga,https://es.wikipedia.org/wiki/Manuel_Pardo_Ribadeneira,https://es.wikipedia.org/wiki/Felipe_Pardo_y_Aliaga,élite política | élite familiar,élite familiar,parentesco_descendente | puente_transnacional
Perú,Argentina,parentesco,padres,Manuel Piqueras Cotolí,Jorge Piqueras,https://es.wikipedia.org/wiki/Manuel_Piqueras_Cotol%C3%AD,https://es.wikipedia.org/wiki/Jorge_Piqueras,élite familiar,élite familiar,parentesco_ascendente | mismo_bloque_cargo | puente_transnacional
México,Chile,parentesco,hijos,Moctezuma Xocoyotzin,Isabel Moctezuma Tecuichpo Ixcaxochitzin,https://es.wikipedia.org/wiki/Moctezuma_Xocoyotzin,https://es.wikipedia.org/wiki/Isabel_Moctezuma_Tecuichpo_Ixcaxochitzin,élite familiar,élite familiar,parentesco_descendente | puente_transnacional
México,Argentina,alianza_conyugal,pareja,Marlene Dietrich,John F. Kennedy,https://es.wikipedia.org/wiki/Marlene_Dietrich,https://es.wikipedia.org/wiki/John_F._Kennedy,élite familiar,élite partidaria | élite familiar,alianza_conyugal | mismo_bloque_cargo | puente_transnacional
Ecuador,Colombia,parentesco,padres,Paloma Yerovi Cisneros,Nicolás Yerovi,https://es.wikipedia.org/wiki/Paloma_Yerovi_Cisneros,https://es.wikipedia.org/wiki/Nicol%C3%A1s_Yerovi,élite familiar,élite familiar,parentesco_ascendente | puente_transnacional
Ecuador,Colombia,parentesco,hijos,Leonidas Yerovi (hijo),Nicolás Yerovi,https://es.wikipedia.org/wiki/Leonidas_Yerovi_%28hijo%29,https://es.wikipedia.org/wiki/Nicol%C3%A1s_Yerovi,élite familiar,élite familiar,parentesco_descendente | mismo_bloque_cargo | puente_transnacional
Colombia,Perú,alianza_conyugal,pareja,Carolina Cano,Joaquín de Orbegoso,https://es.wikipedia.org/wiki/Carolina_Cano,https://es.wikipedia.org/wiki/Joaqu%C3%ADn_de_Orbegoso,élite familiar,élite familiar,alianza_conyugal | mismo_bloque_cargo | puente_transnacional
Colombia,Ecuador,parentesco,hijos,Nicolás Yerovi,Paloma Yerovi Cisneros,https://es.wikipedia.org/wiki/Nicol%C3%A1s_Yerovi,https://es.wikipedia.org/wiki/Paloma_Yerovi_Cisneros,élite familiar,élite familiar,parentesco_descendente | puente_transnacional
Colombia,Chile,parentesco,hijos,José Bernardo Sáenz de Santamaría,Nicolás Sanz de Santamaría,https://es.wikipedia.org/wiki/Jos%C3%A9_Bernardo_S%C3%A1enz_de_Santamar%C3%ADa,https://es.wikipedia.org/wiki/Nicol%C3%A1s_Sanz_de_Santamar%C3%ADa,élite familiar,élite familiar,parentesco_descendente | puente_transnacional
Colombia,Chile,parentesco,padres,José Bernardo Sáenz de Santamaría,Nicolás Sanz de Santamaría,https://es.wikipedia.org/wiki/Jos%C3%A9_Bernardo_S%C3%A1enz_de_Santamar%C3%ADa,https://es.wikipedia.org/wiki/Nicol%C3%A1s_Sanz_de_Santamar%C3%ADa,élite familiar,élite familiar,parentesco_ascendente | puente_transnacional
Colombia,Chile,parentesco,padres,Ignacio Sanz de Santamaría y Gómez de Salazar,Nicolás Sanz de Santamaría,https://es.wikipedia.org/wiki/Ignacio_Sanz_de_Santamar%C3%ADa_y_G%C3%B3mez_de_Salazar,https://es.wikipedia.org/wiki/Nicol%C3%A1s_Sanz_de_Santamar%C3%ADa,élite familiar,élite familiar,parentesco_ascendente | mismo_bloque_cargo | puente_transnacional
Chile,Perú,parentesco,hijos,Huayna Cápac,Huáscar,https://es.wikipedia.org/wiki/Huayna_C%C3%A1pac,https://es.wikipedia.org/wiki/Hu%C3%A1scar,élite familiar,élite familiar,parentesco_descendente | puente_transnacional
