from_pais,to_pais,motivo_principal,n_aristas
Argentina,Chile,alianza_conyugal,3
Chile,Argentina,alianza_conyugal,3
Colombia,Chile,parentesco,3
Argentina,Chile,transnacional,2
Chile,Argentina,transnacional,2
Ecuador,Colombia,parentesco,2
Perú,Argentina,parentesco,2
Uruguay,Argentina,parentesco,2
Argentina,Perú,parentesco,1
Chile,Colombia,parentesco,1
Chile,Perú,parentesco,1
Colombia,Ecuador,parentesco,1
Colombia,Perú,alianza_conyugal,1
México,Argentina,alianza_conyugal,1
México,Chile,parentesco,1
Perú,Colombia,alianza_conyugal,1
Uruguay,Argentina,alianza_conyugal,1
