persona_id,nombre,familia,pais,n_conexiones,n_matched,n_unmatched,n_conyuges,n_parejas,n_padres,n_hijos,n_cross_family,n_cross_country,familias_conectadas,paises_conectados
3750,Juan Vicente Bolívar y Ponte,palacios_venezuela,venezuela,12,10,2,1,0,6,5,8,3,"bolívar, toro_venezuela","chile, colombia"
437,Ana Jacoba García de Zúñiga,warnes,argentina,11,11,0,1,0,6,4,5,4,garcía_de_zúñiga,"chile, colombia"
1970,Federico Errázuriz Zañartu,echaurren,chile,11,11,0,2,0,6,3,0,0,,
2428,Genoveva Ricaurte Mauris,parís,colombia,11,11,0,1,0,5,5,0,0,,
4570,María Teresa Torterolo,podestá,uruguay,11,11,0,1,0,5,5,0,9,,argentina
4580,María de la Concepción Palacios y Blanco,palacios_venezuela,venezuela,11,11,0,1,0,5,5,10,2,"bolívar, toro_venezuela",colombia
4630,Margarita Caro de Holguín,caro,colombia,11,11,0,1,0,5,5,2,0,azuola,
5311,Pedro Podestá,podestá,argentina,11,11,0,1,0,5,5,0,3,,uruguay
965,Carlos Holguín Mallarino,caro,colombia,10,10,0,2,0,4,4,1,0,arboleda,
1228,Claudio Vicuña Guerrero,subercaseaux,chile,10,8,2,1,0,5,4,0,0,,
1300,Cristián Campos,di_girolamo,chile,10,8,2,2,3,3,2,0,0,,
2740,Hugo Chávez,chávez,venezuela,10,9,1,2,1,4,3,0,0,,
3385,José María de Mosquera,arboleda,colombia,10,9,1,1,0,5,4,0,0,,
5500,Ramón Santamarina,santamarina,argentina,10,7,3,1,0,6,3,0,0,,
5847,Silvia Pinal,pinal_hidalgo,mexico,10,9,1,4,0,3,3,0,0,,
6009,Tulio Ospina,ospina,colombia,10,9,1,1,0,4,5,0,0,,
588,Antonio José de Escalada,balcarce,argentina,9,7,2,1,0,3,5,5,0,san_martín,
999,Carlos Menem,yoma,argentina,9,7,2,2,1,4,2,0,1,,chile
1006,Carlos Morla Vicuña,vicuña,chile,9,7,2,1,0,5,3,0,0,,
1521,Eduarda Mansilla,garcía-mansilla,argentina,9,9,0,1,0,4,4,0,0,,
1551,Eduardo López Rivas,urdaneta,venezuela,9,7,2,1,0,4,4,1,1,bustamante,peru
1599,Elena Frías de Chávez,chávez,venezuela,9,8,1,1,0,4,4,0,0,,
1764,Enriqueta Vásquez de Ospina,ospina,colombia,9,8,1,1,0,5,3,1,0,lleras,
1846,Eulogia Echaurren,echaurren,chile,9,9,0,1,0,3,5,0,0,,
2254,Francisco Javier de Errázuriz Madariaga,errázuriz,chile,9,8,1,1,0,4,4,0,0,,
2323,Francisco Solano López,lópez_carrillo,paraguay,9,9,0,0,3,2,4,0,1,,argentina
2349,Francisco Xavier Vergara,caicedo,colombia,9,9,0,1,0,2,6,1,0,sanz_de_santamaría,
2748,Hugo de los Reyes Chávez,chávez,venezuela,9,8,1,1,0,4,4,0,0,,
2840,Isabel Preysler,vargas_llosa,peru,9,8,1,3,1,1,4,0,0,,
3167,José Antonio Gregorio de Otálora,otálora,argentina,9,6,3,1,0,4,4,0,0,,
3269,José Gálvez Paz,gálvez,peru,9,6,3,1,0,5,3,0,0,,
3425,José Piñera Carvallo,echenique,chile,9,7,2,1,0,4,4,0,0,,
3576,Juan Carlos Blanco Fernández,blanco,uruguay,9,8,1,1,0,4,4,0,0,,
3752,Juan Vicente Podestá,podestá,argentina,9,9,0,1,0,4,4,0,1,,uruguay
4276,Manuel Antonio José Warnes,garcía_de_zúñiga,colombia,9,9,0,1,0,4,4,5,9,warnes,"argentina, chile"
4370,Manuel Montt,montt,chile,9,8,1,1,0,4,4,0,0,,
4505,María Eugenia Rojas,rojas,colombia,9,9,0,1,0,4,4,0,0,,
4819,Matilde Pacheco,batlle,uruguay,9,7,2,1,0,5,3,0,0,,
4918,Miguel Checa y Checa,eguiguren,peru,9,6,3,1,0,5,3,0,0,,
5299,Pedro Nel Ospina,ospina,colombia,9,9,0,1,0,3,5,2,0,lleras,
146,Agustina López de Osornio,garcía-mansilla,argentina,8,8,0,1,0,2,5,5,0,ortiz_de_rozas,
288,Alejandro VI,borja,colombia,8,6,2,0,0,2,6,0,0,,
396,Amán Rawson,rojo,argentina,8,5,3,1,0,4,3,0,0,,
468,Andrés Aramburú Salinas,aramburú,peru,8,7,1,1,0,3,4,0,0,,
512,Andrónico Lukšić Abaroa,fontbona,chile,8,6,2,1,0,3,4,0,0,,
660,Arturo Alessandri,morandé,chile,8,7,1,1,0,2,5,4,0,velasco_chile,
662,Arturo Alessandri,velasco_chile,chile,8,7,1,1,0,2,5,2,0,morandé,
956,Carlos Ferreyros,ferreyros,peru,8,7,1,1,0,4,3,0,0,,
1182,Che Guevara,guevara,argentina,8,7,1,2,1,2,3,0,1,,peru
1467,Dolores Vargas París,urdaneta,venezuela,8,8,0,1,0,4,3,7,3,parís,colombia
1520,Eduarda Mansilla,garcía-mansilla,argentina,8,8,0,1,0,2,5,0,0,,
2094,Fernando Luján,soler,mexico,8,8,0,1,0,2,5,0,2,,argentina
2149,Flor Silvestre,aguilar,mexico,8,8,0,2,0,2,4,1,1,robles,peru
2489,Gloria Pachón,galán,colombia,8,8,0,1,0,4,3,0,0,,
2677,Hernán Cortés,moctezuma,colombia,8,6,2,1,2,3,2,2,6,pizarro,"chile, mexico"
2741,Hugo Chávez,chávez,venezuela,8,7,1,2,1,2,3,0,0,,
3041,John F. Kennedy Jr.,onassis,argentina,8,8,0,1,3,2,2,0,0,,
3246,José Eugenio Guzmán Irarrázaval,montt,chile,8,7,1,1,0,4,3,0,0,,
3697,Juan Manuel Polar y Carasas,polar,peru,8,6,2,0,0,5,3,0,0,,
3955,León Ortiz de Rozas,garcía-mansilla,argentina,8,8,0,1,0,2,5,5,0,ortiz_de_rozas,
4403,Manuel Rafael García Aguirre,garcía-mansilla,argentina,8,8,0,1,0,3,4,0,0,,
4420,Manuel Tomás Luna Mujica,luna,peru,8,6,2,1,0,4,3,0,0,,
4456,Manuela Caldera,freire,chile,8,7,1,2,0,3,3,0,0,,
4670,Mariano Ignacio Prado,málaga,peru,8,7,1,1,0,1,6,5,0,prado,
4671,Mariano Ignacio Prado,prado,peru,8,7,1,1,0,1,6,1,0,málaga,
4681,Mariano Ospina Pérez,ospina,colombia,8,8,0,1,0,4,3,0,0,,
4850,Melchor Concha y Toro,concha_chile,chile,8,7,1,1,0,4,3,0,0,,
5332,Pepe Aguilar,aguilar,mexico,8,7,1,1,0,3,4,0,0,,
