from_surname,to_surname,weight
Errázuriz,External,87
Echaurren,External,58
Aldunate,External,28
Echaurren,Zañartu,26
Balmaceda,External,25
Pinto,External,25
Bello,External,24
Valdés,External,23
Cruz,External,20
Echaurren,Riesco,20
Piñera,External,18
Claro,External,17
Edwards,External,17
Larraín,External,17
Sanfuentes,External,17
Vergara,External,17
Bulnes,External,16
Errázuriz,Echaurren,16
Fernández,External,16
Girolamo,External,16
Aylwin,External,15
Prat,External,15
Ross,External,14
Carvajal,External,12
Garmendia,External,12
Ossa,External,12
Riesco,Echaurren,12
Riesco,External,12
Yrarrázaval,External,12
Concha,External,11
Correa,External,11
CruzCoke,External,11
Etcheberry,External,11
Oyarzún,External,11
Ballesteros,External,10
Tristán,External,10
Vargas,External,10
Zañartu,External,10
Allamand,External,9
Claro,Errázuriz,9
Dávalos,External,9
Echenique,External,9
Echenique,Tristán,9
Errázuriz,Claro,9
Feliú,External,9
Prieto,External,9
Solar,External,9
Sotomayor,External,9
Bachelet,External,8
Bulnes,Garmendia,8
Bulnes,Pinto,8
Bunster,External,8
Cubillos,External,8
Herrera,External,8
Matus,External,8
OHiggins,External,8
Toro,External,8
Walker,External,8
Bodenhfer,External,7
Cavada,External,7
Madariaga,External,7
Riquelme,External,7
Aragón,External,6
Balmaceda,Ballesteros,6
Bori,External,6
Chadwick,External,6
CruzCoke,Matus,6
Errázuriz,Zañartu,6
Fernández,Balmaceda,6
Mackenna,External,6
Ochagavía,External,6
Ortega,External,6
Ossandón,External,6
Pinto,Bulnes,6
Serrano,External,6
Villar,External,6
Zañartu,Aldunate,6
Alessandri,External,5
Figueroa,External,5
Hevia,External,5
Hurtado,External,5
Lyon,External,5
Matta,External,5
Matte,External,5
Mesías,External,5
Metternich,External,5
Oyarzún,Aylwin,5
Plaza,External,5
Silva,External,5
Subercaseaux,External,5
Talavera,External,5
Tomic,External,5
Amunátegui,Solar,4
Azócar,External,4
Bahamonde,External,4
Brown,External,4
Carvajal,Dávalos,4
Cousiño,External,4
Cruz,Dávalos,4
Droguett,Riesco,4
Echaurren,Errázuriz,4
Echeñique,Echaurren,4
Echeñique,External,4
Edwards,Errázuriz,4
Errázuriz,Droguett,4
Errázuriz,Edwards,4
Errázuriz,Lazcano,4
Feliú,Villar,4
Fernández,Ballesteros,4
Garmendia,Bulnes,4
Iñiguez,Bello,4
Larraín,Echaurren,4
Lawner,External,4
Lazcano,External,4
Lazcano,Pereira,4
León,External,4
Madariaga,Larraín,4
McClure,External,4
Merino,External,4
Montané,External,4
Ovalle,External,4
Pascal,External,4
Pereira,Lazcano,4
Puga,External,4
Riesco,Droguett,4
Riesco,Zañartu,4
Ross,Ossandón,4
Rudolphy,External,4
Serrano,Bulnes,4
Sierra,External,4
Toro,Balmaceda,4
Vicuña,External,4
Winter,External,4
Aguirre,External,3
Angelini,External,3
Astaburuaga,External,3
Awad,External,3
Aylwin,Bascuñán,3
Bachelet,Jeria,3
Basauri,External,3
Bascuñán,External,3
Bascuñán,Oyarzún,3
Basombrío,External,3
Bryce,External,3
Campos,Girolamo,3
Carvallo,External,3
Chacra,External,3
Court,External,3
Ducci,External,3
Eguiguren,External,3
Errazuriz,External,3
Fabbri,External,3
FerreiraNobriga,External,3
Girolamo,Campos,3
Guilisasti,External,3
Huidobro,External,3
Iver,External,3
Jeria,External,3
Mehech,External,3
Mercado,External,3
Monroy,External,3
Moras,External,3
Pedregal,External,3
Quezada,External,3
Rossi,External,3
Salinas,External,3
Sanfuentes,Correa,3
Sanfuentes,Pinto,3
Saulles,External,3
Solminihac,External,3
Stuardo,External,3
Tagle,External,3
Tampier,External,3
Valdivieso,Aldunate,3
Valenzuela,External,3
Vives,External,3
Ward,External,3
Zavala,External,3
Zenteno,External,3
Allamand,Correa,2
Amunátegui,External,2
Atherton,External,2
Aylwin,Azócar,2
Barañao,External,2
Barrenechea,External,2
Bello,Balmaceda,2
Bello,Larraín,2
Bello,Pérez,2
Benavides,External,2
Brown,Subercaseaux,2
Budge,Eastman,2
Bulnes,Quevedo,2
Campos,External,2
Carvallo,Piñera,2
Castillo,External,2
Chadwick,Piñera,2
Cienfuegos,External,2
Cisternas,External,2
Correa,Allamand,2
Cousiño,Goyenechea,2
Cruz,Bahamonde,2
Cruz,Henestrosa,2
Cruz,OHiggins,2
Cruz,Pinto,2
Cruz,Salabert,2
