pair_a,pair_b,weight
Echaurren,Errázuriz,9
di,Girolamo,6
Aldunate,Errázuriz,5
Echenique,Tristán,5
Balmaceda,Ernesto,4
Balmaceda,Fernández,4
Cortés,Monroy,4
Echaurren,Eulogia,4
Errázuriz,Madariaga,4
Alfonso,Cavada,3
Bulnes,Sanfuentes,3
Carvajal,Vargas,3
Chadwick,Claro,3
Chadwick,Errázuriz,3
CruzCoke,Marta,3
Edwards,Salas,3
Errázuriz,Fernando,3
Errázuriz,Larraín,3
Errázuriz,Salas,3
Errázuriz,Tomic,3
Errázuriz,Zañartu,3
Albano,Cruz,2
Aldunate,Fontaine,2
Alfredo,Etcheberry,2
Amunátegui,Jordán,2
Amunátegui,Luis,2
Amunátegui,Solar,2
Aníbal,Pinto,2
Aylwin,Miguel,2
Aylwin,Oyarzún,2
Bachelet,Michelle,2
Bahamonde,Cruz,2
Ballesteros,Balmaceda,2
Balmaceda,Enrique,2
Balmaceda,Manuel,2
Balmaceda,Montt,2
Bello,Edwards,2
Bello,Matte,2
Benavides,Feliú,2
Benavides,Villar,2
Bernardo,OHiggins,2
Brown,Edwards,2
Bulnes,Gonzalo,2
Bulnes,Granier,2
Bulnes,Manuel,2
Carmen,Sotomayor,2
Carvajal,Dávalos,2
Carvajal,Prat,2
Carvajal,Silva,2
Chadwick,Piñera,2
Chadwick,Valdés,2
Claro,Cruz,2
Claro,Sebastián,2
Claro,Solar,2
Concha,Fernández,2
Concha,Subercaseaux,2
Correa,Tiago,2
Cruz,Mateo,2
Cruz,Santa,2
Cruz,Vargas,2
CruzCoke,Eduardo,2
Cruzat,Ochagavía,2
Cruzat,Ortega,2
Cueto,Plaza,2
Droguett,Riesco,2
Eastman,Edwards,2
Echaurren,Francisco,2
Echaurren,Herrera,2
Echaurren,Lazcano,2
Echaurren,Ochagavía,2
Echeñique,Gertrudis,2
Edwards,Figueroa,2
Edwards,Garriga,2
Edwards,MacClure,2
Edwards,Matte,2
Edwards,McClure,2
Edwards,Ossandón,2
Edwards,Ross,2
Emilia,Toro,2
Errázuriz,Federico,2
Errázuriz,Huici,2
Errázuriz,Ladislao,2
Errázuriz,Lazcano,2
Errázuriz,Ochagavía,2
Errázuriz,Ovalle,2
Errázuriz,Pereira,2
Errázuriz,Riesco,2
Errázuriz,Valdivieso,2
Errázuriz,Viña,2
Fuente,Rojas,2
Garmendia,Pinto,2
Germán,Riesco,2
Ignacio,Riesco,2
Iñiguez,Lily,2
Juana,Ross,2
Lagos,Matus,2
Larraín,Matte,2
Metternich,Paul,2
Aguirre,Vicuña,1
Agustín,Ross,1
Alberto,Bachelet,1
Aldunate,Amunátegui,1
Alessandri,Balmaceda,1
Alessandri,Felipe,1
Alessandri,Valdés,1
Alessandri,Vergara,1
Alfredo,Castro,1
Aline,Kuppenheim,1
Allamand,Andrés,1
Allamand,Ignacia,1
Allamand,Maité,1
Allamand,Miguel,1
Amunátegui,Borgoño,1
Amunátegui,Johnson,1
Amunátegui,Reyes,1
Anacleto,Angelini,1
Andrés,Bello,1
Andrés,Chadwick,1
Andrés,Concha,1
Andrés,Fontaine,1
Angelini,Fabbri,1
Angelini,Rossi,1
Antonio,Pinto,1
Antonio,VieraGallo,1
Aragón,Cousiño,1
Argandoña,Subercaseaux,1
Arthur,Errázuriz,1
Arturo,Aylwin,1
Arturo,Prat,1
Arístides,Pinto,1
Astaburuaga,Julita,1
Astaburuaga,Lyon,1
Astaburuaga,Vergara,1
Atherton,Edwards,1
Awad,Mehech,1
Aylwin,Azócar,1
Aylwin,Patricio,1
BahamondeiConde,Maule,1
Balmaceda,Elías,1
Balmaceda,Luis,1
Balmaceda,Marín,1
Balmaceda,Pedro,1
Balmaceda,Saavedra,1
Barañao,Concha,1
Barrenechea,José,1
Barrenechea,Julio,1
Barrenechea,Lawner,1
Barrenechea,Lobos,1
Barrenecheaimarqués,Montepío,1
Barriga,Errázuriz,1
Barros,Errázuriz,1
Basauri,Begoña,1
Bascuñán,Paz,1
Basombrío,Enrique,1
Bastián,Bodenhfer,1
Bello,Carlos,1
Bello,Echevería,1
Bello,Emilio,1
Benavides,Escobar,1
Benavides,Gloria,1
Benjamín,Vicuña,1
Benjamín,Walker,1
Bitar,Chacra,1
Bitar,Javier,1
Blanca,Guana,1
Bori,Vicente,1
Bori,Vladimiro,1
Borne,Puga,1
Bryce,Echenique,1
Budge,Edwards,1
Buenaventura,Cousiño,1
Bulnes,Correa,1
Bulnes,Luz,1
Bulnes,Mercedes,1
Bulnes,Ossa,1
Bulnes,Pinto,1
Bulnes,Quevedo,1
Bulnes,Serrano,1
Bunster,Claudio,1
Bunster,Jorge,1
Bunster,Larraín,1
Campos,Cristián,1
Carla,Ochoa,1
Carlos,Cousiño,1
Carlos,Cruzat,1
Carlos,San,1
Carolina,Moras,1
Carvajal,Cavada,1
Carvajal,Condado,1
Carvajal,Fermín,1
Carvajal,Manrique,1
Carvallo,Piñera,1
Casa,Chadwick,1
Castillejo,Condado,1
Castillo,Concha,1
Catalina,Edwards,1
Catalina,Olcay,1
Cavada,Contreras,1
Cavada,Darío,1
Cavada,Rafael,1
Cavada,Verdugo,1
Cecilia,Echenique,1
Celedón,Roberto,1
Cerda,Concha,1
Cerda,Emilio,1
Chadwick,Familia,1
Chadwick,Larraín,1
Chadwick,Ortúzar,1
Chile,fundadoras,1
China,Suárez,1
Cienfuegos,Concha,1
Cisternas,Pedro,1
Claro,Jorge,1
Claro,Larraín,1
Claro,Miguel,1
Claro,Valdés,1
Claro,Velasco,1
Comercial,Edwards,1
Concha,E,1
Concha,González,1
Concha,Gutiérrez,1
Concha,Malaquías,1
Concha,Martínez,1
Concha,Ossa,1
Concha,Pedregal,1
Concha,Prieto,1
Concha,Quezada,1
Concha,Rodríguez,1
Concha,Santiago,1
Concha,Sara,1
Concha,Stuardo,1
Concha,Toro,1
Conchucos,Corregimiento,1
Consuelo,Valdés,1
Correa,Errázuriz,1
Court,Etcheberry,1
Court,Taira,1
Cousiño,Luis,1
Cousiño,Matías,1
Cousiño,Talavera,1
