pais,nombre,url,grado,betweenness,ranking
argentina,Manuel Rafael García Aguirre,https://es.wikipedia.org/wiki/Manuel_Rafael_Garc%C3%ADa_Aguirre,9,66.64285714285714,1
argentina,Eduarda Mansilla,https://es.wikipedia.org/wiki/Eduarda_Mansilla,9,122.50000000000001,2
argentina,León Ortiz de Rozas,https://es.wikipedia.org/wiki/Le%C3%B3n_Ortiz_de_Rozas,8,134,3
argentina,Agustina López de Osornio,https://es.wikipedia.org/wiki/Agustina_L%C3%B3pez_de_Osornio,8,134,4
argentina,María de los Remedios de Escalada,https://es.wikipedia.org/wiki/Mar%C3%ADa_de_los_Remedios_de_Escalada,8,101.60000000000001,5
argentina,Antonio José de Escalada,https://es.wikipedia.org/wiki/Antonio_Jos%C3%A9_de_Escalada,8,32.85,6
argentina,Ana Jacoba García de Zúñiga,https://es.wikipedia.org/wiki/Ana_Jacoba_Garc%C3%ADa_de_Z%C3%BA%C3%B1iga,7,49,7
argentina,Agustina Ortiz de Rozas,https://es.wikipedia.org/wiki/Agustina_Ortiz_de_Rozas,7,237.64285714285714,8
argentina,Eduarda Mansilla,https://es.wikipedia.org/wiki/Eduarda_Damasia_Mansilla,7,79,9
argentina,Juan Vicente Podestá,https://es.wikipedia.org/wiki/Juan_Vicente_Podest%C3%A1,7,88,10
argentina,Manuel Antonio José Warnes,https://es.wikipedia.org/wiki/Manuel_Antonio_Jos%C3%A9_Warnes,6,7,11
argentina,Jacqueline Kennedy Onassis,https://es.wikipedia.org/wiki/Jacqueline_Kennedy_Onassis,6,127.5,12
argentina,John F. Kennedy,https://es.wikipedia.org/wiki/John_F._Kennedy,6,49.5,13
argentina,John F. Kennedy Jr.,https://es.wikipedia.org/wiki/John_F._Kennedy_Jr.,6,74,14
argentina,Carlos Menem,https://es.wikipedia.org/wiki/Carlos_Menem,6,9.833333333333332,15
argentina,Carlos María de Alvear,https://es.wikipedia.org/wiki/Carlos_Mar%C3%ADa_de_Alvear,6,23,16
argentina,Pedro Podestá,https://es.wikipedia.org/wiki/Pedro_Podest%C3%A1,6,84,17
argentina,María Teresa Torterolo,https://es.wikipedia.org/wiki/Mar%C3%ADa_Teresa_Torterolo,6,84,18
bolivia,Adolfo Ballivián,https://es.wikipedia.org/wiki/Adolfo_Ballivi%C3%A1n,2,2,1
bolivia,José Ballivián,https://es.wikipedia.org/wiki/Jos%C3%A9_Ballivi%C3%A1n,2,2,2
bolivia,Manuela Micaela Ignacia Fernández-Campero,https://es.wikipedia.org/wiki/Manuela_Micaela_Ignacia_Fern%C3%A1ndez-Campero,2,1,3
bolivia,Lindaura Anzoátegui Campero,https://es.wikipedia.org/wiki/Lindaura_Anzo%C3%A1tegui_Campero,1,0,4
bolivia,Narciso Campero,https://es.wikipedia.org/wiki/Narciso_Campero,1,0,5
bolivia,Ana María Romero,https://es.wikipedia.org/wiki/Ana_Mar%C3%ADa_Romero,1,0,6
bolivia,Gonzalo Romero Álvarez,https://es.wikipedia.org/wiki/Gonzalo_Romero_%C3%81lvarez,1,0,7
