familia_norm,paises,n_paises,n_miembros
borrero,"argentina, chile, colombia, ecuador",4,39
campero,"argentina, bolivia, chile, peru",4,24
ponce_de_león,"argentina, mexico, peru, uruguay",4,12
garcía_de_zúñiga,"argentina, chile, colombia, uruguay",4,11
sucre,"argentina, colombia, ecuador, venezuela",4,11
pinto_chile,"argentina, chile, uruguay",3,50
caicedo,"chile, colombia, peru",3,48
velasco_chile,"argentina, chile, venezuela",3,44
diez_canseco,"chile, ecuador, peru",3,33
pizarro,"chile, colombia, peru",3,33
miró_quesada,"mexico, peru, uruguay",3,22
o'donnell,"argentina, colombia, mexico",3,22
urdaneta,"colombia, uruguay, venezuela",3,21
varela,"argentina, peru, uruguay",3,17
orihuela,"argentina, bolivia, peru",3,13
palacios_venezuela,"chile, ecuador, venezuela",3,12
saavedra,"argentina, chile, uruguay",3,8
gorriti,"argentina, bolivia, peru",3,5
vicuña,"argentina, chile",2,64
borja,"colombia, ecuador",2,59
arboleda,"colombia, ecuador",2,56
montt,"chile, peru",2,48
lavalle,"argentina, peru",2,37
ospina,"colombia, venezuela",2,35
portales,"chile, peru",2,30
restrepo,"chile, colombia",2,30
cruz_chile,"argentina, chile",2,28
pinal_hidalgo,"argentina, mexico",2,28
samper,"argentina, colombia",2,28
alarco,"chile, peru",2,27
podestá,"argentina, uruguay",2,26
carvajal_y_vargas,"chile, peru",2,23
leyva,"argentina, colombia",2,23
subercaseaux,"argentina, chile",2,23
paz,"argentina, peru",2,22
vergara-azcárate,"chile, colombia",2,22
del_solar,"colombia, peru",2,20
parís,"colombia, venezuela",2,20
iturbide,"chile, mexico",2,17
cabal,"colombia, mexico",2,16
freire,"chile, peru",2,16
aráoz,"argentina, peru",2,15
batlle,"argentina, uruguay",2,15
belgrano,"argentina, uruguay",2,15
lópez_carrillo,"argentina, paraguay",2,15
videla,"argentina, chile",2,15
quintero,"colombia, venezuela",2,14
soler,"argentina, mexico",2,14
cano,"colombia, peru",2,13
echenique,"chile, peru",2,13
eguiguren,"ecuador, peru",2,13
saravia,"argentina, uruguay",2,13
yoma,"argentina, chile",2,13
zuviría,"argentina, bolivia",2,13
aylwin,"argentina, chile",2,12
bullrich,"argentina, uruguay",2,12
moctezuma,"colombia, mexico",2,12
ocampo,"argentina, peru",2,12
vargas_llosa,"bolivia, peru",2,12
bustamante,"chile, peru",2,11
camargo,"chile, colombia",2,11
galleguillos,"chile, peru",2,11
neyra,"argentina, peru",2,11
ulloa,"chile, peru",2,11
guízar,"bolivia, mexico",2,10
paz_soldán,"bolivia, peru",2,10
santos,"colombia, ecuador",2,10
warnes,"argentina, chile",2,10
bolívar,"colombia, venezuela",2,9
llona,"ecuador, peru",2,9
pardo,"colombia, peru",2,9
roca_y_rodríguez,"ecuador, peru",2,9
rodríguez_larreta,"argentina, uruguay",2,9
segurola,"argentina, peru",2,9
carreño,"colombia, venezuela",2,8
del_carril,"argentina, chile",2,8
esguerra,"colombia, ecuador",2,8
febres-cordero,"ecuador, venezuela",2,8
guevara,"argentina, peru",2,8
lafinur,"argentina, uruguay",2,8
maciel,"argentina, chile",2,8
salazar_y_meléndez,"argentina, peru",2,8
santiago_concha,"chile, peru",2,8
uribe,"colombia, peru",2,8
alegría,"chile, peru",2,7
billinghurst,"argentina, peru",2,7
boza_de_lima,"chile, peru",2,7
de_habich,"argentina, peru",2,7
de_la_rúa,"argentina, colombia",2,7
frayssinet,"argentina, peru",2,7
choquehuanca,"bolivia, peru",2,6
gibson,"argentina, peru",2,6
grau,"colombia, peru",2,6
montero,"chile, peru",2,6
troconis,"colombia, venezuela",2,6
vértiz,"argentina, peru",2,6
cafferata,"argentina, peru",2,5
chaux,"chile, colombia",2,5
cordovéz,"chile, colombia",2,5
díaz_granados,"colombia, ecuador",2,5
estenssoro,"argentina, bolivia",2,5
loret_de_mola,"mexico, peru",2,5
madariaga,"chile, colombia",2,5
mendoza_ladrón_de_guevara,"chile, peru",2,5
piñera,"chile, peru",2,5
saguier,"argentina, paraguay",2,5
tenorio,"colombia, ecuador",2,5
antúnez,"chile, peru",2,4
concha,"argentina, colombia",2,4
escalada_(de_burgos),"argentina, uruguay",2,4
meruane,"argentina, chile",2,4
ugarteche,"argentina, peru",2,4
yerovi,"ecuador, peru",2,4
blanco_venezuela,"colombia, venezuela",2,3
díaz_del_castillo,"colombia, mexico",2,3
pérez_treviño,"mexico, peru",2,3
tobar,"colombia, venezuela",2,3
iommi,"argentina, chile",2,2
