nombre1,nombre2,pais1,pais2,tipo_relacion
Julio Campero y Aráoz,Fernando María Campero Barragán,argentina,bolivia,hijo/a
Juan José Feliciano Fernández Campero,Fernando María Campero Barragán,argentina,bolivia,hijo/a
Juana Manuela Gorriti,Mercedes Belzu,argentina,bolivia,hijo/a
Juana Manuela Gorriti,Manuel Isidoro Belzu,argentina,bolivia,conyuge
Ana Jacoba García de Zúñiga,Manuela Warnes,argentina,chile,padre/madre
Ana Jacoba García de Zúñiga,Manuela Warnes,argentina,chile,padre/madre
Luisa Garmendia,Aníbal Pinto,argentina,chile,padre/madre
Jorge de Tezanos Pinto,Manuel de Tezanos-Pinto,argentina,chile,padre/madre
Manuel de Tezanos Pinto (constituyente),Manuel de Tezanos-Pinto,argentina,chile,padre/madre
Nicolás Caputo,Jorge Claro,argentina,chile,padre/madre
Serapio de Tezanos Pinto,Manuel de Tezanos-Pinto,argentina,chile,padre/madre
Ana Jacoba García de Zúñiga,Manuela Warnes,argentina,chile,hijo/a
Federico Pinedo (hijo),Enriqueta Pinto,argentina,chile,hijo/a
Felipe Santiago Ignacio de Otálora y del Ribero,Felipe Kast,argentina,chile,hijo/a
Flora Azcuénaga,Francisco Melo,argentina,chile,hijo/a
Luisa Garmendia,Enriqueta Pinto,argentina,chile,hijo/a
Luisa Garmendia,Aníbal Pinto,argentina,chile,hijo/a
Luisa Garmendia,Enriqueta Pinto,argentina,chile,hijo/a
Luisa Garmendia,Aníbal Pinto,argentina,chile,hijo/a
Manuel de Tezanos Pinto (constituyente),David de Tezanos Pinto,argentina,chile,hijo/a
Matías Ramos Mejía,Francisco Melo,argentina,chile,hijo/a
Bigote Arrocet,Gabriela Velasco,argentina,chile,conyuge
Carolina Mestrovic,Mario Velasco,argentina,chile,conyuge
Juan Carlos Bistoto,Nelly Meruane,argentina,chile,conyuge
Luisa Garmendia,Francisco Antonio Pinto,argentina,chile,conyuge
Maria Antonia Hagenaar,Pablo Neruda,argentina,chile,conyuge
Waldemar Méndez,María Gracia Subercaseaux,argentina,chile,conyuge
Alberto Benegas Lynch (padre),Sara del Campo,argentina,chile,conyuge
Carlos Menem,Cecilia Bolocco,argentina,chile,conyuge
Delia del Carril,Pablo Neruda,argentina,chile,conyuge
Esteban Bullrich,María Eugenia Hirmas,argentina,chile,conyuge
Luisa Garmendia,Francisco Antonio Pinto,argentina,chile,conyuge
Mercedes Ortiz de Rozas,Miguel Piñera,argentina,chile,conyuge
Vicente Saadi,Alicia Cañas,argentina,chile,conyuge
Carolina Mestrovic,Mario Velasco,argentina,chile,pareja
China Suárez,Benjamín Vicuña,argentina,chile,pareja
Pampita,Benjamín Vicuña,argentina,chile,pareja
Bigote Arrocet,María Teresa Campos,argentina,chile,pareja
Waldemar Méndez,María Gracia Subercaseaux,argentina,chile,pareja
Hernando Pastrana,Misael Pastrana Pastrana,argentina,colombia,padre/madre
Ignacio Warnes,Manuel Antonio José Warnes,argentina,colombia,padre/madre
Martín José Warnes,Manuel Antonio José Warnes,argentina,colombia,padre/madre
Martina Warnes,Manuel Antonio José Warnes,argentina,colombia,padre/madre
Juan Samper Sordo,Antonio Samper Uribe,argentina,colombia,hijo/a
Juan Manuel Abal Medina,Juan Manuel Galán,argentina,colombia,hijo/a
Manuel de Tezanos Pinto (político),Manuelita,argentina,colombia,hijo/a
Patricia Bullrich,Francisco Leiva,argentina,colombia,hijo/a
Rafael Bielsa (jurista),Rafael Pardo,argentina,colombia,hijo/a
Rafael Bielsa (jurista),Ana María Groot,argentina,colombia,hijo/a
Ana Jacoba García de Zúñiga,Manuel Antonio José Warnes,argentina,colombia,conyuge
Hugo Vaca Narvaja,Susana Correa,argentina,colombia,conyuge
Juan Carlos Alsogaray,Cecilia Navia,argentina,colombia,conyuge
Gerard Piqué,Shakira,argentina,colombia,pareja
Antonio de la Rúa,Shakira,argentina,colombia,pareja
Héctor de Elía,Juana Uribe,argentina,colombia,pareja
Alejandro Ciangherotti II,Mercedes Soler (actriz),argentina,mexico,padre/madre
Alejandro Ciangherotti II,Mercedes Soler (actriz),argentina,mexico,hijo/a
Alejandro Ciangherotti,Fernando Luján,argentina,mexico,hijo/a
Christian Bach,Sebastián Zurita,argentina,mexico,hijo/a
Alejandro Ciangherotti,Mercedes Soler (actriz),argentina,mexico,conyuge
Christian Bach,Humberto Zurita,argentina,mexico,conyuge
