par,n
argentina ↔ chile,56
argentina ↔ uruguay,46
chile ↔ colombia,43
colombia ↔ venezuela,37
chile ↔ peru,36
argentina ↔ peru,31
argentina ↔ colombia,30
colombia ↔ peru,23
argentina ↔ mexico,19
chile ↔ mexico,17
colombia ↔ ecuador,13
argentina ↔ bolivia,12
colombia ↔ mexico,12
argentina ↔ paraguay,7
mexico ↔ peru,6
peru ↔ uruguay,4
argentina ↔ venezuela,3
chile ↔ uruguay,3
chile ↔ venezuela,3
bolivia ↔ peru,2
chile ↔ ecuador,2
ecuador ↔ peru,2
mexico ↔ uruguay,2
peru ↔ venezuela,2
bolivia ↔ chile,1
