par,tipo_label,n
Argentina ↔ Chile,Pareja / Cónyuge,33
Argentina ↔ Uruguay,Padre / Madre,19
Argentina ↔ Peru,Pareja / Cónyuge,18
Chile ↔ Colombia,Hijo / Hija,16
Chile ↔ Peru,Pareja / Cónyuge,16
Colombia ↔ Venezuela,Padre / Madre,16
Argentina ↔ Uruguay,Hijo / Hija,15
Chile ↔ Colombia,Padre / Madre,14
Chile ↔ Colombia,Pareja / Cónyuge,13
Colombia ↔ Venezuela,Hijo / Hija,13
Argentina ↔ Chile,Hijo / Hija,12
Argentina ↔ Colombia,Hijo / Hija,12
Argentina ↔ Uruguay,Pareja / Cónyuge,12
Argentina ↔ Chile,Padre / Madre,11
Chile ↔ Peru,Hijo / Hija,11
Argentina ↔ Colombia,Pareja / Cónyuge,10
Argentina ↔ Mexico,Pareja / Cónyuge,10
Chile ↔ Mexico,Pareja / Cónyuge,10
Colombia ↔ Peru,Hijo / Hija,10
Chile ↔ Peru,Padre / Madre,9
Colombia ↔ Mexico,Pareja / Cónyuge,9
Argentina ↔ Colombia,Padre / Madre,8
Argentina ↔ Peru,Padre / Madre,8
Colombia ↔ Venezuela,Pareja / Cónyuge,8
Colombia ↔ Peru,Pareja / Cónyuge,7
Argentina ↔ Bolivia,Hijo / Hija,6
Colombia ↔ Peru,Padre / Madre,6
Argentina ↔ Mexico,Hijo / Hija,5
Argentina ↔ Peru,Hijo / Hija,5
Chile ↔ Mexico,Padre / Madre,5
Colombia ↔ Ecuador,Padre / Madre,5
Argentina ↔ Bolivia,Padre / Madre,4
Argentina ↔ Mexico,Padre / Madre,4
Colombia ↔ Ecuador,Hijo / Hija,4
Colombia ↔ Ecuador,Pareja / Cónyuge,4
Mexico ↔ Peru,Hijo / Hija,4
Peru ↔ Uruguay,Pareja / Cónyuge,4
Argentina ↔ Paraguay,Padre / Madre,3
Chile ↔ Uruguay,Pareja / Cónyuge,3
Argentina ↔ Bolivia,Pareja / Cónyuge,2
Argentina ↔ Paraguay,Hijo / Hija,2
Argentina ↔ Paraguay,Pareja / Cónyuge,2
Argentina ↔ Venezuela,Pareja / Cónyuge,2
Bolivia ↔ Peru,Pareja / Cónyuge,2
Chile ↔ Mexico,Hijo / Hija,2
Chile ↔ Venezuela,Hijo / Hija,2
Colombia ↔ Mexico,Hijo / Hija,2
Ecuador ↔ Peru,Pareja / Cónyuge,2
Mexico ↔ Uruguay,Pareja / Cónyuge,2
Peru ↔ Venezuela,Pareja / Cónyuge,2
Argentina ↔ Venezuela,Hijo / Hija,1
Bolivia ↔ Chile,Pareja / Cónyuge,1
Chile ↔ Ecuador,Hijo / Hija,1
Chile ↔ Ecuador,Pareja / Cónyuge,1
Chile ↔ Venezuela,Padre / Madre,1
Colombia ↔ Mexico,Padre / Madre,1
Mexico ↔ Peru,Padre / Madre,1
Mexico ↔ Peru,Pareja / Cónyuge,1
