from,to,n_parentesco,n_biografico,n_total
chile,peru,36,81,117
argentina,uruguay,46,59,105
argentina,chile,56,38,94
argentina,peru,31,59,90
argentina,colombia,30,27,57
chile,colombia,43,14,57
colombia,peru,23,28,51
colombia,venezuela,37,11,48
chile,mexico,17,27,44
argentina,mexico,19,7,26
argentina,bolivia,12,13,25
colombia,ecuador,13,9,22
colombia,mexico,12,7,19
mexico,peru,6,9,15
argentina,paraguay,7,5,12
ecuador,peru,2,8,10
argentina,venezuela,3,5,8
bolivia,peru,2,5,7
chile,uruguay,3,4,7
chile,venezuela,3,3,6
chile,ecuador,2,3,5
peru,uruguay,4,0,4
bolivia,mexico,0,4,4
bolivia,chile,1,2,3
mexico,uruguay,2,0,2
peru,venezuela,2,0,2
colombia,paraguay,0,2,2
bolivia,uruguay,0,1,1
ecuador,mexico,0,1,1
ecuador,venezuela,0,1,1
mexico,venezuela,0,1,1
